nombre,linea,latitud,longitud,estaciones,ID
SAN PABLO,Linea 1,-33.4441895493096,-70.7232885295238,SAN PABLO,0
NEPTUNO,Linea 1,-33.4519325188292,-70.7225384535852,NEPTUNO,1
PAJARITOS,Linea 1,-33.4578262836353,-70.7134030021858,PAJARITOS,2
LAS REJAS,Linea 1,-33.4572381556193,-70.7064745878902,LAS REJAS,3
ECUADOR,Linea 1,-33.456189321975,-70.7010540388778,ECUADOR,4
SAN ALBERTO HURTADO,Linea 1,-33.4542558932224,-70.6922912963922,SAN ALBERTO HURTADO,5
UNIVERSIDAD DE SANTIAGO,Linea 1,-33.452604206305,-70.6862764108913,UNIVERSIDAD DE SANTIAGO,6
,Linea 1,-33.4508943874567,-70.6799652274033,ESTACIÓN CENTRAL,7
,Linea 1,-33.4496517732411,-70.6743659116455,UNIÓN LATINOAMERICANA,8
,Linea 1,-33.4468959493874,-70.6642448520769,REPÚBLICA,9
,Linea 1,-33.4462814285225,-70.6604447474867,LOS HÉROES,10
,Linea 1,-33.4452451580749,-70.6557810269516,LA MONEDA,11
UNIVERSIDAD DE CHILE,Linea 1,-33.4442955966118,-70.6517220563516,UNIVERSIDAD DE CHILE,12
,Linea 1,-33.442985195097,-70.6464588815257,SANTA LUCÍA,13
,Linea 1,-33.4407987487585,-70.6410296403953,UNIVERSIDAD CATÓLICA,14
BAQUEDANO,Linea 1,-33.4373094107511,-70.633288271414,BAQUEDANO,15
SALVADOR,Linea 1,-33.4341440809603,-70.6261997001865,SALVADOR,16
MANUEL MONTT,Linea 1,-33.4289742002976,-70.6193876026189,MANUEL MONTT,17
PEDRO DE VALDIVIA,Linea 1,-33.4256626931254,-70.6138003736448,PEDRO DE VALDIVIA,18
LOS LEONES,Linea 1,-33.422637924811,-70.6089251611236,LOS LEONES,19
TOBALABA,Linea 1,-33.4184862299736,-70.6016641801424,TOBALABA,20
EL GOLF,Linea 1,-33.4165776760031,-70.5955702059519,EL GOLF,21
,Linea 1,-33.4153595288739,-70.5896808968626,ALCÁNTARA,22
ESCUELA MILITAR,Linea 1,-33.4141838217081,-70.5843110380417,ESCUELA MILITAR,23
MANQUEHUE,Linea 1,-33.4091408674,-70.5684291380973,MANQUEHUE,24
HERNANDO DE MAGALLANES,Linea 1,-33.4077535826152,-70.5568743241157,HERNANDO DE MAGALLANES,25
LOS DOMINICOS,Linea 1,-33.4078940260839,-70.5448498352736,LOS DOMINICOS,26
,,,,HOSPITAL EL PINO,27
,,,,COPA LO MARTÍNEZ,28
,,,,OBSERVATORIO,29
,,,,EL BOSQUE,30
LA CISTERNA,Linea 2,-33.537566174714,-70.6641952959095,LA CISTERNA,31
,,,,EL PARRÓN,32
LO OVALLE,Linea 2,-33.5179859175857,-70.6590850657059,LO OVALLE,33
,,,,CIUDAD DEL NIÑO,34
DEPARTAMENTAL,Linea 2,-33.5034335286243,-70.6549557868557,DEPARTAMENTAL,35
LO VIAL,Linea 2,-33.4964982523913,-70.6528271240302,LO VIAL,36
SAN MIGUEL,Linea 2,-33.488918548731,-70.6507949817575,SAN MIGUEL,37
EL LLANO,Linea 2,-33.4819690946593,-70.649724124326,EL LLANO,38
FRANKLIN,Linea 2,-33.476478030003,-70.6491927538438,FRANKLIN,39
RONDIZZONI,Linea 2,-33.4699752072452,-70.6559421829235,RONDIZZONI,40
PARQUE O'HIGGINS,Linea 2,-33.4604352687099,-70.6564268340579,PARQUE O'HIGGINS,41
TOESCA,Linea 2,-33.4536553242918,-70.6583512922798,TOESCA,42
,,,,LOS HÉROES,43
SANTA ANA,Linea 5,-33.4383757138624,-70.6596648150306,SANTA ANA,44
CAL Y CANTO,Linea 2,-33.4330738594289,-70.6532327437442,CAL Y CANTO,45
PATRONATO,Linea 2,-33.4296626786608,-70.6470439411899,PATRONATO,46
CERRO BLANCO,Linea 2,-33.4221817256352,-70.6449483392731,CERRO BLANCO,47
CEMENTERIOS,Linea 2,-33.414038116351,-70.6433733542498,CEMENTERIOS,48
,,,,EINSTEIN,49
DORSAL,Linea 2,-33.3970181272519,-70.6426776602094,DORSAL,50
ZAPADORES,Linea 2,-33.3909810721993,-70.6424092101355,ZAPADORES,51
,,,,VESPUCIO NORTE,52
,,,,PLAZA QUILICURA,53
,,,,LO CRUZAT,54
,,,,FERROCARRIL,55
,,,,LOS LIBERTADORES,56
CARDENAL CARO,Linea 3,-33.3736108021268,-70.6864304359522,CARDENAL CARO,57
VIVACETA,Linea 3,-33.3859269188792,-70.6793259801501,VIVACETA,58
,,,,CONCHALÍ,59
PLAZA CHACABUCO,Linea 3,-33.4065172626861,-70.661120162633,PLAZA CHACABUCO,60
HOSPITALES,Linea 3,-33.4177736751268,-70.6562801299892,HOSPITALES,61
,,,,PUENTE CAL Y CANTO,62
PLAZA DE ARMAS,Linea 5,-33.4375859704784,-70.6507579492033,PLAZA DE ARMAS,63
