estaciones,ID
SAN PABLO,0
NEPTUNO,1
PAJARITOS,2
LAS REJAS,3
ECUADOR,4
SAN ALBERTO HURTADO,5
UNIVERSIDAD DE SANTIAGO,6
ESTACIÓN CENTRAL,7
UNIÓN LATINOAMERICANA,8
REPÚBLICA,9
LOS HÉROES,10
LA MONEDA,11
UNIVERSIDAD DE CHILE,12
SANTA LUCÍA,13
UNIVERSIDAD CATÓLICA,14
BAQUEDANO,15
SALVADOR,16
MANUEL MONTT,17
PEDRO DE VALDIVIA,18
LOS LEONES,19
TOBALABA,20
EL GOLF,21
ALCÁNTARA,22
ESCUELA MILITAR,23
MANQUEHUE,24
HERNANDO DE MAGALLANES,25
LOS DOMINICOS,26
HOSPITAL EL PINO,27
COPA LO MARTÍNEZ,28
OBSERVATORIO,29
EL BOSQUE,30
LA CISTERNA,31
EL PARRÓN,32
LO OVALLE,33
CIUDAD DEL NIÑO,34
DEPARTAMENTAL,35
LO VIAL,36
SAN MIGUEL,37
EL LLANO,38
FRANKLIN,39
RONDIZZONI,40
PARQUE O'HIGGINS,41
TOESCA,42
LOS HÉROES,43
SANTA ANA,44
CAL Y CANTO,45
PATRONATO,46
CERRO BLANCO,47
CEMENTERIOS,48
EINSTEIN,49
DORSAL,50
ZAPADORES,51
VESPUCIO NORTE,52
PLAZA QUILICURA,53
LO CRUZAT,54
FERROCARRIL,55
LOS LIBERTADORES,56
CARDENAL CARO,57
VIVACETA,58
CONCHALÍ,59
PLAZA CHACABUCO,60
HOSPITALES,61
PUENTE CAL Y CANTO,62
PLAZA DE ARMAS,63
UNIVERSIDAD DE CHILE,64
PARQUE ALMAGRO,65
MATTA,66
IRARRÁZAVAL,67
MONSEÑOR EYZAGUIRRE,68
ÑUÑOA,69
CHILE ESPAÑA,70
VILLA FREI,71
PLAZA EGAÑA,72
FERNANDO CASTILLO VELASCO,73
TOBALABA,74
CRISTOBAL COLÓN,75
FRANCISCO BILBAO,76
PRÍNCIPE DE GALES,77
SIMÓN BOLIVAR,78
PLAZA EGAÑA,79
LOS ORIENTALES,80
GRECIA,81
LOS PRESIDENTES,82
QUILÍN,83
LAS TORRES,84
MACUL,85
VICUÑA MACKENNA,86
VICENTE VALDÉS,87
ROJAS MAGALLANES,88
TRINIDAD,89
SAN JOSÉ DE LA ESTRELLA,90
LOS QUILLAYES,91
ELISA CORREA,92
HOSPITAL SÓTERO DEL RÍO,93
PROTECTORA DE LA INFANC,94
LAS MERCEDES,95
PLAZA PUENTE ALTO,96
VICUÑA MACKENNA,97
SANTA JULIA,98
LA GRANJA,99
SANTA ROSA,100
SAN RAMÓN,101
LA CISTERNA,102
PLAZA MAIPÚ,103
SANTIAGO BUERAS,104
DEL SOL,105
MONTE TABOR,106
LAS PARCELAS,107
LAGUNA SUR,108
BARRANCAS,109
PUDAHUEL,110
SAN PABLO,111
LO PRADO,112
BLANQUEADO,113
GRUTA DE LOURDES,114
QUINTA NORMAL,115
CUMMING,116
SANTA ANA,117
PLAZA DE ARMAS,118
BELLAS ARTES,119
BAQUEDANO,120
PARQUE BUSTAMANTE,121
SANTA ISABEL,122
IRARRÁZAVAL,123
ÑUBLE,124
RODRIGO DE ARAYA,125
CARLOS VALDOVINOS,126
CAMINO AGRÍCOLA,127
SAN JOAQUÍN,128
PEDRERO,129
MIRADOR,130
BELLAVISTA DE LA FLORIDA,131
VICENTE VALDÉS,132
CERRILLOS,133
LO VALLEDOR,134
PRESIDENTE PEDRO AGUIRRE CERDA,135
FRANKLIN,136
BÍO BÍO,137
ÑUBLE,138
ESTADIO NACIONAL,139
ÑUÑOA,140
INÉS DE SUÁREZ,141
LOS LEONES,142
