nombre,linea,latitud,longitud
SAN PABLO,Linea 1,-33.4441895493096,-70.7232885295238
NEPTUNO,Linea 1,-33.4519325188292,-70.7225384535852
PAJARITOS,Linea 1,-33.4578262836353,-70.7134030021858
LAS REJAS,Linea 1,-33.4572381556193,-70.7064745878902
ECUADOR,Linea 1,-33.456189321975,-70.7010540388778
PILA DEL GANSO,Linea 1,-33.4542558932224,-70.6922912963922
UNIVERSIDAD DE SANTIAGO,Linea 1,-33.452604206305,-70.6862764108913
ESTACION CENTRAL,Linea 1,-33.4508943874567,-70.6799652274033
LOS HEROES,Linea 1,-33.4462814285225,-70.6604447474867
REPUBLICA,Linea 1,-33.4468959493874,-70.6642448520769
UNION LATINOAMERICANA,Linea 1,-33.4496517732411,-70.6743659116455
BAQUEDANO,Linea 1,-33.4373094107511,-70.633288271414
MONEDA,Linea 1,-33.4452451580749,-70.6557810269516
UNIVERSIDAD DE CHILE,Linea 1,-33.4442955966118,-70.6517220563516
SANTA LUCIA,Linea 1,-33.442985195097,-70.6464588815257
UNIVERSIDAD CATOLICA,Linea 1,-33.4407987487585,-70.6410296403953
LOS LEONES,Linea 1,-33.422637924811,-70.6089251611236
PEDRO DE VALDIVIA,Linea 1,-33.4256626931254,-70.6138003736448
TOBALABA,Linea 1,-33.4184862299736,-70.6016641801424
SALVADOR,Linea 1,-33.4341440809603,-70.6261997001865
MANUEL MONTT,Linea 1,-33.4289742002976,-70.6193876026189
ALCANTARA,Linea 1,-33.4153595288739,-70.5896808968626
EL GOLF,Linea 1,-33.4165776760031,-70.5955702059519
ESCUELA MILITAR,Linea 1,-33.4141838217081,-70.5843110380417
HERNANDO DE MAGALLANES,Linea 1,-33.4077535826152,-70.5568743241157
MANQUEHUE,Linea 1,-33.4091408674,-70.5684291380973
LOS DOMINICOS,Linea 1,-33.4078940260839,-70.5448498352736
CAL Y CANTO,Linea 2,-33.4330738594289,-70.6532327437442
TOESCA,Linea 2,-33.4536553242918,-70.6583512922798
PARQUE O'HIGGINS,Linea 2,-33.4604352687099,-70.6564268340579
FRANKLIN,Linea 2,-33.476478030003,-70.6491927538438
EL LLANO,Linea 2,-33.4819690946593,-70.649724124326
SAN MIGUEL,Linea 2,-33.488918548731,-70.6507949817575
LO VIAL,Linea 2,-33.4964982523913,-70.6528271240302
DEPARTAMENTAL,Linea 2,-33.5034335286243,-70.6549557868557
CIUDAD DEL NINO,Linea 2,-33.5116936917353,-70.6570780791716
LO OVALLE,Linea 2,-33.5179859175857,-70.6590850657059
EL PARRON,Linea 2,-33.5266447641575,-70.6612634875271
LA CISTERNA,Linea 2,-33.537566174714,-70.6641952959095
PATRONATO,Linea 2,-33.4296626786608,-70.6470439411899
CERRO BLANCO,Linea 2,-33.4221817256352,-70.6449483392731
RONDIZZONI,Linea 2,-33.4699752072452,-70.6559421829235
