FID,objectid,id,lenght,nombre,linea,layer,shape_leng,Shape__Len,GlobalID,geometry
1,1,1,9913.341,LINEA DE METRO ACTUAL,LINEA 1,LINEA DE METRO ACTUAL,9913.2759182,11882.4613646938,a209f9c0-1b70-4bf0-bb9d-b80b572c67a5,"MULTILINESTRING ((-7871782.24402472 -3956227.99260945, -7871583.16959411 -3956236.45012435, -7871326.45579034 -3956200.62292034, -7869031.55548451 -3955607.90009947, -7863970.15950352 -3954103.52605199, -7863400.00899465 -3953629.95174655, -7863026.52128461 -3953442.81262945), (-7872902.92435864 -3954385.720224, -7872856.90529314 -3954739.64654293, -7872834.42758309 -3955470.142835, -7872816.54856079 -3955665.53727741, -7872803.16438585 -3955877.81035967, -7872770.44896354 -3955941.96985331, -7872733.30785634 -3955993.48736622, -7872662.12147652 -3956028.59716247, -7871783.70560102 -3956238.21811129))"
2,2,2,5456.886,LINEA DE METRO ACTUAL,LINEA 1,LINEA DE METRO ACTUAL,5456.8502265,6540.00472584377,acf6b60f-1e6a-4cde-93d5-30be17efa5dd,"LINESTRING (-7863026.52128461 -3953442.81262945, -7862810.39791603 -3953425.27124205, -7862686.94889126 -3953377.24242459, -7862222.17012702 -3953131.35265637, -7861787.04260372 -3952658.43756038, -7861612.17207477 -3952501.26698052, -7861385.24606952 -3952408.20842973, -7861080.58183892 -3952219.74974541, -7860791.36999919 -3951957.75496952, -7860483.92580799 -3951802.64349801, -7860006.54312311 -3951377.00630022, -7859814.32266913 -3951166.7963322, -7859307.00778179 -3950948.14029713, -7859146.78004357 -3950877.33439572, -7858853.50921215 -3950778.60086733, -7858484.1586037 -3950691.02490002, -7857998.29479176 -3950571.91751315, -7857505.81091822 -3950452.89187856, -7857412.39661695 -3950414.35061037)"
3,3,5,1349.751,LINEA DE METRO ACTUAL,LINEA 2,LINEA DE METRO ACTUAL,6712.23473999,8065.08067542399,be6fbb14-6258-49ef-8a5f-beac857723ea,"LINESTRING (-7865070.9215979 -3952936.27452346, -7864822.07168291 -3952926.92062789, -7864590.3235446 -3952950.60483694, -7864495.71147536 -3952838.83800333, -7864365.59451819 -3952367.83606888, -7864242.67372069 -3951872.97028049, -7864138.09145399 -3951454.5630446, -7864064.64388284 -3951160.70721796, -7864021.18022216 -3950864.00647766, -7863943.84780135 -3948981.31163475, -7863903.42041559 -3948115.65516009, -7863858.90332322 -3946867.07928985, -7863702.59247166 -3946428.77753267, -7863694.47851575 -3946400.03476446, -7863662.62818326 -3946307.22982552, -7863659.41462745 -3946284.11025033, -7863740.16001004 -3946223.00509186, -7863830.61741345 -3946163.13707123, -7863889.55937409 -3946124.63771345, -7863971.8178171 -3946071.85561045, -7864058.25079817 -3946020.39807126, -7864150.26431946 -3945971.63427254, -7864332.99242779 -3945879.69070231)"
4,4,6,10177.762,LINEA DE METRO ACTUAL,LINEA 2,LINEA DE METRO ACTUAL,12773.5979327,15367.3124862043,bcebec8d-b270-4ea8-9992-5ee74ce17d1b,"MULTILINESTRING ((-7865615.2802309 -3963826.91808657, -7865045.82281211 -3961405.30853203, -7864708.18523504 -3959780.4909135, -7864582.02522731 -3959145.81528286, -7864541.32670565 -3958879.79861246, -7864618.50924394 -3958725.23747577, -7864720.17229789 -3958650.28412453, -7864781.32965691 -3958626.66155484, -7864952.13867604 -3958633.24639071, -7865060.85456036 -3958584.84362348, -7865179.30846757 -3958522.95142685, -7865206.67640138 -3958365.85504805, -7865293.58555871 -3958197.80844857, -7865358.33318446 -3958096.77953718, -7865390.01903828 -3958002.94680657, -7865407.07937685 -3957402.98205638, -7865480.76531222 -3955962.2031397, -7865617.47513463 -3955777.63602516, -7865874.8957156 -3954749.08851955, -7865874.36646724 -3954665.95956288, -7865907.02458704 -3954425.52811793, -7865795.18885677 -3953857.56272191, -7865823.94934347 -3953580.56116429, -7865847.80535128 -3953203.69449724, -7865828.95300391 -3953060.73636331, -7865647.2243465 -3952943.61641434, -7865477.10155058 -3952915.57589882, -7865080.8144929 -3952932.78486534), (-7865615.22719561 -3963823.58423588, -7865942.71820935 -3965212.30169679, -7866307.79903522 -3966870.74349251))"
5,5,7,9882.089,LINEA DE METRO ACTUAL,LINEA 4,LINEA DE METRO ACTUAL,9885.54687924,11905.7964233617,aa997047-1ad1-4ab7-8108-04858a193517,"LINESTRING (-7858976.95842387 -3964884.29907656, -7858830.50674501 -3965306.04624409, -7858160.77553348 -3967153.01756584, -7857773.61697525 -3968164.61199441, -7857677.3783519 -3968878.62222688, -7857163.14766972 -3972230.80008536, -7857020.45512489 -3973053.43061057, -7856716.39346285 -3974933.0725068, -7856604.81635763 -3975618.01786785, -7856469.9475951 -3976474.18452934)"
6,6,8,1905.774,LINEA DE METRO ACTUAL,LINEA 5,LINEA DE METRO ACTUAL,1905.76180656,19227.4395227555,f616feef-3d0d-44e1-9d41-d4944b13f3af,"MULTILINESTRING ((-7876662.30035458 -3963267.50565235, -7876663.89453899 -3963066.75967347, -7876664.78992463 -3962593.33731191, -7876669.7903587 -3962212.98616044, -7876677.06874336 -3961516.44057433, -7876674.68671393 -3961224.6510497, -7876664.59106162 -3961152.21670164, -7876647.10528657 -3961092.64628792, -7876614.54333817 -3961030.43379783, -7876562.655341 -3960963.32219201, -7876372.06146573 -3960825.00498371, -7876254.19746525 -3960730.58641736, -7876190.95313144 -3960639.83881189, -7876162.68586239 -3960570.6584949, -7876104.81819683 -3960451.71774214, -7876076.77331203 -3960375.5545661, -7875823.28189234 -3960102.8789115, -7875657.85710904 -3960005.91710598, -7875611.67226267 -3959965.01917087, -7875576.07780128 -3959917.21966791, -7875528.11641325 -3959839.83545783, -7875346.88047039 -3959533.03786298, -7875261.62954973 -3959376.83422975, -7875162.83854181 -3959230.61602507, -7875019.03101001 -3959045.34555163, -7874911.73026385 -3958872.29596555, -7874676.47255001 -3958493.21229811, -7874397.67085762 -3958089.21096631, -7874514.82491655 -3956663.30161389, -7874598.31183286 -3955723.53449573, -7874642.06954189 -3955299.5348508, -7874699.11837304 -3955183.71343709, -7874749.71915607 -3955094.29473903, -7874822.38476431 -3955006.51806748, -7874890.92404064 -3954951.68783788, -7874975.30672703 -3954885.85541233, -7875061.6801289 -3954819.31826793, -7875127.6878584 -3954732.99588162, -7875131.3263405 -3954630.95178195, -7875082.09352474 -3954562.00432853, -7875022.89597975 -3954536.16443245, -7874804.651288 -3954483.58135826, -7873920.90325361 -3954468.22600448, -7873211.45134578 -3954452.91458288, -7872884.84281204 -3954423.60209891), (-7871093.76119404 -3954055.59861255, -7871152.43655136 -3954074.31460552, -7871185.66435043 -3954084.42845779, -7871280.52505779 -3954119.36018801, -7871305.56486588 -3954127.96860451, -7871328.95229941 -3954135.37399023, -7871338.79964828 -3954138.49203423, -7871397.44220866 -3954155.15695676, -7871431.89463782 -3954165.24991563, -7871462.6409118 -3954173.35358028, -7871495.03965849 -3954182.66012821, -7871604.94016536 -3954213.64982327, -7871638.60798095 -3954220.67945678, -7871771.14596741 -3954238.16981453, -7872034.59067719 -3954273.17305668, -7872493.47884933 -3954369.97168765, -7872534.17149146 -3954376.9237512, -7872669.78154135 -3954395.58136718, -7872882.11829279 -3954424.42027973), (-7868056.58198573 -3953898.02106098, -7868100.61000217 -3953899.85794811, -7868148.53928686 -3953903.65585149, -7868188.60349578 -3953904.12279554, -7868234.22967634 -3953904.4991987, -7868283.15703502 -3953902.58593622, -7868326.52240067 -3953900.76291526, -7868367.64495082 -3953897.85830501, -7868407.65508211 -3953894.97164667, -7868456.6363971 -3953896.41049012, -7868503.3568873 -3953895.65011235, -7868547.83455385 -3953893.8081546, -7868592.2220478 -3953886.3779673, -7868623.26079609 -3953879.16503919, -7868658.69495039 -3953868.52671999, -7868697.39403828 -3953853.36349731, -7868730.56717903 -3953840.52602244, -7868755.97159676 -3953828.93299019, -7868776.32647892 -3953820.96006675, -7868794.59821775 -3953809.29908834), (-7868055.806671 -3953897.90307326, -7865826.91010069 -3953622.54175873, -7865794.87479431 -3953605.98189502), (-7868793.48583503 -3953809.31722245, -7868815.88569771 -3953790.50718232, -7868836.6074833 -3953772.87257403, -7868857.91873819 -3953755.96202071, -7868879.79441129 -3953739.79539505, -7868902.20878846 -3953724.39169536, -7868925.13552271 -3953709.76902319, -7868948.54766516 -3953695.94456215, -7868972.41769673 -3953682.93455767, -7868996.71756046 -3953670.754298, -7869021.41869447 -3953659.41809622, -7869046.49206554 -3953648.93927344, -7869071.90820321 -3953639.33014317, -7869097.63723439 -3953630.60199691, -7869123.64891849 -3953622.76509081, -7869149.91268288 -3953615.82863371, -7869176.39765889 -3953609.80077631, -7869203.07271801 -3953604.68860158, -7869229.90650846 -3953600.49811648, -7869256.86749206 -3953597.2342449, -7869283.92398122 -3953594.90082187, -7869310.31711632 -3953593.53812847), (-7869310.31711632 -3953593.53812847, -7869411.76865713 -3953619.90613978, -7869509.91172751 -3953642.523004, -7869587.88208933 -3953660.08654801, -7869679.19954334 -3953674.73959718, -7869863.08671554 -3953698.64024175, -7870037.57927122 -3953721.34644841, -7870064.40414018 -3953723.59762508, -7870192.31488144 -3953764.5600699, -7870333.70473994 -3953810.68251831, -7870506.09158143 -3953868.40492742, -7870561.30050403 -3953886.33657565, -7870756.54162158 -3953949.06233678, -7871094.49739502 -3954056.5314364), (-7869310.31711632 -3953593.53812847, -7869311.0441762 -3953593.50058908), (-7869308.18208198 -3953592.98320679, -7869310.31711632 -3953593.53812847))"
7,7,9,12752.06,LINEA DE METRO ACTUAL,LINEA 5,LINEA DE METRO ACTUAL,12752.4073561,15324.2324828784,c63eddaf-9f3a-431c-bf23-986be40cf7b2,"LINESTRING (-7865826.79231395 -3953615.13104762, -7864821.70273576 -3953508.90257688, -7864000.91335488 -3953392.24852362, -7863948.87298576 -3953367.13124982, -7863547.98347459 -3953443.90877952, -7863083.23054492 -3953447.5563702, -7862858.65784202 -3953484.97797522, -7862634.20405861 -3954438.18772471, -7862383.22973621 -3955514.17970838, -7861880.58040717 -3957629.76334367, -7861838.10913154 -3957769.05325093, -7861791.65446547 -3957927.4204505, -7861797.24729774 -3958049.6876045, -7861667.76562072 -3958741.38210685, -7861439.44203839 -3959723.9088289, -7861411.18824541 -3959805.93435993, -7861217.55963648 -3960172.38807497, -7860865.43162904 -3961984.04107028, -7860753.10773284 -3962597.79804631, -7860700.22158312 -3962762.85234921, -7860482.01576702 -3962972.95745239, -7860343.81548264 -3963108.64962076, -7859863.89462543 -3963590.93220205, -7859416.30218874 -3964017.06887535, -7859034.33611713 -3964631.38907969, -7858977.03182637 -3964884.57574993)"
8,8,3,20677.039,LINEA DE METRO ACTUAL,LINEA 4,LINEA DE METRO ACTUAL,13369.7100354,16070.9775961864,476b5a8e-a6ec-4bff-af5b-6f0d7aa48974,"LINESTRING (-7859330.31269264 -3950954.44204187, -7859055.546033 -3951198.52831426, -7858863.92339516 -3951358.46642334, -7858502.24813704 -3951705.20176918, -7858203.23303093 -3951980.76355734, -7857737.8892594 -3952431.72334281, -7857451.31628359 -3952762.28839859, -7857380.29981193 -3952889.9766855, -7857187.16987472 -3953056.18190006, -7856717.65498935 -3953366.53748984, -7856572.4294644 -3953412.06434676, -7856194.1126722 -3953614.39937132, -7856073.22651618 -3954395.91264856, -7855994.98865469 -3954926.91075756, -7855922.77512494 -3955417.85281151, -7855906.43765315 -3955654.70021991, -7855963.95800994 -3955950.41537723, -7856070.01667717 -3956385.36921461, -7856115.08599208 -3956525.72606738, -7856174.12538787 -3956690.39141472, -7856246.03021108 -3956839.27008149, -7856521.71577405 -3957741.61390323, -7856792.03696749 -3959148.452058, -7856989.3947442 -3960364.50824238, -7856997.595214 -3960467.72966467, -7857746.69887515 -3961907.40390913, -7857966.29821739 -3962561.41769396, -7858021.44381913 -3962982.6282654, -7858108.60744124 -3963474.80120659, -7858140.81268688 -3963627.69909593, -7858310.70219048 -3963885.18805194, -7858568.41036278 -3964241.36905109, -7858854.36988739 -3964707.17151629, -7858949.64370862 -3964859.10711746, -7858977.90651029 -3964885.42441734)"
9,9,3,20677.039,LINEA DE METRO ACTUAL,LINEA 4A,LINEA DE METRO ACTUAL,7307.19201526,8769.04357501275,9b4ac88f-7b6b-4118-8c60-601eb3bdd113,"LINESTRING (-7858977.90651029 -3964885.42441734, -7859178.6418341 -3965072.33830976, -7859309.9173288 -3965190.36629366, -7860180.71470727 -3966764.44306856, -7860334.92541924 -3967075.58385993, -7860389.52994374 -3967171.46575206, -7860456.89682088 -3967233.79173239, -7860514.04819776 -3967279.59877086, -7860594.22899557 -3967311.70282993, -7860933.73470203 -3967366.43446189, -7862368.34174038 -3967597.39654482, -7862955.09269808 -3967538.08309539, -7864084.21121523 -3967343.35362327, -7864987.84354779 -3967168.80813261, -7865970.57492935 -3966959.56569287, -7866311.06491976 -3966867.3552557)"
10,10,,0.0,LINEA DE METRO ACTUAL,LINEA 1,LINEA DE METRO ACTUAL,3791.19334856,4565.74831428271,b336b980-fb80-46c8-854f-5835a8e07ea0,"LINESTRING (-7857406.71815831 -3950408.01654151, -7857245.57155075 -3950337.3774419, -7857066.70263903 -3950249.46244173, -7856926.01689997 -3950184.35547739, -7856689.13438111 -3950109.0169617, -7856463.84958264 -3950030.57340526, -7855972.20141188 -3949850.9058381, -7855495.37901889 -3949688.53925597, -7855029.16554153 -3949538.42740139, -7854875.64853269 -3949504.91916081, -7854651.73853572 -3949517.06497843, -7854523.80215931 -3949524.83877145, -7854355.47021194 -3949551.73262871, -7854336.0760636 -3949552.84822967, -7854275.82142606 -3949563.91688504, -7854230.06544279 -3949575.59144239, -7854187.22737221 -3949583.10186546, -7853909.93113719 -3949644.17668213, -7853771.68198622 -3949635.5471007, -7853016.90423895 -3949571.00652054)"
