stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PB241,,PB241-Parada / Mall Plaza Norte - Los Libertadores,-33.364061,-70.681349,,0
PB184,,PB184-Los Libertadores / Esq. Av. A. Vespucio,-33.366831,-70.680976,,0
PB185,,PB185-Parada / Pasarela Albany,-33.366078,-70.685797,,0
PB242,,PB242-Parada 6 / (M) Los Libertadores,-33.366340,-70.689618,,0
PB186,,PB186-Av. Independencia / Esq. H. De Iquique,-33.369143,-70.688683,,0
PB187,,PB187-Av. Independencia / Esq. H. La Concepción,-33.371564,-70.687719,,0
PB188,,PB188-Parada 1 / (M) Cardenal Caro,-33.373385,-70.686686,,0
PB251,,PB251-Av. Independencia / Esq. Trigal,-33.376754,-70.684553,,0
PB190,,PB190-Av. Independencia / Esq. El Cortijo,-33.378221,-70.683911,,0
PB191,,PB191-Av. Independencia / Esq. Quilicura,-33.381087,-70.682998,,0
PB1707,,PB1707-Av. Independencia / Esq. El Pino,-33.382911,-70.681908,,0
PB193,,PB193-Parada 1 / (M) Vivaceta,-33.385699,-70.679693,,0
PB194,,PB194-Av. Independencia / Esq. Módulo Lunar,-33.387808,-70.678342,,0
PB195,,PB195-Av. Independencia / Esq. El Olivo,-33.390738,-70.675303,,0
PB196,,PB196-Av. Independencia / Esq. Teniente Ponce,-33.393271,-70.673612,,0
PB259,,PB259-Av. Independencia / Esq. B. Mandujano,-33.396139,-70.671572,,0
PB198,,PB198-Parada 1 / (M) Conchalí,-33.397690,-70.669954,,0
PB1967,,PB1967-Av. Independencia / Esq. Pablo Urzúa,-33.401022,-70.665952,,0
PB1964,,PB1964-Parada 1 / Einstein - Independencia,-33.404130,-70.663092,,0
PB1960,,PB1960-Parada 6 / (M) Pza. Chacabuco,-33.407446,-70.660727,,0
PB1958,,PB1958-Av. Independencia / Esq. Los Nidos,-33.410212,-70.659686,,0
PB1957,,PB1957-Av. Independencia / Esq. Central,-33.412846,-70.658495,,0
PB1955,,PB1955-Av. Independencia / Esq. San Luis,-33.415866,-70.657009,,0
PB1953,,PB1953-Parada 1 / (M) Hospitales,-33.417957,-70.656336,,0
PB1951,,PB1951-Parada 3 / Hospital Clínico U. De Chile,-33.420921,-70.655628,,0
PB1950,,PB1950-Av. Independencia / Esq. Dávila Baeza,-33.425794,-70.654536,,0
PB1948,,PB1948-Av. Independencia / Esq. General Prieto,-33.429633,-70.653514,,0
PA48,,PA48-Parada 1 / Estación Mapocho,-33.432587,-70.653339,,0
PA49,,PA49-Parada / Hospital Traumatológico,-33.434367,-70.658793,,0
PA50,,PA50-Parada 1 / Teatro Teletón,-33.435663,-70.658604,,0
PA51,,PA51-Parada 3 / (M) Santa Ana,-33.438581,-70.658245,,0
PA52,,PA52-San Martín / Esq. Moneda,-33.441974,-70.657808,,0
PA53,,PA53-Parada 1 / (M) La Moneda,-33.444723,-70.657468,,0
PA30,,PA30-San Ignacio / Esq. Padre M. De Olivares,-33.448809,-70.656849,,0
PA31,,PA31-Parada / Palacio Cousiño,-33.451482,-70.656324,,0
PA54,,PA54-Santa Isabel / Esq. Lord Cochrane,-33.452981,-70.654653,,0
PA55,,PA55-Nataniel Cox / Esq. Av. 10 De Julio,-33.454146,-70.652633,,0
PA627,,PA627-Nataniel Cox / Esq. Copiapó,-33.455534,-70.652386,,0
PA56,,PA56-Nataniel Cox / Esq. Aconcagua,-33.457747,-70.652061,,0
PA57,,PA57-Nataniel Cox / Esq. Av. Manuel A. Matta,-33.459563,-70.651799,,0
PA58,,PA58-Parada / Colegio Santa Cruz,-33.463721,-70.651134,,0
PA694,,PA694-Nataniel Cox / Esq. Pedro Lagos,-33.465891,-70.650799,,0
PA60,,PA60-Nataniel Cox / Esq. Ñuble,-33.469703,-70.650203,,0
PA61,,PA61-Nataniel Cox / Esq. Franklin,-33.473153,-70.649662,,0
PA62,,PA62-Parada 1 / (M) Franklin,-33.475284,-70.648415,,0
PH110,,PH110-Parada 1 / Paradero 3 Gran Avenida,-33.479326,-70.648349,,0
PH111,,PH111-Parada 1 / Hospital Barros Luco,-33.483505,-70.649530,,0
PH112,,PH112-Parada 3 / Muni.San Miguel,-33.485463,-70.650081,,0
PH113,,PH113-Parada 1 / Paradero 8 Gran Avenida,-33.489440,-70.651169,,0
PH114,,PH114-Parada / Paradero 9 Gran Avenida,-33.491772,-70.651764,,0
PH115,,PH115-Parada / Paradero 9 1/2 Gran Avenida,-33.494884,-70.652595,,0
PH792,,PH792-Parada 3 / Paradero 10 Gran Avenida,-33.497901,-70.653443,,0
PH118,,PH118-Parada / Colegio Chile,-33.501393,-70.654451,,0
PH119,,PH119-Parada 3 / (M) Departamental,-33.503978,-70.655205,,0
PH120,,PH120-Parada / Paradero 13 Gran Avenida,-33.506017,-70.655772,,0
PH121,,PH121-Parada / Paradero 14 Gran Avenida,-33.508369,-70.656439,,0
PH122,,PH122-Parada / Paradero 15 Gran Avenida,-33.512407,-70.657589,,0
PH123,,PH123-Parada 1 / Paradero 17 Gran Avenida,-33.514332,-70.658100,,0
PG1,,PG1-Parada / (M) Lo Ovalle,-33.518425,-70.659273,,0
PG2,,PG2-Parada 1 / Paradero 19 Gran Avenida,-33.520340,-70.659817,,0
PG3,,PG3-Parada 1 / Paradero 2 Gran Avenida,-33.523956,-70.660831,,0
