Comuna,Superficie_km2,Proyeccion_Personas_2024
Santiago,22.0,544388
Providencia,14.3,164009
Ñuñoa,16.9,266906
Las Condes,99.0,343632
Vitacura,28.3,97049
Lo Barnechea,1024.0,131053
Recoleta,16.0,196856
Independencia,7.0,153624
Quilicura,58.0,275744
Conchalí,10.7,136674
Huechuraba,44.8,118327
Renca,24.0,163102
Estación Central,15.0,221901
Maipú,135.5,586812
Cerrillos,21.0,90182
Pedro Aguirre Cerda,10.0,104462
San Miguel,10.0,145424
San Joaquín,9.7,103118
La Cisterna,10.0,101401
El Bosque,14.2,169855
San Ramón,7.0,83695
La Pintana,30.6,188980
Puente Alto,88.0,667904
La Florida,70.2,407297
Macul,12.9,138361
Peñalolén,54.0,272913
La Granja,10.0,119321
Lo Espejo,7.0,100694
Lo Prado,7.0,102078
Pudahuel,197.0,261596
Cerro Navia,11.0,139632
Quinta Normal,13.0,141823
La Reina,23.0,99212
