comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13105,49257,6252,6009,5586,6497,7907,2894,84402
13104,36242,5341,5291,5110,5908,7626,2668,68186
13116,30727,3855,3710,3489,3829,4333,1340,51283
13111,36811,5020,4928,4693,5107,5952,2107,64618
13112,53961,6963,6466,5804,6180,6449,2038,87861
13109,22744,3525,3378,3720,4264,6786,2817,47234
13107,19707,2847,2527,2614,3028,6328,2567,39618
13110,84942,13403,12521,13097,15334,27065,10733,177095
13108,28928,4587,5269,5217,6285,7650,2757,60693
13121,31118,4411,3945,3800,4271,5305,1895,54745
13122,59975,7933,7894,7683,8343,13310,4257,109395
13117,29920,4142,4204,4047,4445,5465,1985,54208
13120,26305,5689,4474,5629,6562,19568,9942,78169
13118,27128,4442,4175,4526,5444,9669,4365,59749
13126,34071,5287,5512,5567,6440,8415,3295,68587
13123,11760,2720,2031,2636,2974,10490,5521,38132
13124,58747,8521,8230,8265,9907,14836,5822,114328
13201,136215,19840,18915,19334,23637,36097,14371,268409
13129,32667,4083,3991,3951,4648,6292,2606,58238
13302,26038,3415,3129,3390,4093,7420,3051,50536
13303,5070,709,630,649,791,1375,619,9843
13402,26154,3570,3290,3392,4072,6712,2953,50143
13203,4400,710,552,557,658,1144,480,8501
13601,21174,2528,2412,2433,3035,4724,1923,38229
13602,11706,1357,1259,1223,1384,1950,759,19638
13501,37305,4746,4333,4413,4464,6278,2819,64358
13403,5288,840,783,785,844,1365,479,10384
13404,21386,2981,2759,2758,3030,4082,1436,38432
13103,46983,5464,5818,5287,5928,6695,2428,78603
13113,10448,2021,1754,1923,2174,6234,2142,26696
13119,112061,18838,17349,18417,22919,40016,16678,246278
13127,48216,6480,6760,6375,7135,9091,3337,87394
13125,43705,7382,7563,7923,9667,14963,5766,96969
13130,25324,4337,4310,4831,6328,12348,6544,64022
13401,75205,10550,10118,10528,12015,17371,7008,142795
13202,5820,903,805,833,921,1687,661,11630
13603,9480,1298,1161,1134,1225,1868,672,16838
13605,19047,3162,2854,2838,3382,5573,2357,39213
13114,19750,4850,3974,4986,5447,22946,12603,74556
13131,29106,3589,3352,3177,3524,4249,1463,48460
13132,2354,731,604,747,760,4536,1390,11122
13301,31034,3927,3812,3884,4283,7623,2991,57554
13503,10060,1339,1203,1113,1159,1920,876,17670
13604,16949,2499,2260,2332,2746,4582,2034,33402
13115,9052,1664,1781,1702,1737,3992,1178,21106
13128,40993,5762,5573,5439,6266,8189,2989,75211
13502,1866,281,250,216,306,412,289,3620
13504,4101,565,494,471,514,768,317,7230
13505,3006,381,281,275,274,452,156,4825
13106,43915,6698,7552,7846,9097,11554,4489,91151
13101,85998,14190,17112,18360,23047,35535,18330,212572
13102,20855,3130,2946,2911,3406,5171,2033,40452
