comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13106,21183,3847,3326,3303,3586,4717,1772,41734
13108,12808,2398,2124,2054,2173,2910,1107,25574
13105,30127,4790,3885,3589,3484,4251,1357,51483
13107,12349,2376,1992,1920,1961,2997,1224,24819
13109,11245,2054,1586,1597,1811,2529,996,21818
13110,48095,8973,7483,7462,7903,11344,4302,95562
13104,20999,3942,3383,3304,3460,4311,1466,40865
13101,29694,5470,5123,5214,5868,8446,4112,63927
13102,12376,2305,1882,1931,1947,2742,1035,24218
13103,30127,4712,3933,3608,3731,4489,1762,52362
13120,12008,2482,2141,2231,2489,5126,2458,28935
13121,20014,3799,3036,2777,2951,3486,1337,37400
13117,19591,3444,3040,2817,2864,3633,1482,36871
13119,69156,14749,12466,13205,15924,23888,9501,158889
13118,14765,2839,2394,2408,2697,3942,1610,30655
13122,35918,5797,4813,4404,4375,4990,1532,61829
13123,4464,936,821,922,1044,2883,1521,12591
13115,5306,1294,1217,1147,1167,1564,535,12230
13111,23099,4362,3592,3429,3514,4132,1483,43611
13113,5703,1217,1017,1106,1095,2109,855,13102
13116,18867,3227,2531,2250,2167,2394,716,32152
13114,10258,2767,2407,2996,3572,11207,7933,41140
13112,34519,6062,4904,4270,4133,4156,1318,59362
13130,11984,1969,1716,1749,1913,3326,1468,24125
13132,1178,313,265,346,317,1398,534,4351
13128,25320,4705,3964,3631,3807,4770,1749,47946
13129,19892,2916,2417,2337,2617,3595,1458,35232
13201,80299,15164,13095,12845,14396,18312,6480,160591
13131,19159,3010,2434,2309,2328,2620,938,32798
13127,27485,4589,3747,3625,3706,4671,1595,49418
13124,37062,7274,6076,5781,6607,8410,3259,74469
13125,24558,5476,4833,4940,5454,7669,2734,55664
13126,19206,3694,3047,3012,3112,4311,1664,38046
13403,3054,611,495,438,473,545,233,5849
13501,23348,3563,3012,2884,2911,3786,1905,41409
13401,45204,8183,6863,6381,6598,8473,3059,84761
13404,13238,2251,1856,1680,1768,2108,770,23671
13402,15614,2507,2096,2093,2158,2524,931,27923
13502,1075,162,129,118,126,232,149,1991
13302,14973,2337,1898,1858,1761,2509,836,26172
13203,2553,434,398,369,402,515,209,4880
13303,3414,527,415,407,449,651,243,6106
13301,19358,2912,2462,2319,2369,3133,1182,33735
13202,3053,637,515,510,511,676,284,6186
13503,6711,1073,918,755,826,1093,523,11899
13602,8006,1090,914,795,775,945,355,12880
13605,12247,2634,2148,2191,2201,2933,1062,25416
13603,5780,1016,821,751,656,808,272,10104
13504,2561,458,361,310,326,349,128,4493
13505,1869,282,177,171,131,208,63,2901
13601,13796,2107,1761,1736,1967,2515,995,24877
13604,10171,1771,1518,1441,1613,2003,744,19261
