Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2007,0.0,0.0,0.0,0.0,0.162,0.146,0.13,0.122,0.113,0.128,0.143,0.128
2008,0.126,0.125,0.122,0.12,0.156,0.155,0.153,0.151,0.165,0.144,0.119,0.116
2009,0.131,0.123,0.137,0.145,0.152,0.159,0.165,0.172,0.169,0.165,0.169,0.172
2010,0.175,0.178,0.177,0.177,0.163,0.181,0.195,0.169,0.185,0.177,0.196,0.188
2011,0.205,0.19899999999999998,0.194,0.208,0.203,0.201,0.19899999999999998,0.223,0.222,0.236,0.223,0.236
2012,0.233,0.27699999999999997,0.22699999999999998,0.245,0.239,0.233,0.21800000000000003,0.203,0.20550000000000002,0.208,0.20350000000000001,0.199
2013*,0.21,0.21,0.21,0.192,0.192,0.192,0.228,0.228,0.228,0.238,0.238,0.238
2014*,0.235,0.235,0.235,0.228,0.228,0.228,0.234,0.234,0.234,0.272,0.272,0.272
2015*,0.245,0.245,0.245,0.267,0.267,0.267,0.287,0.287,0.287,0.276,0.276,0.276
2016*,0.28,0.28,0.28,0.302,0.302,0.302,0.284,0.284,0.284,0.346,0.346,0.346
2017*,0.314,0.314,0.314,0.303,0.303,0.303,0.26,0.26,0.26,0.237,0.237,0.237
2018*,0.285,0.285,0.285,0.255,0.255,0.255,0.258,0.258,0.258,0.271,0.271,0.271
2019*,0.245,0.245,0.245,0.257,0.257,0.257,0.266,0.266,0.266,0.327,0.327,0.327
2020*,0.35200000000000004,0.35200000000000004,0.35200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.365,0.365
2021*,0.35100000000000003,0.35100000000000003,0.35100000000000003,0.0,0.0,0.0,0.299,0.299,0.299,0.312,0.312,0.312
2022**,0.403,0.403,0.403,0.403,0.403,0.403,0.44,0.44,0.44,0.44,0.44,0.44
2023**,0.458,0.458,0.458,0.458,0.458,0.458,0.398,0.398,0.398,0.398,0.398,0.398
