Mes,Buses,Metro / Tren Hora Punta,Metro / Tren Hora Valle,Metro / Tren Hora Baja,Estudiantes Ed. Media/Superior,Estudiantes Ed. Básica,Adulto Mayor Intermodal
2007-02-01,380,440,380,360,130,0,0
2007-03-01,380,440,380,360,130,0,0
2007-04-01,380,440,380,360,130,0,0
2007-05-01,380,440,380,360,130,0,0
2007-06-01,380,440,380,360,130,0,0
2007-07-01,380,440,380,360,130,0,0
2007-08-01,380,440,380,360,130,0,0
2007-09-01,380,440,380,360,130,0,0
2007-10-01,380,440,380,360,130,0,0
2007-11-01,380,440,380,360,130,0,0
2007-12-01,380,440,380,360,130,0,0
2008-01-01,380,440,380,360,130,0,0
2008-02-01,380,440,380,360,130,0,0
2008-03-01,380,440,380,360,130,0,0
2008-04-01,380,440,380,360,130,0,0
2008-05-01,380,440,380,360,130,0,0
2008-06-01,380,440,380,360,130,0,0
2008-07-01,380,440,380,360,130,0,0
2008-08-01,380,440,380,360,130,0,0
2008-09-01,380,440,380,360,130,0,0
2008-10-01,380,440,380,360,130,0,0
2008-11-01,380,440,380,360,130,0,0
2008-12-01,380,440,380,360,130,0,0
2009-01-01,380,440,380,360,130,0,0
2009-02-01,400,460,400,380,130,0,0
2009-03-01,400,460,400,380,130,0,0
2009-04-01,400,460,400,380,130,0,0
2009-05-01,400,460,400,380,130,0,0
2009-06-01,400,460,400,380,130,0,0
2009-07-01,400,460,400,380,130,0,0
2009-08-01,400,460,400,380,130,0,0
2009-09-01,400,460,400,380,130,0,0
2009-10-01,400,460,400,380,130,0,0
2009-11-01,400,460,400,380,130,0,0
2009-12-01,400,460,400,380,130,0,0
2010-01-01,400,460,400,380,130,0,0
2010-02-01,400,460,400,380,130,0,0
2010-03-01,410,470,410,390,130,0,0
2010-04-01,430,490,430,410,140,0,0
2010-05-01,450,510,450,430,150,0,0
2010-06-01,480,560,500,460,160,0,0
2010-07-01,500,580,520,480,160,0,0
2010-08-01,500,580,520,480,160,0,0
2010-09-01,500,580,520,480,160,0,0
2010-10-01,500,580,520,480,160,0,0
2010-11-01,500,580,520,480,160,0,0
2010-12-01,500,580,520,480,160,0,0
2011-01-01,520,600,540,490,170,0,0
2011-02-01,540,620,560,510,180,0,0
2011-03-01,540,620,560,510,180,0,0
2011-04-01,540,620,560,510,180,0,0
2011-05-01,540,620,560,510,180,0,0
2011-06-01,540,620,560,510,180,0,0
2011-07-01,550,630,570,520,180,0,0
2011-08-01,550,630,570,520,180,0,0
2011-09-01,550,630,570,520,180,0,0
2011-10-01,550,630,570,520,180,0,0
2011-11-01,560,640,580,530,180,0,0
2011-12-01,560,640,580,530,180,0,0
2012-01-01,560,640,580,530,180,0,0
2012-02-01,580,660,600,550,190,0,0
2012-03-01,580,660,600,550,190,0,0
2012-04-01,580,660,600,550,190,0,0
2012-05-01,580,660,600,550,190,0,0
2012-06-01,590,670,610,560,190,0,0
2012-07-01,590,670,610,560,190,0,0
2012-08-01,590,670,610,560,190,0,0
2012-09-01,590,670,610,560,190,0,0
2012-10-01,590,670,610,560,190,0,0
2012-11-01,590,670,610,560,190,0,0
2012-12-01,590,670,610,560,190,0,0
2013-01-01,590,670,610,560,190,0,0
2013-02-01,590,670,610,560,190,0,0
2013-03-01,590,670,610,560,190,0,0
2013-04-01,590,670,610,560,190,0,0
2013-05-01,590,670,610,560,190,0,0
2013-06-01,590,670,610,560,190,0,0
2013-07-01,590,670,610,560,190,0,0
2013-08-01,590,670,610,560,190,0,0
2013-09-01,590,670,610,560,190,0,0
2013-10-01,590,670,610,560,190,0,0
2013-11-01,590,670,610,560,190,0,0
2013-12-01,600,680,620,570,200,0,0
2014-01-01,600,680,620,570,200,0,0
2014-02-01,600,680,620,570,200,0,0
2014-03-01,600,680,620,570,200,0,0
2014-04-01,600,680,620,570,200,0,0
2014-05-01,610,690,630,580,200,0,0
2014-06-01,610,690,630,580,200,0,0
2014-07-01,610,690,630,580,200,0,0
2014-08-01,610,690,630,580,200,0,0
2014-09-01,620,700,640,590,200,0,0
2014-10-01,620,700,640,590,200,0,0
2014-11-01,620,700,640,590,200,0,0
2014-12-01,620,700,640,590,200,0,0
2015-01-01,640,720,660,610,210,0,0
2015-02-01,640,720,660,610,210,0,0
2015-03-01,640,720,660,610,210,0,0
2015-04-01,640,720,660,610,210,0,0
2015-05-01,640,720,660,610,210,0,0
2015-06-01,640,720,660,610,210,0,0
2015-07-01,640,720,660,610,210,0,0
2015-08-01,640,720,660,610,210,0,0
2015-09-01,640,720,660,610,210,0,0
2015-10-01,640,720,660,610,210,0,0
2015-11-01,640,720,660,610,210,0,0
2015-12-01,640,720,660,610,210,0,0
2016-01-01,640,720,660,610,210,0,0
2016-02-01,640,740,660,610,210,0,0
2016-03-01,640,740,660,610,210,0,0
2016-04-01,640,740,660,610,210,0,0
2016-05-01,640,740,660,610,210,0,0
2016-06-01,640,740,660,610,210,0,0
2016-07-01,640,740,660,610,210,0,0
2016-08-01,640,740,660,610,210,0,0
2016-09-01,640,740,660,610,210,0,0
2016-10-01,640,740,660,610,210,0,0
2016-11-01,640,740,660,610,210,0,0
2016-12-01,640,740,660,610,210,0,0
2017-01-01,640,740,660,610,210,0,0
2017-02-01,640,740,660,610,210,0,0
2017-03-01,640,740,660,610,210,0,0
2017-04-01,640,740,660,610,210,0,0
2017-05-01,640,740,660,610,210,0,0
2017-06-01,640,740,660,610,210,0,0
2017-07-01,640,740,660,610,210,0,0
2017-08-01,640,740,660,610,210,0,0
2017-09-01,640,740,660,610,210,0,0
2017-10-01,640,740,660,610,210,0,0
2017-11-01,640,740,660,610,210,0,0
2017-12-01,640,740,660,610,210,0,0
2018-01-01,640,740,660,610,210,0,0
2018-02-01,660,760,680,630,220,0,0
2018-03-01,660,760,680,630,220,0,0
2018-04-01,660,760,680,630,220,0,0
2018-05-01,660,760,680,630,220,0,0
2018-06-01,660,760,680,630,220,0,0
2018-07-01,660,760,680,630,220,0,0
2018-08-01,660,760,680,630,220,0,0
2018-09-01,660,760,680,630,220,0,0
2018-10-01,680,780,700,650,220,0,0
2018-11-01,680,780,700,650,220,0,0
2018-12-01,680,780,700,650,220,0,0
2019-01-01,700,800,720,670,230,0,0
2019-02-01,700,800,720,670,230,0,0
2019-03-01,700,800,720,670,230,0,0
2019-04-01,700,800,720,670,230,0,0
2019-05-01,700,800,720,670,230,0,0
2019-06-01,700,800,720,670,230,0,0
2019-07-01,700,800,720,670,230,0,0
2019-08-01,700,800,720,670,230,0,0
2019-09-01,700,800,720,670,230,0,0
2019-10-01,700,800,720,640,230,0,0
2019-11-01,700,800,720,640,230,0,0
2019-12-01,700,800,720,640,230,0,0
2020-01-01,700,800,720,640,230,0,0
2020-02-01,700,800,720,640,230,0,0
2020-03-01,700,800,720,640,230,0,0
2020-04-01,700,800,720,640,230,0,0
2020-05-01,700,800,720,640,230,0,0
2020-06-01,700,800,720,640,230,0,0
2020-07-01,700,800,720,640,230,0,350
2020-08-01,700,800,720,640,230,0,350
2020-09-01,700,800,720,640,230,0,350
2020-10-01,700,800,720,640,230,0,350
2020-11-01,700,800,720,640,230,0,350
2020-12-01,700,800,720,640,230,0,350
2021-01-01,700,800,720,640,230,0,350
2021-02-01,700,800,720,640,230,0,350
2021-03-01,700,800,720,640,230,0,350
2021-04-01,700,800,720,640,230,0,350
2021-05-01,700,800,720,640,230,0,350
2021-06-01,700,800,720,640,230,0,350
2021-07-01,700,800,720,640,230,0,350
2021-08-01,700,800,720,640,230,0,350
2021-09-01,700,800,720,640,230,0,350
2021-10-01,700,800,720,640,230,0,350
2021-11-01,700,800,720,640,230,0,350
2021-12-01,700,800,720,640,230,0,350
2022-01-01,700,800,720,640,230,0,350
2022-02-01,700,800,720,640,230,0,350
2022-03-01,700,800,720,640,230,0,350
2022-04-01,700,800,720,640,230,0,350
2022-05-01,700,800,720,640,230,0,350
2022-06-01,700,800,720,640,230,0,350
2022-07-01,700,800,720,640,230,0,350
2022-08-01,700,800,720,640,230,0,350
2022-09-01,700,800,720,640,230,0,350
2022-10-01,700,800,720,640,230,0,350
2022-11-01,700,800,720,640,230,0,350
2022-12-01,700,800,720,640,230,0,350
2023-01-01,700,800,720,640,230,0,350
2023-02-01,700,800,720,640,230,0,350
2023-03-01,700,800,720,640,230,0,350
2023-04-01,700,800,720,640,230,0,350
2023-05-01,700,800,720,640,230,0,350
2023-06-01,700,800,720,640,230,0,350
2023-07-01,700,800,720,640,230,0,350
2023-08-01,710,810,730,650,230,0,350
2023-09-01,710,810,730,650,230,0,350
2023-10-01,710,810,730,650,230,0,350
2023-11-01,710,810,730,650,230,0,350
2023-12-01,710,810,730,650,230,0,350
