Unnamed: 1,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Enero,80933968,81294809,81862930,82383326,83039519,81796218,78793458,76633029,75442044,81086046,84889694,70915086,36396472,50439275,58541964
Febrero,66206670,64241039,67173642,65654985,64421762,63698782,64512008,66813015,62679794,68101048,69297396,59730178,36078817,42690670,49823838
Marzo,96647493,91914800,99287774,94288042,90928356,94158183,93248362,90459821,94309073,95729911,98882745,48464641,38900057,67888295,75115187
Abril,95664225,98579572,95872449,91316563,99904140,95828508,92909518,90359138,83955678,97624655,99240928,15129878,24020846,66248322,69558671
Mayo,92436981,100996309,101107501,96746668,95567584,95510916,88934747,93978784,94863191,98386967,100025186,12683372,33952409,69451109,76953244
Junio,90559726,96541681,93414270,94584908,92060536,89739503,89913551,86577958,88442974,94494401,93871560,10799851,33085322,62803174,69371069
Julio,91939572,94551320,90611677,90157871,93338289,90997460,87325582,84892381,87837535,87495800,93801693,13225844,45155952,59961752,71064542
Agosto,95948700,99321786,92499938,98645306,97828940,93668508,89740318,93037967,95602277,101161943,100338642,19448326,51224699,70300418,77165494
Septiembre,91636850,93264871,93050291,85226727,85262221,88183310,87462661,88476482,87426409,85206515,87137435,27635092,52187642,65109590,70965057
Octubre,97434491,98502057,92681684,100577178,101646123,99764936,92992749,87421152,94126515,103002323,75557786,36266102,56278852,66769607,78202947
Noviembre,96296631,97521277,95381407,94913039,95361407,91475960,92188661,89724745,96456830,95177954,60782052,40299774,58245862,68634350,79754706
Diciembre,95772084,97809949,95317793,93395573,95121669,92031162,89379387,88768004,90679882,92608972,73667395,41962507,61422008,66667069,75304854
