Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Volver
REGIÓN METROPOLITANA DE SANTIAGO,,,,,,,,,,,
NÚMERO DE HOGARES POR CALIFICACIÓN SOCIECONÓMICA SEGÚN COMUNA,,,,,,,,,,,
Agosto 2023,,,,,,,,,,,
Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Sin información*,Total,,
Santiago,73905,13297,16663,19126,24758,43552,27537,0,218838,,
Cerrillos,18735,3345,3266,3204,3861,6036,2493,0,40940,,
Cerro Navia,41762,6133,6216,5892,6894,8314,2918,0,78129,,
Conchalí,31731,5656,5837,5493,6749,9131,3318,0,67915,,
El Bosque,44257,6788,6638,6290,7425,9714,3556,0,84668,,
Estación Central,40010,7012,7655,7992,9932,14328,6336,0,93265,,
Huechuraba,17965,2921,2968,2886,3450,7003,3547,0,40740,,
Independencia,25533,4679,5435,5638,6778,9444,3942,0,61449,,
La Cisterna,20723,3595,3794,3934,4999,8392,3695,0,49132,,
La Florida,73663,14169,14608,14766,17541,31351,14514,0,180612,,
La Granja,32921,5569,5404,5052,5738,7340,2651,0,64675,,
La Pintana,49279,7490,7368,6493,7321,8123,2461,0,88535,,
La Reina,9495,1938,2104,2128,2476,6692,3085,0,27918,,
Las Condes,18238,4649,4889,5785,6471,23753,18287,0,82072,,
Lo Barnechea,8659,1772,1925,1936,2031,4404,1902,0,22629,,
Lo Espejo,28256,4098,4030,3692,4329,5278,1617,0,51300,,
Lo Prado,26346,4526,4599,4209,5107,6569,2411,0,53767,,
Macul,23586,4574,4766,4768,5898,11337,5870,0,60799,,
Maipú,96868,19644,20057,19969,25179,46218,20356,0,248291,,
Ñuñoa,22286,5238,5612,6350,7338,21302,15140,0,83266,,
Pedro Aguirre Cerda,28264,4761,4416,4033,4706,6202,2332,0,54714,,
Peñalolén,53350,8775,8810,8493,9709,15506,5784,0,110427,,
Providencia,9548,2282,2450,3088,3374,10941,8493,0,40176,,
Pudahuel,53398,9104,8884,8834,10971,17305,7094,0,115590,,
Quilicura,39816,7496,7781,8018,10819,17560,6849,0,98339,,
Quinta Normal,30396,5337,5742,5783,6955,10199,4301,0,68713,,
Recoleta,42629,6802,7190,7276,8117,11172,4429,0,87615,,
Renca,36348,6142,6117,5898,7144,9719,3554,0,74922,,
San Joaquín,29605,4439,4512,4330,5216,7828,3348,0,59278,,
San Miguel,22622,4119,4583,5142,6607,14260,9014,0,66347,,
San Ramón,26208,3878,3691,3456,4148,5055,1795,0,48231,,
Vitacura,2291,633,747,872,900,4681,2426,0,12550,,
Puente Alto,120898,21633,21564,21348,26636,42528,17678,0,272285,,
Pirque,5505,924,959,869,1037,1962,775,0,12031,,
San José de Maipo,4262,686,662,611,736,1221,540,0,8718,,
Colina,29233,4178,4137,4151,5052,8828,3843,0,59422,,
Lampa,25205,3528,3512,3710,4712,8655,3712,0,53034,,
Tiltil,4732,775,726,698,867,1567,718,0,10083,,
San Bernardo,69072,11279,11230,11115,13559,20295,8281,0,144831,,
Buin,25047,3822,3763,3657,4732,7704,3557,0,52282,,
Calera de Tango,5057,852,867,814,892,1471,577,0,10530,,
Paine,20794,3070,3024,2956,3368,4779,1734,0,39725,,
Melipilla,36170,5184,4944,4561,4966,7355,3275,0,66455,,
Alhué,1942,283,278,240,306,571,311,0,3931,,
Curacaví,9929,1374,1298,1200,1335,2335,960,0,18431,,
María Pinto,4073,603,520,483,572,907,368,0,7526,,
San Pedro,3046,404,362,314,323,515,180,0,5144,,
Talagante,19989,2889,2862,2753,3489,5563,2229,0,39774,,
El Monte,10857,1401,1376,1298,1684,2274,854,0,19744,,
Isla de Maipo,9188,1362,1293,1219,1405,2118,775,0,17360,,
Padre Hurtado,16088,2649,2682,2560,3206,5552,2481,0,35218,,
Peñaflor,17824,3256,3186,3148,3591,6324,2669,0,39998,,
Región Metropolitana,1517604,261013,268002,268531,325409,551233,260572,0,3452364,,
"Fuente: Registro Social de Hogares, Ministerio de Desarrollo Social y Familia",,,,,,,,,,,
"*En la columna ""Sin información"" se contabilizan los registros que tienen valores nulos o fuera de rango en la variable de apertura. Si solo esta columna tiene datos es porque no existe información para la variable de apertura seleccionada en el periodo consultado.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
. ,,,,,,,,,,,
