REGIÓN METROPOLITANA DE SANTIAGO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Volver
"NÚMERO DE PERSONAS INSCRITAS EN EL REGISTRO SOCIAL DE HOGARES, ESTIMACIÓN",,,,,
INE DE POBLACIÓN Y PORCENTAJE DE PERSONAS EN RSH SEGÚN COMUNA,,,,,
Agosto 2023,,,,,
Comuna,Población en RSH a abril de 2023*,Proyección de población INE a 2023**,% de población en  RSH,,
Santiago,344551,536089,0.6427123108289855,,
Cerrillos,77473,90060,0.8602376193648679,,
Cerro Navia,139477,140581,0.9921468761781465,,
Conchalí,123864,137678,0.8996644344049158,,
El Bosque,156659,170536,0.9186271520382793,,
Estación Central,161053,219897,0.732401988203568,,
Huechuraba,82366,117121,0.7032556074487069,,
Independencia,105872,151890,0.6970307459345579,,
La Cisterna,87203,101377,0.8601852491196228,,
La Florida,330953,406796,0.8135601136687677,,
La Granja,119500,120249,0.9937712579730392,,
La Pintana,182524,189151,0.964964499262494,,
La Reina,53955,99686,0.541249523503802,,
Las Condes,154593,341183,0.4531087422292435,,
Lo Barnechea,45958,129790,0.3540950766623006,,
Lo Espejo,97456,101615,0.9590710032967573,,
Lo Prado,95029,102923,0.9233018858758489,,
Macul,107293,137735,0.7789813772824628,,
Maipú,465822,586337,0.7944612057570988,,
Ñuñoa,146663,263319,0.5569784178126151,,
Pedro Aguirre Cerda,102722,105483,0.9738251661405155,,
Peñalolén,204960,271854,0.7539340969785252,,
Providencia,64516,162837,0.39619988086245755,,
Pudahuel,217639,260129,0.8366579658554025,,
Quilicura,195316,271385,0.7197007940748383,,
Quinta Normal,120414,140964,0.854218098237848,,
Recoleta,156509,196073,0.7982180106388947,,
Renca,143400,162854,0.8805433087305193,,
San Joaquín,99426,103420,0.9613807774124927,,
San Miguel,113893,142549,0.7989743877543862,,
San Ramón,85684,84495,1.0140718385703296,,
Vitacura,24347,97388,0.25,,
Puente Alto,522836,664370,0.7869650947514186,,
Pirque,24596,32412,0.7588547451561151,,
San José de Maipo,16191,19330,0.8376099327470253,,
Colina,118130,193594,0.6101945308222362,,
Lampa,104991,139266,0.7538882426435741,,
Tiltil,19051,22262,0.8557631839008175,,
San Bernardo,288747,345583,0.8355358915224418,,
Buin,102087,116032,0.8798176365140651,,
Calera de Tango,21489,29880,0.7191767068273093,,
Paine,76524,87059,0.8789901101551821,,
Melipilla,132476,147275,0.8995145136649125,,
Alhué,7348,7756,0.9473955647240846,,
Curacaví,34821,37932,0.9179848149319836,,
María Pinto,15370,15503,0.9914210152873637,,
San Pedro,10504,12412,0.8462777956815984,,
Talagante,73373,84670,0.8665761190504311,,
El Monte,37393,41711,0.8964781472513246,,
Isla de Maipo,35121,41876,0.8386904193332696,,
Padre Hurtado,68633,79925,0.8587175477009696,,
Peñaflor,85550,105498,0.8109158467459099,,
Región Metropolitana,6402321,8367790,0.7651149228171357,,
"Fuente: (*) Registro Social de Hogares, Ministerio de Desarrollo Social y Familia",,,,,
               (**) Instituto Nacional de Estadísticas,,,,,
