Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Total
Santiago,21978.0,5479.0,4967.0,4335.0,3824.0,5192.0,1211.0,46986.0
Cerrillos,8156.0,2032.0,1572.0,1151.0,1045.0,1196.0,228.0,15380.0
Cerro Navia,17469.0,3104.0,2206.0,1567.0,1047.0,954.0,139.0,26486.0
Conchalí,14951.0,3559.0,2844.0,1982.0,1638.0,1771.0,253.0,26998.0
El Bosque,20077.0,4011.0,3091.0,2190.0,1730.0,1636.0,324.0,33059.0
Estación Central,15242.0,3393.0,2680.0,2104.0,1692.0,2120.0,436.0,27667.0
Huechuraba,8130.0,1555.0,1220.0,966.0,809.0,1307.0,448.0,14435.0
Independencia,9220.0,2118.0,1687.0,1395.0,1125.0,1376.0,283.0,17204.0
La Cisterna,9982.0,2167.0,1858.0,1429.0,1268.0,1831.0,344.0,18879.0
La Florida,35501.0,9583.0,8600.0,6931.0,5721.0,8174.0,1761.0,76271.0
La Granja,15613.0,3499.0,2699.0,1877.0,1324.0,1313.0,209.0,26534.0
La Pintana,20102.0,4159.0,3125.0,2131.0,1468.0,927.0,95.0,32007.0
La Reina,5099.0,1446.0,1331.0,1278.0,1145.0,3187.0,933.0,14419.0
Las Condes,10510.0,3687.0,3678.0,4263.0,3997.0,15370.0,7893.0,49398.0
Lo Barnechea,3864.0,1010.0,903.0,798.0,583.0,1636.0,590.0,9384.0
Lo Espejo,13634.0,2420.0,1706.0,1171.0,878.0,707.0,92.0,20608.0
Lo Prado,12249.0,2753.0,1969.0,1371.0,969.0,1062.0,173.0,20546.0
Macul,11661.0,3098.0,2679.0,2194.0,1957.0,2809.0,664.0,25062.0
Maipú,46189.0,12726.0,11102.0,8907.0,7540.0,10557.0,2159.0,99180.0
Ñuñoa,12501.0,4069.0,4105.0,3887.0,3586.0,7348.0,2092.0,37588.0
Pedro Aguirre Cerda,14912.0,3222.0,2358.0,1693.0,1279.0,1313.0,244.0,25021.0
Peñalolén,22405.0,4786.0,3573.0,2693.0,2125.0,3170.0,792.0,39544.0
Providencia,4986.0,1596.0,1690.0,1897.0,1706.0,4821.0,1641.0,18337.0
Pudahuel,23510.0,5001.0,3749.0,2899.0,2255.0,2468.0,453.0,40335.0
Quilicura,13641.0,3463.0,2844.0,2237.0,2030.0,2485.0,466.0,27166.0
Quinta Normal,13568.0,2987.0,2354.0,1634.0,1293.0,1537.0,287.0,23660.0
Recoleta,18258.0,3768.0,2963.0,2165.0,1630.0,2092.0,361.0,31237.0
Renca,15400.0,3428.0,2610.0,1814.0,1291.0,1279.0,168.0,25990.0
San Joaquín,13653.0,2590.0,2017.0,1370.0,1118.0,1300.0,267.0,22315.0
San Miguel,9942.0,2272.0,2012.0,1858.0,1512.0,2763.0,706.0,21065.0
San Ramón,11912.0,2203.0,1473.0,912.0,704.0,633.0,100.0,17937.0
Vitacura,1521.0,527.0,632.0,728.0,648.0,3540.0,1299.0,8895.0
Puente Alto,50429.0,12611.0,10287.0,7875.0,6698.0,7559.0,1404.0,96863.0
Pirque,2576.0,553.0,451.0,324.0,302.0,518.0,152.0,4876.0
San José de Maipo,1815.0,404.0,335.0,238.0,168.0,305.0,76.0,3341.0
Colina,9832.0,1767.0,1264.0,957.0,781.0,1305.0,321.0,16227.0
Lampa,7571.0,1313.0,961.0,788.0,622.0,874.0,160.0,12289.0
Tiltil,2105.0,442.0,325.0,236.0,165.0,256.0,52.0,3581.0
San Bernardo,27524.0,5865.0,4789.0,3606.0,2944.0,3362.0,666.0,48756.0
Buin,9335.0,1964.0,1448.0,1071.0,876.0,1119.0,253.0,16066.0
Calera de Tango,2166.0,448.0,382.0,270.0,212.0,362.0,82.0,3922.0
Paine,8294.0,1585.0,1160.0,903.0,621.0,930.0,193.0,13686.0
Melipilla,15974.0,2978.0,2229.0,1607.0,1232.0,1574.0,384.0,25978.0
Alhué,847.0,140.0,136.0,103.0,72.0,92.0,31.0,1421.0
Curacaví,4382.0,781.0,560.0,428.0,342.0,544.0,156.0,7193.0
María Pinto,1959.0,353.0,221.0,179.0,153.0,231.0,41.0,3137.0
San Pedro,1657.0,248.0,174.0,109.0,68.0,174.0,27.0,2457.0
Talagante,7921.0,1540.0,1199.0,941.0,764.0,1078.0,217.0,13660.0
El Monte,4480.0,702.0,539.0,373.0,273.0,377.0,80.0,6824.0
Isla de Maipo,4040.0,784.0,575.0,412.0,336.0,389.0,77.0,6613.0
Padre Hurtado,6472.0,1298.0,977.0,689.0,554.0,690.0,155.0,10835.0
Peñaflor,8327.0,2104.0,1660.0,1296.0,983.0,1260.0,272.0,15902.0
Región Metropolitana,653542.0,149591.0,121969.0,96232.0,79103.0,120873.0,31910.0,1253220.0
