Comuna,Sin dependencia moderada/severa,Con dependencia moderada/severa,Total
Santiago,340648.0,3903.0,344551.0
Cerrillos,75421.0,2052.0,77473.0
Cerro Navia,136764.0,2713.0,139477.0
Conchalí,122041.0,1823.0,123864.0
El Bosque,154582.0,2077.0,156659.0
Estación Central,159128.0,1925.0,161053.0
Huechuraba,81455.0,911.0,82366.0
Independencia,104536.0,1336.0,105872.0
La Cisterna,85827.0,1376.0,87203.0
La Florida,326378.0,4575.0,330953.0
La Granja,117750.0,1750.0,119500.0
La Pintana,180581.0,1943.0,182524.0
La Reina,52542.0,1413.0,53955.0
Las Condes,151652.0,2941.0,154593.0
Lo Barnechea,45274.0,684.0,45958.0
Lo Espejo,95746.0,1710.0,97456.0
Lo Prado,93795.0,1234.0,95029.0
Macul,105789.0,1504.0,107293.0
Maipú,460348.0,5474.0,465822.0
Ñuñoa,143987.0,2676.0,146663.0
Pedro Aguirre Cerda,100961.0,1761.0,102722.0
Peñalolén,202526.0,2434.0,204960.0
Providencia,63283.0,1233.0,64516.0
Pudahuel,214874.0,2765.0,217639.0
Quilicura,193122.0,2194.0,195316.0
Quinta Normal,118555.0,1859.0,120414.0
Recoleta,153831.0,2678.0,156509.0
Renca,141620.0,1780.0,143400.0
San Joaquín,98020.0,1406.0,99426.0
San Miguel,112426.0,1467.0,113893.0
San Ramón,84286.0,1398.0,85684.0
Vitacura,23911.0,436.0,24347.0
Puente Alto,516518.0,6318.0,522836.0
Pirque,24383.0,213.0,24596.0
San José de Maipo,16014.0,177.0,16191.0
Colina,116850.0,1280.0,118130.0
Lampa,103607.0,1384.0,104991.0
Tiltil,18822.0,229.0,19051.0
San Bernardo,285136.0,3611.0,288747.0
Buin,100874.0,1213.0,102087.0
Calera de Tango,21161.0,328.0,21489.0
Paine,75645.0,879.0,76524.0
Melipilla,130682.0,1794.0,132476.0
Alhué,7282.0,66.0,7348.0
Curacaví,34043.0,778.0,34821.0
María Pinto,15239.0,131.0,15370.0
San Pedro,10347.0,157.0,10504.0
Talagante,72599.0,774.0,73373.0
El Monte,36868.0,525.0,37393.0
Isla de Maipo,34779.0,342.0,35121.0
Padre Hurtado,67641.0,992.0,68633.0
Peñaflor,84444.0,1106.0,85550.0
Región Metropolitana,6314593.0,87728.0,6402321.0
