Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Total
Santiago,55493.0,10108.0,12698.0,14176.0,17637.0,22911.0,9838,142861
Cerrillos,4013.0,656.0,689.0,687.0,725.0,704.0,175,7649
Cerro Navia,6967.0,986.0,1134.0,1107.0,1018.0,815.0,158,12185
Conchalí,7727.0,1240.0,1510.0,1395.0,1509.0,1372.0,282,15035
El Bosque,4287.0,670.0,697.0,618.0,622.0,512.0,110,7516
Estación Central,21157.0,3980.0,4706.0,4804.0,5787.0,6330.0,2084,48848
Huechuraba,1995.0,360.0,384.0,412.0,447.0,888.0,517,5003
Independencia,19386.0,3622.0,4331.0,4475.0,4783.0,5107.0,1491,43195
La Cisterna,5202.0,978.0,1191.0,1154.0,1382.0,1421.0,382,11710
La Florida,9845.0,1815.0,2190.0,2274.0,2781.0,3459.0,1512,23876
La Granja,3775.0,573.0,666.0,550.0,632.0,535.0,126,6857
La Pintana,3225.0,451.0,462.0,432.0,423.0,353.0,58,5404
La Reina,1329.0,218.0,341.0,232.0,310.0,592.0,287,3309
Las Condes,3162.0,686.0,904.0,863.0,1113.0,2669.0,2104,11501
Lo Barnechea,1324.0,328.0,428.0,383.0,434.0,506.0,186,3589
Lo Espejo,3938.0,637.0,647.0,633.0,667.0,495.0,68,7085
Lo Prado,5435.0,886.0,1119.0,900.0,1056.0,854.0,200,10450
Macul,4731.0,889.0,1051.0,1125.0,1411.0,2220.0,1003,12430
Maipú,9894.0,1810.0,1806.0,1882.0,2012.0,2407.0,815,20626
Ñuñoa,4486.0,977.0,1147.0,1355.0,1814.0,4115.0,2977,16871
Pedro Aguirre Cerda,4951.0,761.0,816.0,731.0,698.0,513.0,91,8561
Peñalolén,6734.0,1084.0,1252.0,1305.0,1265.0,1383.0,446,13469
Providencia,1941.0,386.0,503.0,573.0,676.0,1308.0,1024,6411
Pudahuel,6072.0,976.0,1064.0,1055.0,1156.0,1194.0,323,11840
Quilicura,11333.0,2149.0,2332.0,2266.0,2630.0,2639.0,566,23915
Quinta Normal,12123.0,2078.0,2498.0,2602.0,2845.0,2986.0,815,25947
Recoleta,16982.0,2512.0,2879.0,2928.0,2743.0,2538.0,595,31177
Renca,4938.0,793.0,820.0,873.0,916.0,821.0,152,9313
San Joaquín,5260.0,883.0,1094.0,1050.0,1213.0,1417.0,483,11400
San Miguel,9966.0,1930.0,2502.0,2656.0,3361.0,5134.0,2361,27910
San Ramón,2820.0,476.0,453.0,414.0,493.0,384.0,66,5106
Vitacura,397.0,114.0,156.0,145.0,187.0,370.0,204,1573
Puente Alto,8791.0,1391.0,1580.0,1538.0,1644.0,1876.0,543,17363
Pirque,178.0,31.0,33.0,29.0,30.0,58.0,10,369
San José de Maipo,276.0,49.0,46.0,46.0,47.0,43.0,13,520
Colina,6569.0,905.0,959.0,867.0,916.0,976.0,271,11463
Lampa,4439.0,673.0,728.0,673.0,883.0,973.0,292,8661
Tiltil,372.0,66.0,72.0,51.0,72.0,90.0,20,743
San Bernardo,7828.0,1230.0,1338.0,1331.0,1261.0,1191.0,312,14491
Buin,2153.0,338.0,340.0,342.0,407.0,432.0,177,4189
Calera de Tango,369.0,55.0,90.0,68.0,53.0,67.0,13,715
Paine,2542.0,265.0,303.0,307.0,309.0,262.0,43,4031
Melipilla,4415.0,458.0,533.0,463.0,460.0,442.0,133,6904
Alhué,447.0,37.0,60.0,38.0,25.0,21.0,Entre 1 y 9,-
Curacaví,659.0,106.0,114.0,85.0,83.0,99.0,31,1177
María Pinto,160.0,20.0,20.0,28.0,32.0,20.0,Entre 1 y 9,-
San Pedro,474.0,32.0,57.0,43.0,20.0,31.0,Entre 1 y 9,-
Talagante,1694.0,279.0,285.0,233.0,216.0,269.0,65,3041
El Monte,541.0,65.0,77.0,70.0,94.0,61.0,24,932
Isla de Maipo,485.0,55.0,62.0,65.0,44.0,77.0,25,813
Padre Hurtado,1690.0,263.0,293.0,298.0,302.0,391.0,109,3346
Peñaflor,1241.0,216.0,221.0,223.0,214.0,237.0,89,2441
Región Metropolitana,306211.0,52546.0,61681.0,62853.0,71858.0,86568.0,33683,675400
