Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Sin información*,Total
Santiago,73905.0,13297.0,16663.0,19126.0,24758.0,43552.0,27537.0,0.0,218838.0
Cerrillos,18735.0,3345.0,3266.0,3204.0,3861.0,6036.0,2493.0,0.0,40940.0
Cerro Navia,41762.0,6133.0,6216.0,5892.0,6894.0,8314.0,2918.0,0.0,78129.0
Conchalí,31731.0,5656.0,5837.0,5493.0,6749.0,9131.0,3318.0,0.0,67915.0
El Bosque,44257.0,6788.0,6638.0,6290.0,7425.0,9714.0,3556.0,0.0,84668.0
Estación Central,40010.0,7012.0,7655.0,7992.0,9932.0,14328.0,6336.0,0.0,93265.0
Huechuraba,17965.0,2921.0,2968.0,2886.0,3450.0,7003.0,3547.0,0.0,40740.0
Independencia,25533.0,4679.0,5435.0,5638.0,6778.0,9444.0,3942.0,0.0,61449.0
La Cisterna,20723.0,3595.0,3794.0,3934.0,4999.0,8392.0,3695.0,0.0,49132.0
La Florida,73663.0,14169.0,14608.0,14766.0,17541.0,31351.0,14514.0,0.0,180612.0
La Granja,32921.0,5569.0,5404.0,5052.0,5738.0,7340.0,2651.0,0.0,64675.0
La Pintana,49279.0,7490.0,7368.0,6493.0,7321.0,8123.0,2461.0,0.0,88535.0
La Reina,9495.0,1938.0,2104.0,2128.0,2476.0,6692.0,3085.0,0.0,27918.0
Las Condes,18238.0,4649.0,4889.0,5785.0,6471.0,23753.0,18287.0,0.0,82072.0
Lo Barnechea,8659.0,1772.0,1925.0,1936.0,2031.0,4404.0,1902.0,0.0,22629.0
Lo Espejo,28256.0,4098.0,4030.0,3692.0,4329.0,5278.0,1617.0,0.0,51300.0
Lo Prado,26346.0,4526.0,4599.0,4209.0,5107.0,6569.0,2411.0,0.0,53767.0
Macul,23586.0,4574.0,4766.0,4768.0,5898.0,11337.0,5870.0,0.0,60799.0
Maipú,96868.0,19644.0,20057.0,19969.0,25179.0,46218.0,20356.0,0.0,248291.0
Ñuñoa,22286.0,5238.0,5612.0,6350.0,7338.0,21302.0,15140.0,0.0,83266.0
Pedro Aguirre Cerda,28264.0,4761.0,4416.0,4033.0,4706.0,6202.0,2332.0,0.0,54714.0
Peñalolén,53350.0,8775.0,8810.0,8493.0,9709.0,15506.0,5784.0,0.0,110427.0
Providencia,9548.0,2282.0,2450.0,3088.0,3374.0,10941.0,8493.0,0.0,40176.0
Pudahuel,53398.0,9104.0,8884.0,8834.0,10971.0,17305.0,7094.0,0.0,115590.0
Quilicura,39816.0,7496.0,7781.0,8018.0,10819.0,17560.0,6849.0,0.0,98339.0
Quinta Normal,30396.0,5337.0,5742.0,5783.0,6955.0,10199.0,4301.0,0.0,68713.0
Recoleta,42629.0,6802.0,7190.0,7276.0,8117.0,11172.0,4429.0,0.0,87615.0
Renca,36348.0,6142.0,6117.0,5898.0,7144.0,9719.0,3554.0,0.0,74922.0
San Joaquín,29605.0,4439.0,4512.0,4330.0,5216.0,7828.0,3348.0,0.0,59278.0
San Miguel,22622.0,4119.0,4583.0,5142.0,6607.0,14260.0,9014.0,0.0,66347.0
San Ramón,26208.0,3878.0,3691.0,3456.0,4148.0,5055.0,1795.0,0.0,48231.0
Vitacura,2291.0,633.0,747.0,872.0,900.0,4681.0,2426.0,0.0,12550.0
Puente Alto,120898.0,21633.0,21564.0,21348.0,26636.0,42528.0,17678.0,0.0,272285.0
Pirque,5505.0,924.0,959.0,869.0,1037.0,1962.0,775.0,0.0,12031.0
San José de Maipo,4262.0,686.0,662.0,611.0,736.0,1221.0,540.0,0.0,8718.0
Colina,29233.0,4178.0,4137.0,4151.0,5052.0,8828.0,3843.0,0.0,59422.0
Lampa,25205.0,3528.0,3512.0,3710.0,4712.0,8655.0,3712.0,0.0,53034.0
Tiltil,4732.0,775.0,726.0,698.0,867.0,1567.0,718.0,0.0,10083.0
San Bernardo,69072.0,11279.0,11230.0,11115.0,13559.0,20295.0,8281.0,0.0,144831.0
Buin,25047.0,3822.0,3763.0,3657.0,4732.0,7704.0,3557.0,0.0,52282.0
Calera de Tango,5057.0,852.0,867.0,814.0,892.0,1471.0,577.0,0.0,10530.0
Paine,20794.0,3070.0,3024.0,2956.0,3368.0,4779.0,1734.0,0.0,39725.0
Melipilla,36170.0,5184.0,4944.0,4561.0,4966.0,7355.0,3275.0,0.0,66455.0
Alhué,1942.0,283.0,278.0,240.0,306.0,571.0,311.0,0.0,3931.0
Curacaví,9929.0,1374.0,1298.0,1200.0,1335.0,2335.0,960.0,0.0,18431.0
María Pinto,4073.0,603.0,520.0,483.0,572.0,907.0,368.0,0.0,7526.0
San Pedro,3046.0,404.0,362.0,314.0,323.0,515.0,180.0,0.0,5144.0
Talagante,19989.0,2889.0,2862.0,2753.0,3489.0,5563.0,2229.0,0.0,39774.0
El Monte,10857.0,1401.0,1376.0,1298.0,1684.0,2274.0,854.0,0.0,19744.0
Isla de Maipo,9188.0,1362.0,1293.0,1219.0,1405.0,2118.0,775.0,0.0,17360.0
Padre Hurtado,16088.0,2649.0,2682.0,2560.0,3206.0,5552.0,2481.0,0.0,35218.0
Peñaflor,17824.0,3256.0,3186.0,3148.0,3591.0,6324.0,2669.0,0.0,39998.0
Región Metropolitana,1517604.0,261013.0,268002.0,268531.0,325409.0,551233.0,260572.0,0.0,3452364.0
