Comuna,Red pública medidor propio,Red pública medidor compartido,Red pública s/medidor,"Pozo, noria","Río, vertiente, estero",Otra (no potable),Sin información**,Total
Santiago,160559.0,53161.0,1006.0,55,Entre 1 y 9,189,Entre 1 y 9,218838
Cerrillos,31019.0,7954.0,691.0,22,Entre 1 y 9,722,530,-
Cerro Navia,46858.0,29435.0,862.0,47,12,331,584,78129
Conchalí,45754.0,21123.0,317.0,14,Entre 1 y 9,110,596,-
El Bosque,66161.0,16956.0,488.0,18,Entre 1 y 9,84,958,-
Estación Central,77194.0,14599.0,279.0,14,Entre 1 y 9,71,1103,-
Huechuraba,25863.0,13922.0,515.0,54,12,74,300,40740
Independencia,48798.0,11911.0,156.0,14,Entre 1 y 9,33,536,-
La Cisterna,31819.0,16489.0,289.0,16,Entre 1 y 9,83,433,-
La Florida,155615.0,23106.0,703.0,79,160,211,Entre 1 y 9,-
La Granja,46869.0,17062.0,385.0,Entre 1 y 9,Entre 1 y 9,31,324,64675
La Pintana,74848.0,12425.0,493.0,21,Entre 1 y 9,77,668,-
La Reina,23343.0,3933.0,76.0,35,Entre 1 y 9,60,464,-
Las Condes,75082.0,5992.0,113.0,16,Entre 1 y 9,17,845,-
Lo Barnechea,17562.0,3728.0,340.0,155,460,84,300,22629
Lo Espejo,28305.0,22395.0,312.0,17,Entre 1 y 9,60,207,-
Lo Prado,39912.0,13543.0,90.0,Entre 1 y 9,0,14,202,-
Macul,48431.0,11824.0,138.0,Entre 1 y 9,0,15,385,-
Maipú,230521.0,14355.0,1629.0,388,Entre 1 y 9,709,Entre 1 y 9,248291
Ñuñoa,66666.0,15299.0,241.0,Entre 1 y 9,Entre 1 y 9,17,1036,83266
Pedro Aguirre Cerda,33978.0,20208.0,150.0,12,Entre 1 y 9,69,295,-
Peñalolén,76127.0,32781.0,358.0,92,457,119,493,110427
Providencia,29103.0,10077.0,175.0,Entre 1 y 9,Entre 1 y 9,11,803,40176
Pudahuel,92253.0,20315.0,282.0,1380,Entre 1 y 9,580,Entre 1 y 9,115590
Quilicura,85134.0,11743.0,420.0,161,11,577,Entre 1 y 9,-
Quinta Normal,43290.0,24386.0,374.0,11,Entre 1 y 9,63,586,-
Recoleta,55249.0,30386.0,388.0,30,Entre 1 y 9,97,1462,-
Renca,54078.0,19684.0,590.0,42,Entre 1 y 9,141,380,-
San Joaquín,33052.0,25625.0,243.0,15,Entre 1 y 9,51,288,-
San Miguel,49433.0,15635.0,203.0,12,0,52,1012,66347
San Ramón,31253.0,16590.0,129.0,Entre 1 y 9,Entre 1 y 9,46,207,48231
Vitacura,11692.0,649.0,14.0,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9,187,12550
Puente Alto,247206.0,20143.0,2581.0,183,28,404,1740,272285
Pirque,6064.0,4268.0,253.0,804,338,208,96,12031
San José de Maipo,3197.0,2832.0,417.0,306,1417,381,Entre 1 y 9,-
Colina,35492.0,19035.0,1881.0,1451,149,614,Entre 1 y 9,-
Lampa,33776.0,10811.0,2061.0,3910,26,1979,Entre 1 y 9,-
Tiltil,6265.0,2154.0,751.0,554,81,218,Entre 1 y 9,-
San Bernardo,116387.0,24863.0,1323.0,219,18,892,Entre 1 y 9,-
Buin,34921.0,14795.0,825.0,842,42,387,Entre 1 y 9,-
Calera de Tango,4706.0,4947.0,236.0,474,Entre 1 y 9,87,74,-
Paine,26442.0,9008.0,462.0,3010,67,312,Entre 1 y 9,-
Melipilla,40895.0,19619.0,1420.0,3464,104,387,566,66455
Alhué,2248.0,1114.0,145.0,150,54,39,181,3931
Curacaví,12402.0,2744.0,354.0,2056,91,665,Entre 1 y 9,-
María Pinto,4845.0,2127.0,90.0,414,Entre 1 y 9,29,Entre 1 y 9,7526
San Pedro,1650.0,842.0,136.0,2074,25,400,Entre 1 y 9,-
Talagante,28050.0,7009.0,560.0,3440,89,312,314,39774
El Monte,12668.0,5205.0,290.0,1170,24,183,204,19744
Isla de Maipo,8821.0,6821.0,97.0,1500,18,51,52,17360
Padre Hurtado,24091.0,5882.0,3652.0,1290,Entre 1 y 9,47,253,-
Peñaflor,32647.0,4803.0,365.0,1581,10,81,511,39998
Región Metropolitana,2618594.0,726313.0,30348.0,31644,3787,*,29201,3452364
