Comuna,Sin hacinamiento,Hacinamiento medio,Hacinamiento crítico,Sin información**,Total
Santiago,199960.0,14067.0,840,0.0,214867
Cerrillos,36545.0,3577.0,273,0.0,40395
Cerro Navia,68688.0,8087.0,702,0.0,77477
Conchalí,60912.0,5977.0,411,0.0,67300
El Bosque,75780.0,7288.0,598,0.0,83666
Estación Central,82781.0,8773.0,572,0.0,92126
Huechuraba,36599.0,3525.0,306,0.0,40430
Independencia,54710.0,5774.0,402,0.0,60886
La Cisterna,45497.0,2948.0,230,0.0,48675
La Florida,166458.0,12504.0,875,0.0,179837
La Granja,57416.0,6305.0,600,0.0,64321
La Pintana,75931.0,10648.0,1207,0.0,87786
La Reina,25975.0,1386.0,89,0.0,27450
Las Condes,78384.0,2649.0,187,0.0,81220
Lo Barnechea,20256.0,1876.0,194,0.0,22326
Lo Espejo,44606.0,5863.0,606,0.0,51075
Lo Prado,47774.0,5373.0,394,0.0,53541
Macul,56638.0,3534.0,234,0.0,60406
Maipú,230219.0,16345.0,988,0.0,247552
Ñuñoa,79248.0,2820.0,142,0.0,82210
Pedro Aguirre Cerda,48541.0,5364.0,482,0.0,54387
Peñalolén,99933.0,9263.0,673,0.0,109869
Providencia,38391.0,927.0,32,0.0,39350
Pudahuel,104045.0,9934.0,777,0.0,114756
Quilicura,89147.0,8303.0,582,0.0,98032
Quinta Normal,61894.0,5797.0,404,0.0,68095
Recoleta,76971.0,8430.0,697,0.0,86098
Renca,67242.0,6637.0,528,0.0,74407
San Joaquín,53509.0,5068.0,362,0.0,58939
San Miguel,61530.0,3591.0,188,0.0,65309
San Ramón,42395.0,5109.0,435,0.0,47939
Vitacura,12124.0,232.0,Entre 1 y 9,0.0,-
Puente Alto,249277.0,19815.0,1403,0.0,270495
Pirque,10776.0,1062.0,94,0.0,11932
San José de Maipo,7858.0,647.0,45,0.0,8550
Colina,53185.0,4967.0,458,0.0,58610
Lampa,47525.0,4641.0,370,0.0,52536
Tiltil,9094.0,854.0,65,0.0,10013
San Bernardo,129685.0,12734.0,1243,0.0,143662
Buin,46992.0,4495.0,306,0.0,51793
Calera de Tango,9423.0,950.0,82,0.0,10455
Paine,35757.0,3283.0,246,0.0,39286
Melipilla,60320.0,5270.0,287,0.0,65877
Alhué,3467.0,267.0,14,0.0,3748
Curacaví,16881.0,1333.0,88,0.0,18302
María Pinto,6689.0,749.0,73,0.0,7511
San Pedro,4616.0,449.0,55,0.0,5120
Talagante,35694.0,3510.0,246,0.0,39450
El Monte,17786.0,1644.0,105,0.0,19535
Isla de Maipo,15535.0,1641.0,119,0.0,17295
Padre Hurtado,31855.0,2910.0,190,0.0,34955
Peñaflor,36198.0,3094.0,187,0.0,39479
Región Metropolitana,3128712.0,272289.0,*,0.0,3421692
