Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Total
Santiago,43024.0,7609.0,8823.0,9345.0,11725.0,21024.0,11405.0,112955.0
Cerrillos,11778.0,1819.0,1641.0,1413.0,1633.0,2605.0,801.0,21690.0
Cerro Navia,25205.0,3092.0,2772.0,2320.0,2648.0,2824.0,822.0,39683.0
Conchalí,18871.0,2917.0,2736.0,2339.0,2807.0,3676.0,1019.0,34365.0
El Bosque,26802.0,3353.0,3026.0,2563.0,2968.0,3801.0,1137.0,43650.0
Estación Central,23533.0,3882.0,3860.0,3688.0,4367.0,6195.0,2254.0,47779.0
Huechuraba,11110.0,1622.0,1493.0,1272.0,1500.0,3485.0,1370.0,21852.0
Independencia,15738.0,2658.0,2852.0,2699.0,3104.0,4132.0,1383.0,32566.0
La Cisterna,12799.0,2049.0,1885.0,1837.0,2457.0,4071.0,1401.0,26499.0
La Florida,46177.0,7682.0,7239.0,6701.0,8130.0,15671.0,5481.0,97081.0
La Granja,19955.0,2966.0,2485.0,2082.0,2291.0,2834.0,816.0,33429.0
La Pintana,30302.0,3802.0,3270.0,2502.0,2732.0,2629.0,556.0,45793.0
La Reina,5965.0,1119.0,1170.0,1125.0,1272.0,3654.0,1306.0,15611.0
Las Condes,11982.0,3020.0,3123.0,3534.0,3780.0,13967.0,8597.0,48003.0
Lo Barnechea,5557.0,1035.0,1122.0,1063.0,1039.0,2354.0,830.0,13000.0
Lo Espejo,16618.0,2034.0,1698.0,1389.0,1648.0,1790.0,386.0,25563.0
Lo Prado,16158.0,2465.0,2217.0,1825.0,2100.0,2577.0,778.0,28120.0
Macul,14645.0,2636.0,2564.0,2347.0,2853.0,5900.0,2491.0,33436.0
Maipú,62132.0,10842.0,9869.0,9244.0,11597.0,21975.0,7028.0,132687.0
Ñuñoa,14003.0,3278.0,3410.0,3669.0,4021.0,12740.0,7287.0,48408.0
Pedro Aguirre Cerda,16859.0,2496.0,2084.0,1707.0,1922.0,2610.0,773.0,28451.0
Peñalolén,33961.0,5012.0,4555.0,3864.0,4243.0,7155.0,2150.0,60940.0
Providencia,5903.0,1413.0,1508.0,1902.0,1940.0,6503.0,4213.0,23382.0
Pudahuel,34697.0,5300.0,4583.0,4022.0,5045.0,7792.0,2401.0,63840.0
Quilicura,25783.0,4191.0,3928.0,3570.0,4738.0,7625.0,2112.0,51947.0
Quinta Normal,18732.0,3031.0,2940.0,2639.0,3193.0,4449.0,1533.0,36517.0
Recoleta,25543.0,3702.0,3538.0,3245.0,3452.0,4646.0,1572.0,45698.0
Renca,23008.0,3357.0,3027.0,2492.0,2968.0,3747.0,977.0,39576.0
San Joaquín,18257.0,2575.0,2268.0,1892.0,2315.0,3448.0,1243.0,31998.0
San Miguel,13996.0,2439.0,2413.0,2606.0,3357.0,7695.0,3804.0,36310.0
San Ramón,15344.0,1857.0,1587.0,1352.0,1556.0,1815.0,509.0,24020.0
Vitacura,1550.0,434.0,520.0,581.0,586.0,2876.0,1213.0,7760.0
Puente Alto,76499.0,11522.0,10311.0,9244.0,11866.0,19659.0,5874.0,144975.0
Pirque,3001.0,374.0,370.0,336.0,400.0,850.0,248.0,5579.0
San José de Maipo,2450.0,365.0,311.0,277.0,331.0,544.0,168.0,4446.0
Colina,18026.0,2216.0,2001.0,1714.0,2034.0,3625.0,1184.0,30800.0
Lampa,15596.0,1822.0,1584.0,1474.0,1926.0,3772.0,1117.0,27291.0
Tiltil,2929.0,389.0,350.0,285.0,372.0,644.0,161.0,5130.0
San Bernardo,43262.0,6050.0,5299.0,4704.0,5850.0,8693.0,2505.0,76363.0
Buin,15330.0,1919.0,1745.0,1554.0,1983.0,3552.0,1189.0,27272.0
Calera de Tango,3031.0,434.0,378.0,326.0,370.0,648.0,192.0,5379.0
Paine,11844.0,1462.0,1242.0,1098.0,1303.0,1967.0,479.0,19395.0
Melipilla,20561.0,2364.0,1922.0,1690.0,1927.0,2901.0,1017.0,32382.0
Alhué,1089.0,143.0,123.0,92.0,130.0,283.0,46.0,1906.0
Curacaví,5823.0,624.0,551.0,490.0,574.0,970.0,281.0,9313.0
María Pinto,2304.0,271.0,214.0,159.0,198.0,315.0,113.0,3574.0
San Pedro,1406.0,144.0,113.0,89.0,109.0,154.0,42.0,2057.0
Talagante,12753.0,1570.0,1344.0,1168.0,1416.0,2459.0,696.0,21406.0
El Monte,6686.0,790.0,604.0,548.0,705.0,871.0,238.0,10442.0
Isla de Maipo,5238.0,654.0,516.0,471.0,544.0,842.0,221.0,8486.0
Padre Hurtado,9879.0,1352.0,1193.0,1070.0,1331.0,2347.0,672.0,17844.0
Peñaflor,10845.0,1624.0,1443.0,1325.0,1525.0,2721.0,838.0,20321.0
Región Metropolitana,934539.0,141776.0,131820.0,120943.0,144881.0,256082.0,96929.0,1826970.0
