Comuna,Hombres JH,Mujeres JH,Total
Santiago,105883.0,112955.0,218838.0
Cerrillos,19250.0,21690.0,40940.0
Cerro Navia,38446.0,39683.0,78129.0
Conchalí,33550.0,34365.0,67915.0
El Bosque,41018.0,43650.0,84668.0
Estación Central,45486.0,47779.0,93265.0
Huechuraba,18888.0,21852.0,40740.0
Independencia,28883.0,32566.0,61449.0
La Cisterna,22633.0,26499.0,49132.0
La Florida,83531.0,97081.0,180612.0
La Granja,31246.0,33429.0,64675.0
La Pintana,42742.0,45793.0,88535.0
La Reina,12307.0,15611.0,27918.0
Las Condes,34069.0,48003.0,82072.0
Lo Barnechea,9629.0,13000.0,22629.0
Lo Espejo,25737.0,25563.0,51300.0
Lo Prado,25647.0,28120.0,53767.0
Macul,27363.0,33436.0,60799.0
Maipú,115604.0,132687.0,248291.0
Ñuñoa,34858.0,48408.0,83266.0
Pedro Aguirre Cerda,26263.0,28451.0,54714.0
Peñalolén,49487.0,60940.0,110427.0
Providencia,16794.0,23382.0,40176.0
Pudahuel,51750.0,63840.0,115590.0
Quilicura,46392.0,51947.0,98339.0
Quinta Normal,32196.0,36517.0,68713.0
Recoleta,41917.0,45698.0,87615.0
Renca,35346.0,39576.0,74922.0
San Joaquín,27280.0,31998.0,59278.0
San Miguel,30037.0,36310.0,66347.0
San Ramón,24211.0,24020.0,48231.0
Vitacura,4790.0,7760.0,12550.0
Puente Alto,127310.0,144975.0,272285.0
Pirque,6452.0,5579.0,12031.0
San José de Maipo,4272.0,4446.0,8718.0
Colina,28622.0,30800.0,59422.0
Lampa,25743.0,27291.0,53034.0
Tiltil,4953.0,5130.0,10083.0
San Bernardo,68468.0,76363.0,144831.0
Buin,25010.0,27272.0,52282.0
Calera de Tango,5151.0,5379.0,10530.0
Paine,20330.0,19395.0,39725.0
Melipilla,34073.0,32382.0,66455.0
Alhué,2025.0,1906.0,3931.0
Curacaví,9118.0,9313.0,18431.0
María Pinto,3952.0,3574.0,7526.0
San Pedro,3087.0,2057.0,5144.0
Talagante,18368.0,21406.0,39774.0
El Monte,9302.0,10442.0,19744.0
Isla de Maipo,8874.0,8486.0,17360.0
Padre Hurtado,17374.0,17844.0,35218.0
Peñaflor,19677.0,20321.0,39998.0
Región Metropolitana,1625394.0,1826970.0,3452364.0
