Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Total
Santiago,31171.0,4542.0,3958.0,3648.0,4259.0,10070.0,1771.0,59419.0
Cerrillos,10819.0,1366.0,995.0,800.0,954.0,2156.0,302.0,17392.0
Cerro Navia,22583.0,2311.0,1680.0,1122.0,1286.0,1672.0,124.0,30778.0
Conchalí,16053.0,2065.0,1692.0,1257.0,1487.0,2561.0,247.0,25362.0
El Bosque,24802.0,2573.0,1860.0,1361.0,1776.0,2476.0,263.0,35111.0
Estación Central,19745.0,2880.0,2319.0,1730.0,1995.0,3292.0,460.0,32421.0
Huechuraba,10481.0,1263.0,998.0,782.0,912.0,3894.0,1291.0,19621.0
Independencia,13196.0,2012.0,1663.0,1304.0,1382.0,2268.0,288.0,22113.0
La Cisterna,9388.0,1405.0,1132.0,984.0,1361.0,2848.0,344.0,17462.0
La Florida,35074.0,4863.0,3714.0,3451.0,4512.0,12707.0,2114.0,66435.0
La Granja,17849.0,2091.0,1431.0,1048.0,1263.0,1898.0,172.0,25752.0
La Pintana,35656.0,3432.0,2262.0,1428.0,1532.0,1618.0,118.0,46046.0
La Reina,3735.0,587.0,571.0,517.0,720.0,3069.0,871.0,10070.0
Las Condes,5462.0,1027.0,788.0,1099.0,1245.0,9746.0,4127.0,23494.0
Lo Barnechea,5126.0,737.0,530.0,486.0,448.0,2220.0,616.0,10163.0
Lo Espejo,15993.0,1670.0,1174.0,768.0,936.0,1151.0,58.0,21750.0
Lo Prado,12978.0,1619.0,1215.0,830.0,975.0,1545.0,149.0,19311.0
Macul,9610.0,1452.0,1197.0,1076.0,1557.0,4504.0,769.0,20165.0
Maipú,48019.0,7473.0,5916.0,5458.0,7504.0,18211.0,2561.0,95142.0
Ñuñoa,6639.0,1164.0,1092.0,1351.0,1694.0,9837.0,2745.0,24522.0
Pedro Aguirre Cerda,14304.0,1818.0,1245.0,856.0,1027.0,1780.0,166.0,21196.0
Peñalolén,27769.0,3254.0,2444.0,1833.0,1984.0,5541.0,1232.0,44057.0
Providencia,1901.0,383.0,276.0,435.0,574.0,3927.0,1369.0,8865.0
Pudahuel,29948.0,3837.0,2814.0,2281.0,3125.0,6448.0,969.0,49422.0
Quilicura,26602.0,4044.0,3219.0,2612.0,3165.0,7094.0,932.0,47668.0
Quinta Normal,14864.0,2036.0,1641.0,1272.0,1488.0,2797.0,299.0,24397.0
Recoleta,22086.0,2572.0,1796.0,1511.0,1586.0,2901.0,388.0,32840.0
Renca,23076.0,2752.0,1963.0,1453.0,1787.0,2976.0,285.0,34292.0
San Joaquín,13094.0,1462.0,1143.0,838.0,1157.0,2159.0,250.0,20103.0
San Miguel,9465.0,1532.0,1329.0,1370.0,1828.0,5792.0,1059.0,22375.0
San Ramón,13204.0,1379.0,926.0,689.0,786.0,1208.0,108.0,18300.0
Vitacura,424.0,96.0,72.0,99.0,144.0,2196.0,836.0,3867.0
Puente Alto,69735.0,8669.0,6838.0,5869.0,8193.0,17403.0,2199.0,118906.0
Pirque,3217.0,430.0,364.0,290.0,310.0,989.0,151.0,5751.0
San José de Maipo,2192.0,250.0,173.0,143.0,261.0,488.0,58.0,3565.0
Colina,20710.0,2149.0,1476.0,1085.0,1360.0,4468.0,1075.0,32323.0
Lampa,18543.0,1976.0,1460.0,1287.0,1684.0,4794.0,653.0,30397.0
Tiltil,2821.0,313.0,238.0,172.0,299.0,666.0,86.0,4595.0
San Bernardo,46129.0,5339.0,3988.0,3086.0,4031.0,7470.0,946.0,70989.0
Buin,15823.0,1740.0,1374.0,1102.0,1626.0,3806.0,542.0,26013.0
Calera de Tango,3250.0,390.0,263.0,216.0,238.0,654.0,109.0,5120.0
Paine,12401.0,1339.0,866.0,742.0,882.0,1777.0,209.0,18216.0
Melipilla,21316.0,1989.0,1531.0,1286.0,1512.0,2572.0,306.0,30512.0
Alhué,994.0,133.0,83.0,50.0,93.0,352.0,30.0,1735.0
Curacaví,5528.0,521.0,360.0,276.0,401.0,784.0,103.0,7973.0
María Pinto,2489.0,303.0,168.0,133.0,187.0,296.0,37.0,3613.0
San Pedro,1660.0,201.0,125.0,99.0,98.0,159.0,14.0,2356.0
Talagante,11141.0,1191.0,867.0,695.0,959.0,2036.0,240.0,17129.0
El Monte,6548.0,668.0,453.0,327.0,454.0,651.0,65.0,9166.0
Isla de Maipo,5587.0,577.0,407.0,356.0,391.0,865.0,142.0,8325.0
Padre Hurtado,9833.0,1286.0,1059.0,865.0,1134.0,2565.0,330.0,17072.0
Peñaflor,11732.0,1480.0,1197.0,1042.0,1303.0,2848.0,406.0,20008.0
Región Metropolitana,822765.0,102641.0,78345.0,64870.0,81865.0,198205.0,34984.0,1383675.0
