Comuna,Total
Santiago,1357
Cerrillos,186
Cerro Navia,226
Conchalí,258
El Bosque,154
Estación Central,886
Huechuraba,119
Independencia,109
La Cisterna,66
La Florida,180
La Granja,117
La Pintana,228
La Reina,34
Las Condes,73
Lo Barnechea,73
Lo Espejo,121
Lo Prado,151
Macul,56
Maipú,396
Ñuñoa,237
Pedro Aguirre Cerda,107
Peñalolén,235
Providencia,213
Pudahuel,437
Quilicura,267
Quinta Normal,219
Recoleta,699
Renca,189
San Joaquín,81
San Miguel,267
San Ramón,167
Vitacura,Entre 1 y 9
Puente Alto,951
Pirque,12
San José de Maipo,26
Colina,204
Lampa,55
Tiltil,Entre 1 y 9
San Bernardo,616
Buin,70
Calera de Tango,Entre 1 y 9
Paine,55
Melipilla,217
Alhué,13
Curacaví,28
María Pinto,Entre 1 y 9
San Pedro,0
Talagante,75
El Monte,58
Isla de Maipo,Entre 1 y 9
Padre Hurtado,51
Peñaflor,30
Región Metropolitana,10388
