Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Sin información*,Total,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Santiago,127048.0,23519.0,26473.0,28672.0,36352.0,67099.0,35388.0,0.0,344551.0,Santiago,127048.0,23519.0,26473.0,28672.0,36352.0,67099.0,35388.0,0.0,344551.0
Cerrillos,38056.0,6900.0,6091.0,5493.0,6508.0,10778.0,3647.0,0.0,77473.0,Cerrillos,38056.0,6900.0,6091.0,5493.0,6508.0,10778.0,3647.0,0.0,77473.0
Cerro Navia,81200.0,11933.0,10808.0,9361.0,10355.0,12267.0,3553.0,0.0,139477.0,Cerro Navia,81200.0,11933.0,10808.0,9361.0,10355.0,12267.0,3553.0,0.0,139477.0
Conchalí,61791.0,11203.0,10707.0,9328.0,10957.0,15371.0,4507.0,0.0,123864.0,Conchalí,61791.0,11203.0,10707.0,9328.0,10957.0,15371.0,4507.0,0.0,123864.0
El Bosque,88768.0,13449.0,11972.0,10410.0,11873.0,15516.0,4671.0,0.0,156659.0,El Bosque,88768.0,13449.0,11972.0,10410.0,11873.0,15516.0,4671.0,0.0,156659.0
Estación Central,74945.0,13598.0,13416.0,12664.0,15231.0,22713.0,8486.0,0.0,161053.0,Estación Central,74945.0,13598.0,13416.0,12664.0,15231.0,22713.0,8486.0,0.0,161053.0
Huechuraba,37213.0,6157.0,5657.0,5102.0,5897.0,15026.0,7314.0,0.0,82366.0,Huechuraba,37213.0,6157.0,5657.0,5102.0,5897.0,15026.0,7314.0,0.0,82366.0
Independencia,47869.0,9107.0,9289.0,9029.0,10366.0,14993.0,5219.0,0.0,105872.0,Independencia,47869.0,9107.0,9289.0,9029.0,10366.0,14993.0,5219.0,0.0,105872.0
La Cisterna,38605.0,7058.0,6803.0,6575.0,8278.0,14817.0,5067.0,0.0,87203.0,La Cisterna,38605.0,7058.0,6803.0,6575.0,8278.0,14817.0,5067.0,0.0,87203.0
La Florida,139685.0,27450.0,26066.0,25395.0,29735.0,60089.0,22533.0,0.0,330953.0,La Florida,139685.0,27450.0,26066.0,25395.0,29735.0,60089.0,22533.0,0.0,330953.0
La Granja,65836.0,11173.0,9697.0,8337.0,9172.0,11786.0,3499.0,0.0,119500.0,La Granja,65836.0,11173.0,9697.0,8337.0,9172.0,11786.0,3499.0,0.0,119500.0
La Pintana,112626.0,16641.0,14385.0,11388.0,11951.0,12496.0,3037.0,0.0,182524.0,La Pintana,112626.0,16641.0,14385.0,11388.0,11951.0,12496.0,3037.0,0.0,182524.0
La Reina,17179.0,3682.0,3859.0,3825.0,4486.0,14658.0,6266.0,0.0,53955.0,La Reina,17179.0,3682.0,3859.0,3825.0,4486.0,14658.0,6266.0,0.0,53955.0
Las Condes,30063.0,8080.0,8044.0,9905.0,10990.0,51186.0,36325.0,0.0,154593.0,Las Condes,30063.0,8080.0,8044.0,9905.0,10990.0,51186.0,36325.0,0.0,154593.0
Lo Barnechea,17781.0,3681.0,3473.0,3487.0,3435.0,9842.0,4259.0,0.0,45958.0,Lo Barnechea,17781.0,3681.0,3473.0,3487.0,3435.0,9842.0,4259.0,0.0,45958.0
Lo Espejo,58570.0,8502.0,7447.0,6132.0,6830.0,8011.0,1964.0,0.0,97456.0,Lo Espejo,58570.0,8502.0,7447.0,6132.0,6830.0,8011.0,1964.0,0.0,97456.0
Lo Prado,50185.0,8773.0,7991.0,6725.0,7738.0,10492.0,3125.0,0.0,95029.0,Lo Prado,50185.0,8773.0,7991.0,6725.0,7738.0,10492.0,3125.0,0.0,95029.0
Macul,42417.0,8690.0,8377.0,7951.0,9974.0,21170.0,8714.0,0.0,107293.0,Macul,42417.0,8690.0,8377.0,7951.0,9974.0,21170.0,8714.0,0.0,107293.0
Maipú,188225.0,39238.0,37504.0,36070.0,44828.0,88747.0,31210.0,0.0,465822.0,Maipú,188225.0,39238.0,37504.0,36070.0,44828.0,88747.0,31210.0,0.0,465822.0
