Comuna,Población en RSH a abril de 2023*,Proyección de población INE a 2023**,% de población en  RSH
Santiago,344551.0,536089.0,0.6427123108289855
Cerrillos,77473.0,90060.0,0.8602376193648679
Cerro Navia,139477.0,140581.0,0.9921468761781465
Conchalí,123864.0,137678.0,0.8996644344049158
El Bosque,156659.0,170536.0,0.9186271520382792
Estación Central,161053.0,219897.0,0.732401988203568
Huechuraba,82366.0,117121.0,0.7032556074487069
Independencia,105872.0,151890.0,0.6970307459345579
La Cisterna,87203.0,101377.0,0.8601852491196228
La Florida,330953.0,406796.0,0.8135601136687677
La Granja,119500.0,120249.0,0.9937712579730392
La Pintana,182524.0,189151.0,0.964964499262494
La Reina,53955.0,99686.0,0.541249523503802
Las Condes,154593.0,341183.0,0.4531087422292435
Lo Barnechea,45958.0,129790.0,0.3540950766623006
Lo Espejo,97456.0,101615.0,0.9590710032967572
Lo Prado,95029.0,102923.0,0.9233018858758488
Macul,107293.0,137735.0,0.7789813772824628
Maipú,465822.0,586337.0,0.7944612057570988
Ñuñoa,146663.0,263319.0,0.5569784178126151
Pedro Aguirre Cerda,102722.0,105483.0,0.9738251661405156
Peñalolén,204960.0,271854.0,0.7539340969785252
Providencia,64516.0,162837.0,0.3961998808624575
Pudahuel,217639.0,260129.0,0.8366579658554025
Quilicura,195316.0,271385.0,0.7197007940748383
Quinta Normal,120414.0,140964.0,0.854218098237848
Recoleta,156509.0,196073.0,0.7982180106388947
Renca,143400.0,162854.0,0.8805433087305193
San Joaquín,99426.0,103420.0,0.9613807774124928
San Miguel,113893.0,142549.0,0.7989743877543862
San Ramón,85684.0,84495.0,1.0140718385703296
Vitacura,24347.0,97388.0,0.25
Puente Alto,522836.0,664370.0,0.7869650947514186
Pirque,24596.0,32412.0,0.7588547451561151
San José de Maipo,16191.0,19330.0,0.8376099327470253
Colina,118130.0,193594.0,0.6101945308222362
Lampa,104991.0,139266.0,0.7538882426435741
Tiltil,19051.0,22262.0,0.8557631839008175
San Bernardo,288747.0,345583.0,0.8355358915224418
Buin,102087.0,116032.0,0.8798176365140651
Calera de Tango,21489.0,29880.0,0.7191767068273093
Paine,76524.0,87059.0,0.8789901101551821
Melipilla,132476.0,147275.0,0.8995145136649125
Alhué,7348.0,7756.0,0.9473955647240846
Curacaví,34821.0,37932.0,0.9179848149319836
María Pinto,15370.0,15503.0,0.9914210152873636
San Pedro,10504.0,12412.0,0.8462777956815984
Talagante,73373.0,84670.0,0.8665761190504311
El Monte,37393.0,41711.0,0.8964781472513246
Isla de Maipo,35121.0,41876.0,0.8386904193332696
Padre Hurtado,68633.0,79925.0,0.8587175477009696
Peñaflor,85550.0,105498.0,0.8109158467459099
Región Metropolitana,6402321.0,8367790.0,0.7651149228171357
