Comuna,Número de personas que pertenecen a algún pueblo originario,Número de personas que no pertenecen a pueblo originario,% de personas que pertenece a algún pueblo originario
Santiago,10397.0,334154.0,0.0301755037715751
Cerrillos,4986.0,72487.0,0.0643579053347618
Cerro Navia,13000.0,126477.0,0.0932053313449529
Conchalí,6756.0,117108.0,0.0545436930827359
El Bosque,11936.0,144723.0,0.0761909625364645
Estación Central,6527.0,154526.0,0.040527031474111
Huechuraba,5764.0,76602.0,0.0699803316902605
Independencia,2181.0,103691.0,0.020600347589542
La Cisterna,3296.0,83907.0,0.0377968647867619
La Florida,19585.0,311368.0,0.0591775871498369
La Granja,7507.0,111993.0,0.0628200836820083
La Pintana,22258.0,160266.0,0.1219456071530319
La Reina,2523.0,51432.0,0.0467611898804559
Las Condes,2444.0,152149.0,0.0158092539765707
Lo Barnechea,2130.0,43828.0,0.0463466643457069
Lo Espejo,6549.0,90907.0,0.0671995567230339
Lo Prado,8462.0,86567.0,0.0890465015942501
Macul,5940.0,101353.0,0.0553624187971256
Maipú,26518.0,439304.0,0.0569273241710352
Ñuñoa,3780.0,142883.0,0.0257733716070174
Pedro Aguirre Cerda,4988.0,97734.0,0.0485582445824652
Peñalolén,17583.0,187377.0,0.0857874707259953
Providencia,1268.0,63248.0,0.0196540393080786
Pudahuel,15685.0,201954.0,0.0720688847127582
Quilicura,11711.0,183605.0,0.05995924553032
Quinta Normal,4293.0,116121.0,0.0356520005979371
Recoleta,7477.0,149032.0,0.047773610463296
Renca,12894.0,130506.0,0.0899163179916318
San Joaquín,3740.0,95686.0,0.0376159153541327
San Miguel,3231.0,110662.0,0.0283687320555258
San Ramón,6814.0,78870.0,0.079524765417114
Vitacura,216.0,24131.0,0.0088717295765392
Puente Alto,33542.0,489294.0,0.0641539603240786
Pirque,846.0,23750.0,0.0343958367214181
San José de Maipo,690.0,15501.0,0.0426162682972021
Colina,5734.0,112396.0,0.0485397443494455
Lampa,6682.0,98309.0,0.063643550399558
Tiltil,525.0,18526.0,0.0275576085244869
San Bernardo,20636.0,268111.0,0.0714674091852036
Buin,4506.0,97581.0,0.0441388227688148
Calera de Tango,661.0,20828.0,0.0307599236818837
Paine,3461.0,73063.0,0.0452276410015158
Melipilla,5228.0,127248.0,0.0394637519248769
Alhué,207.0,7141.0,0.0281709308655416
Curacaví,1236.0,33585.0,0.0354958214870336
María Pinto,500.0,14870.0,0.0325309043591411
San Pedro,497.0,10007.0,0.0473153084539223
Talagante,2666.0,70707.0,0.0363348915813718
El Monte,2124.0,35269.0,0.0568020752547268
Isla de Maipo,1542.0,33579.0,0.0439053557700521
Padre Hurtado,4675.0,63958.0,0.0681159209126804
Peñaflor,3337.0,82213.0,0.0390064289888953
Región Metropolitana,361734.0,6040587.0,0.0565004472596734
