Comuna,Número de extranjeros 40% menores ingresos*,Número de extranjeros 60% menores ingresos**,Total de extranjeros con RSH***
Santiago,52724.0,77385.0,142219.0
Cerrillos,3618.0,4918.0,7073.0
Cerro Navia,6740.0,8859.0,11894.0
Conchalí,7572.0,10415.0,14857.0
El Bosque,4087.0,5412.0,7281.0
Estación Central,19834.0,28949.0,47963.0
Huechuraba,1840.0,2603.0,4716.0
Independencia,18777.0,26987.0,42914.0
La Cisterna,4719.0,6922.0,11087.0
La Florida,9084.0,13289.0,22907.0
La Granja,3562.0,4849.0,6619.0
La Pintana,2978.0,3875.0,5125.0
La Reina,1207.0,1847.0,3222.0
Las Condes,2737.0,4319.0,10685.0
Lo Barnechea,1165.0,1891.0,3343.0
Lo Espejo,3922.0,5191.0,6960.0
Lo Prado,5207.0,7257.0,10167.0
Macul,4305.0,6371.0,12102.0
Maipú,9286.0,13006.0,19840.0
Ñuñoa,3975.0,6216.0,16072.0
Pedro Aguirre Cerda,4925.0,6540.0,8453.0
Peñalolén,6550.0,8896.0,13042.0
Providencia,1796.0,2693.0,6367.0
Pudahuel,5562.0,7657.0,11388.0
Quilicura,10697.0,15285.0,23429.0
Quinta Normal,11577.0,16709.0,25731.0
Recoleta,16864.0,22415.0,30728.0
Renca,4651.0,6312.0,9049.0
San Joaquín,4774.0,6826.0,11022.0
San Miguel,8749.0,13317.0,26823.0
San Ramón,2756.0,3652.0,4981.0
Vitacura,293.0,584.0,1478.0
Puente Alto,8110.0,10987.0,16355.0
Pirque,173.0,226.0,359.0
San José de Maipo,294.0,407.0,537.0
Colina,5784.0,7614.0,10552.0
Lampa,3565.0,4897.0,7588.0
Tiltil,361.0,491.0,727.0
San Bernardo,7399.0,9962.0,13989.0
Buin,1895.0,2548.0,3869.0
Calera de Tango,326.0,483.0,697.0
Paine,2372.0,2937.0,3792.0
Melipilla,4090.0,5069.0,6495.0
Alhué,409.0,523.0,616.0
Curacaví,632.0,812.0,1134.0
María Pinto,158.0,209.0,281.0
San Pedro,431.0,518.0,599.0
Talagante,1531.0,2032.0,2748.0
El Monte,549.0,684.0,931.0
Isla de Maipo,457.0,597.0,782.0
Padre Hurtado,1522.0,2085.0,3120.0
Peñaflor,1150.0,1621.0,2362.0
Región Metropolitana,287741.0,406149.0,657070.0
