Comuna,Número de hogares 40% menores ingresos,% sobre total de hogares con RSH,Total de hogares con RSH
Santiago,73341.0,0.3403231494543025,215504.0
Cerrillos,19410.0,0.4772559626260143,40670.0
Cerro Navia,43673.0,0.5564857288481142,78480.0
Conchalí,33561.0,0.4912468163587927,68318.0
El Bosque,46282.0,0.5465130009682828,84686.0
Estación Central,40252.0,0.4362272820868509,92273.0
Huechuraba,18321.0,0.4579448596495613,40007.0
Independencia,25871.0,0.423212825126779,61130.0
La Cisterna,20923.0,0.4369700513763001,47882.0
La Florida,77093.0,0.4314343276064693,178690.0
La Granja,34491.0,0.5329840990218349,64713.0
La Pintana,51143.0,0.5782006059783837,88452.0
La Reina,9614.0,0.3535078688042359,27196.0
Las Condes,17917.0,0.2316863434756184,77333.0
Lo Barnechea,8546.0,0.3942791234140715,21675.0
Lo Espejo,29223.0,0.569238560882015,51337.0
Lo Prado,27719.0,0.5132958038591163,54002.0
Macul,24546.0,0.4069162163058254,60322.0
Maipú,100886.0,0.4087879315863902,246793.0
Ñuñoa,22802.0,0.2848540875474715,80048.0
Pedro Aguirre Cerda,29412.0,0.5370681469578555,54764.0
Peñalolén,55308.0,0.5035599176939746,109834.0
Providencia,9836.0,0.250554041317472,39257.0
Pudahuel,54351.0,0.4734861354310953,114789.0
Quilicura,40268.0,0.4114101228059421,97878.0
Quinta Normal,31105.0,0.4531086120498776,68648.0
Recoleta,44369.0,0.5073119976217427,87459.0
Renca,37808.0,0.503804384036245,75045.0
San Joaquín,30445.0,0.518451032815081,58723.0
San Miguel,22253.0,0.3441593590992746,64659.0
San Ramón,27276.0,0.5627514493800161,48469.0
Vitacura,2154.0,0.1860264271526038,11579.0
Puente Alto,125311.0,0.4642626910793808,269914.0
Pirque,5526.0,0.4657788267026298,11864.0
San José de Maipo,4176.0,0.486599860172454,8582.0
Colina,29164.0,0.5009877518767286,58213.0
Lampa,24452.0,0.4780169296033468,51153.0
Tiltil,4730.0,0.4770549672213817,9915.0
San Bernardo,70778.0,0.4922180341321613,143794.0
Buin,24955.0,0.4906413432424993,50862.0
Calera de Tango,5002.0,0.4780655643696836,10463.0
Paine,20951.0,0.5388908894490457,38878.0
Melipilla,36445.0,0.5601149584274671,65067.0
Alhué,1840.0,0.492110189890345,3739.0
Curacaví,9838.0,0.5453134526910925,18041.0
María Pinto,4023.0,0.5492900054614964,7324.0
San Pedro,3027.0,0.6118859915100061,4947.0
Talagante,20118.0,0.5186789388197076,38787.0
El Monte,11207.0,0.5679606730184472,19732.0
Isla de Maipo,9148.0,0.5368859674863549,17039.0
Padre Hurtado,16090.0,0.4721382669679275,34079.0
Peñaflor,18231.0,0.4601115513716781,39623.0
Región Metropolitana,1555211.0,0.45572199279676,3412631.0
