Comuna,Red pública con medidor propio ,Red pública con medidor compartido ,Red pública sin medidor,Pozo o noria,"Río, vertiente o estero ",Otra fuente (no potable) 
Santiago,157037.0,53389.0,993.0,62,Entre 1 y 9,188
Cerrillos,30846.0,8092.0,687.0,15,Entre 1 y 9,494
Cerro Navia,47168.0,29442.0,839.0,46,11,338
Conchalí,45511.0,21728.0,333.0,12,Entre 1 y 9,110
El Bosque,65551.0,17581.0,492.0,18,Entre 1 y 9,81
Estación Central,74639.0,16110.0,289.0,16,Entre 1 y 9,75
Huechuraba,25465.0,13708.0,442.0,53,13,70
Independencia,47736.0,12575.0,169.0,14,Entre 1 y 9,33
La Cisterna,30363.0,16694.0,292.0,12,Entre 1 y 9,81
La Florida,153752.0,23041.0,708.0,74,158,211
La Granja,46513.0,17414.0,413.0,Entre 1 y 9,Entre 1 y 9,34
La Pintana,74271.0,12865.0,518.0,21,Entre 1 y 9,81
La Reina,22585.0,3965.0,72.0,34,Entre 1 y 9,54
Las Condes,70827.0,5633.0,107.0,15,Entre 1 y 9,17
Lo Barnechea,16682.0,3718.0,348.0,152,437,77
Lo Espejo,28288.0,22414.0,327.0,17,Entre 1 y 9,70
Lo Prado,39823.0,13844.0,93.0,Entre 1 y 9,0,15
Macul,47682.0,12116.0,136.0,Entre 1 y 9,0,11
Maipú,228429.0,14913.0,1524.0,437,Entre 1 y 9,818
Ñuñoa,63655.0,15228.0,239.0,Entre 1 y 9,Entre 1 y 9,18
Pedro Aguirre Cerda,33139.0,21095.0,152.0,12,Entre 1 y 9,71
Peñalolén,74799.0,33548.0,368.0,92,452,123
Providencia,28417.0,9885.0,181.0,Entre 1 y 9,Entre 1 y 9,13
Pudahuel,91104.0,20700.0,283.0,1341,Entre 1 y 9,603
Quilicura,84439.0,11972.0,420.0,158,11,578
Quinta Normal,42582.0,24989.0,367.0,11,Entre 1 y 9,65
Recoleta,54617.0,30821.0,387.0,32,Entre 1 y 9,105
Renca,53621.0,20208.0,619.0,43,Entre 1 y 9,146
San Joaquín,31537.0,26559.0,256.0,11,Entre 1 y 9,55
San Miguel,47737.0,15622.0,193.0,11,Entre 1 y 9,47
San Ramón,30730.0,17346.0,134.0,Entre 1 y 9,Entre 1 y 9,45
Vitacura,10792.0,644.0,15.0,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9
Puente Alto,245370.0,19744.0,2380.0,180,30,386
Pirque,5888.0,4321.0,241.0,784,343,188
San José de Maipo,3138.0,2828.0,379.0,279,1414,381
Colina,35073.0,18636.0,1573.0,1410,150,576
Lampa,32835.0,10779.0,1927.0,3507,22,1587
Tiltil,6185.0,2106.0,726.0,543,80,221
San Bernardo,114981.0,25192.0,1313.0,222,17,872
Buin,33471.0,14893.0,787.0,812,41,376
Calera de Tango,4633.0,4965.0,230.0,461,Entre 1 y 9,88
Paine,25815.0,8920.0,475.0,2843,63,301
Melipilla,39259.0,20016.0,1483.0,3282,115,352
Alhué,2130.0,1062.0,132.0,141,59,36
Curacaví,12157.0,2761.0,375.0,1976,96,557
María Pinto,4727.0,2084.0,86.0,375,Entre 1 y 9,30
San Pedro,1608.0,782.0,110.0,1996,29,407
Talagante,27220.0,7189.0,559.0,3192,87,268
El Monte,12630.0,5208.0,291.0,1185,24,183
Isla de Maipo,8596.0,6712.0,98.0,1510,19,56
Padre Hurtado,22422.0,5747.0,4195.0,1392,Entre 1 y 9,45
Peñaflor,32290.0,4813.0,345.0,1538,11,82
Región Metropolitana,2570765.0,736617.0,30101.0,30374,3783,*
