Comuna,Total de hogares hacinamiento crítico con RSH,Total de hogares hacinamiento medio con RSH,Total de hogares sin hacinamiento con RSH
Santiago,854,14385.0,196315.0
Cerrillos,260,3630.0,36228.0
Cerro Navia,706,8538.0,68530.0
Conchalí,447,6260.0,60971.0
El Bosque,602,7619.0,75459.0
Estación Central,599,8938.0,81554.0
Huechuraba,324,3598.0,35818.0
Independencia,409,5877.0,54210.0
La Cisterna,244,3141.0,44032.0
La Florida,945,13210.0,163749.0
La Granja,642,6619.0,57086.0
La Pintana,1293,10967.0,75412.0
La Reina,96,1458.0,25159.0
Las Condes,172,2543.0,73884.0
Lo Barnechea,197,1916.0,19298.0
Lo Espejo,655,6213.0,44235.0
Lo Prado,424,5591.0,47740.0
Macul,237,3709.0,55996.0
Maipú,1014,17159.0,227894.0
Ñuñoa,147,2812.0,76168.0
Pedro Aguirre Cerda,508,5633.0,48293.0
Peñalolén,723,9568.0,99020.0
Providencia,36,930.0,37516.0
Pudahuel,823,10375.0,102776.0
Quilicura,582,8647.0,88333.0
Quinta Normal,447,6058.0,61478.0
Recoleta,751,8619.0,76531.0
Renca,553,7053.0,66892.0
San Joaquín,406,5369.0,52592.0
San Miguel,192,3648.0,59742.0
San Ramón,497,5416.0,42257.0
Vitacura,Entre 1 y 9,207.0,11241.0
Puente Alto,1519,20706.0,245812.0
Pirque,93,1126.0,10543.0
San José de Maipo,57,668.0,7694.0
Colina,437,5011.0,51957.0
Lampa,385,4661.0,45580.0
Tiltil,69,881.0,8900.0
San Bernardo,1313,13174.0,128062.0
Buin,317,4643.0,45402.0
Calera de Tango,71,975.0,9337.0
Paine,244,3301.0,34856.0
Melipilla,259,5276.0,58960.0
Alhué,17,277.0,3264.0
Curacaví,94,1342.0,16476.0
María Pinto,72,751.0,6485.0
San Pedro,50,451.0,4422.0
Talagante,250,3720.0,34534.0
El Monte,101,1720.0,17695.0
Isla de Maipo,121,1660.0,15197.0
Padre Hurtado,206,2908.0,30677.0
Peñaflor,197,3205.0,35669.0
Región Metropolitana,*,282162.0,3077931.0
