Comuna,Número de personas 40% menores ingresos,% sobre total de personas con RSH,Total de personas con RSH
Santiago,126921.0,0.3690851459811562,343880.0
Cerrillos,39365.0,0.5041946845981428,78075.0
Cerro Navia,84920.0,0.5984960074424374,141889.0
Conchalí,65441.0,0.5166544294703268,126663.0
El Bosque,93560.0,0.5867118176402345,159465.0
Estación Central,76084.0,0.4709100812041988,161568.0
Huechuraba,38498.0,0.46546325067405,82709.0
Independencia,48839.0,0.4589139565695385,106423.0
La Cisterna,39289.0,0.4525756807814587,86812.0
La Florida,147323.0,0.4408228605625374,334200.0
La Granja,69513.0,0.5693819879592088,122085.0
La Pintana,117592.0,0.6346752735064416,185279.0
La Reina,17469.0,0.3233742433498084,54021.0
Las Condes,30090.0,0.2015810276679842,149270.0
Lo Barnechea,17993.0,0.3976002121359437,45254.0
Lo Espejo,61500.0,0.6158560398954547,99861.0
Lo Prado,53100.0,0.5482252369448058,96858.0
Macul,44506.0,0.4090173877881116,108812.0
Maipú,197468.0,0.4154527169750983,475308.0
Ñuñoa,38463.0,0.2664140801950503,144373.0
Pedro Aguirre Cerda,59292.0,0.5646534483743786,105006.0
Peñalolén,108423.0,0.521675744336881,207836.0
Providencia,14373.0,0.2238506105158235,64208.0
Pudahuel,110261.0,0.499793756487605,220613.0
Quilicura,86604.0,0.4375243128002788,197941.0
Quinta Normal,59413.0,0.4850872394451294,122479.0
Recoleta,85931.0,0.5422437891628227,158473.0
Renca,79539.0,0.5449369690326117,145960.0
San Joaquín,54208.0,0.5418036801231372,100051.0
San Miguel,39329.0,0.3484883391224215,112856.0
San Ramón,52917.0,0.6009744242038795,88052.0
Vitacura,3188.0,0.1389409457398125,22945.0
Puente Alto,257473.0,0.4849279877050801,530951.0
Pirque,11941.0,0.4822892685488105,24759.0
San José de Maipo,8203.0,0.5041175024582104,16272.0
Colina,62574.0,0.5333526533812926,117322.0
Lampa,52680.0,0.5129403516971431,102702.0
Tiltil,9667.0,0.5075872932528223,19045.0
San Bernardo,155214.0,0.5318954261804649,291813.0
Buin,52449.0,0.5200075350478872,100862.0
Calera de Tango,11091.0,0.5120735029318066,21659.0
Paine,43375.0,0.573614398878559,75617.0
Melipilla,78074.0,0.5925110800801409,131768.0
Alhué,3547.0,0.4949762768629639,7166.0
Curacaví,20109.0,0.581672500072315,34571.0
María Pinto,8832.0,0.5830857595563478,15147.0
San Pedro,6478.0,0.6285048995828078,10307.0
Talagante,39484.0,0.5434525284223856,72654.0
El Monte,23047.0,0.61058125364277,37746.0
Isla de Maipo,19796.0,0.5630421798117125,35159.0
Padre Hurtado,33858.0,0.4987993341092238,67879.0
Peñaflor,42113.0,0.4848990777095879,86849.0
Región Metropolitana,3101417.0,0.4808791353960238,6449473.0
