Comuna,Personas en situación de calle menores de 18 años,Personas en situación de calle de 18 a 59 años,Personas en situación de calle mayores de 60 años,Total de personas en situación de calle con RSH*
Santiago,18,1032,195,1245
Cerrillos,Entre 1 y 9,168,18,195
Cerro Navia,Entre 1 y 9,211,42,262
Conchalí,Entre 1 y 9,225,28,258
El Bosque,Entre 1 y 9,141,18,167
Estación Central,38,654,265,957
Huechuraba,Entre 1 y 9,107,14,125
Independencia,Entre 1 y 9,85,32,118
La Cisterna,Entre 1 y 9,50,19,72
La Florida,12,158,39,209
La Granja,Entre 1 y 9,98,23,122
La Pintana,15,200,22,237
La Reina,0,23,11,34
Las Condes,0,42,19,61
Lo Barnechea,0,52,14,66
Lo Espejo,Entre 1 y 9,103,19,126
Lo Prado,Entre 1 y 9,133,21,155
Macul,0,47,Entre 1 y 9,54
Maipú,11,297,51,359
Ñuñoa,12,147,97,256
Pedro Aguirre Cerda,0,78,29,107
Peñalolén,0,165,28,193
Providencia,Entre 1 y 9,173,54,234
Pudahuel,Entre 1 y 9,308,54,366
Quilicura,Entre 1 y 9,227,33,267
Quinta Normal,21,158,59,238
Recoleta,15,541,191,747
Renca,Entre 1 y 9,166,19,189
San Joaquín,0,67,24,91
San Miguel,10,199,70,279
San Ramón,Entre 1 y 9,145,22,172
Vitacura,0,Entre 1 y 9,Entre 1 y 9,10
Puente Alto,13,857,136,1006
Pirque,Entre 1 y 9,Entre 1 y 9,Entre 1 y 9,12
San José de Maipo,0,17,Entre 1 y 9,23
Colina,Entre 1 y 9,191,26,224
Lampa,Entre 1 y 9,51,Entre 1 y 9,58
Tiltil,0,Entre 1 y 9,0,Entre 1 y 9
San Bernardo,32,508,122,662
Buin,10,56,15,81
Calera de Tango,0,Entre 1 y 9,0,Entre 1 y 9
Paine,Entre 1 y 9,57,Entre 1 y 9,64
Melipilla,Entre 1 y 9,178,35,214
Alhué,Entre 1 y 9,10,0,14
Curacaví,Entre 1 y 9,21,Entre 1 y 9,27
María Pinto,Entre 1 y 9,Entre 1 y 9,0,Entre 1 y 9
San Pedro,0,0,0,0
Talagante,Entre 1 y 9,64,18,85
El Monte,12,47,Entre 1 y 9,67
Isla de Maipo,0,Entre 1 y 9,0,Entre 1 y 9
Padre Hurtado,0,48,10,58
Peñaflor,Entre 1 y 9,28,Entre 1 y 9,35
Región Metropolitana,316,8353,1943,10612
