Comuna,Número de personas que pertenecen a algún pueblo originario*,Número de personas que no pertenecen a pueblo originario**,% de personas que pertenece a algún pueblo originario
Santiago,10227.0,333653.0,0.0297400255903222
Cerrillos,5053.0,73022.0,0.0647198206852385
Cerro Navia,13210.0,128679.0,0.0931009451049764
Conchalí,6872.0,119791.0,0.0542542020953238
El Bosque,12075.0,147390.0,0.0757219452544445
Estación Central,6541.0,155027.0,0.0404845018815607
Huechuraba,5814.0,76895.0,0.0702946474990629
Independencia,2217.0,104206.0,0.0208319630155135
La Cisterna,3204.0,83608.0,0.0369073399990784
La Florida,19862.0,314338.0,0.0594314781567923
La Granja,7552.0,114533.0,0.0618585411803251
La Pintana,22499.0,162780.0,0.1214330820006584
La Reina,2515.0,51506.0,0.0465559689750282
Las Condes,2456.0,146814.0,0.0164534065786829
Lo Barnechea,2108.0,43146.0,0.0465815176558978
Lo Espejo,6689.0,93172.0,0.0669831065180601
Lo Prado,8693.0,88165.0,0.0897499432158417
Macul,5948.0,102864.0,0.0546630886299305
Maipú,27133.0,448175.0,0.0570850900889528
Ñuñoa,3726.0,140647.0,0.0258081497232862
Pedro Aguirre Cerda,5011.0,99995.0,0.0477210826048035
Peñalolén,17793.0,190043.0,0.0856107700302161
Providencia,1237.0,62971.0,0.0192655120857214
Pudahuel,16078.0,204535.0,0.0728787514788339
Quilicura,11736.0,186205.0,0.059290394612536
Quinta Normal,4349.0,118130.0,0.0355081279239706
Recoleta,7603.0,150870.0,0.0479766269332946
Renca,13043.0,132917.0,0.0893600986571663
San Joaquín,3728.0,96323.0,0.0372609968915852
San Miguel,3143.0,109713.0,0.0278496491103707
San Ramón,7032.0,81020.0,0.0798618997864898
Vitacura,209.0,22736.0,0.0091087382872085
Puente Alto,33596.0,497355.0,0.0632751421505939
Pirque,864.0,23895.0,0.034896401308615
San José de Maipo,682.0,15590.0,0.0419124877089478
Colina,5598.0,111724.0,0.0477148360921225
Lampa,6565.0,96137.0,0.0639228057876185
Tiltil,501.0,18544.0,0.0263061170911
San Bernardo,20824.0,270989.0,0.0713607687114693
Buin,4363.0,96499.0,0.0432571235946144
Calera de Tango,652.0,21007.0,0.0301029595087492
Paine,3394.0,72223.0,0.0448840869116733
Melipilla,4926.0,126842.0,0.0373838868314006
Alhué,199.0,6967.0,0.0277700251186156
Curacaví,1218.0,33353.0,0.035231841717046
María Pinto,480.0,14667.0,0.0316894434541493
San Pedro,438.0,9869.0,0.0424953914815174
Talagante,2593.0,70061.0,0.0356897073801855
El Monte,2162.0,35584.0,0.0572775923276638
Isla de Maipo,1535.0,33624.0,0.0436588071333086
Padre Hurtado,4503.0,63376.0,0.0663386319774893
Peñaflor,3361.0,83488.0,0.0386993517484369
Región Metropolitana,363810.0,6085663.0,0.056409260105438
