Unnamed: 1,SEREMI DE DESARROLLO SOCIAL Y FAMILIA METROPOLITANA
1.0,NÚMERO DE PERSONAS PERTENECIENTES AL 40% DE MENORES INGRESOS Y PORCENTAJE DEL TOTAL DE PERSONAS SEGÚN COMUNA
2.0,NÚMERO DE PERSONAS PERTENECIENTES AL 60% DE MENORES INGRESOS Y PORCENTAJE DEL TOTAL DE PERSONAS SEGÚN COMUNA
3.0,NÚMERO DE HOGARES PERTENECIENTES AL 40% DE MENORES INGRESOS Y PORCENTAJE DEL TOTAL DE HOGARES SEGÚN COMUNA
4.0,NÚMERO DE HOGARES PERTENECIENTES AL 60% DE MENORES INGRESOS Y PORCENTAJE DEL TOTAL DE HOGARES SEGÚN COMUNA
5.0,NÚMERO DE JEFATURAS DE HOGAR POR SEXO Y NUMERO TOTAL DE HOGARES SEGÚN COMUNA
6.0,NÚMERO DE MUJERES JEFAS DE HOGAR PERTENECIENTES AL 40% Y AL 60% DE MENORES INGRESOS Y NUMERO TOTAL DE MUJERES JEFAS DE HOGAR SEGÚN COMUNA
7.0,NÚMERO DE PERSONAS EN SITUACIÓN DE CALLE POR GRUPOS DE EDAD SEGÚN COMUNA
8.0,NÚMERO DE ADULTOS MAYORES PERTENECIENTES AL 40% Y AL 60% DE MENORES INGRESOS Y TOTAL DE ADULTOS MAYORES SEGÚN COMUNA
9.0,"NÚMERO DE NIÑOS, NIÑAS Y ADOLESCENTES (NNA) PERTENECIENTES AL 40% Y AL 60% DE MENORES INGRESOS Y TOTAL DE NNA SEGÚN COMUNA"
10.0,NÚMERO DE PERSONAS POR NIVEL DE DEPENDENCIA SEGÚN COMUNA
11.0,NÚMERO DE EXTRANJEROS PERTENECIENTES AL 40% Y AL 60% DE MENORES INGRESOS Y TOTAL DE EXTRANJEROS SEGÚN COMUNA
12.0,NÚMERO DE PERSONAS POR PERTENENCIA A PUEBLOS ORIGNARIOS Y PORCENTAJE DE PERSONAS PERTENECIENTES A PUEBLOS ORIGINARIOS SEGÚN COMUNA
13.0,NÚMERO DE HOGARES POR NIVEL DE HACINAMIENTO SEGÚN COMUNA
14.0,NÚMERO DE HOGARES POR TIPO DE VIVIENDA
15.0,NÚMERO DE HOGARES POR FUENTE DEL AGUA
