Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Sin información*,Total
Santiago,26248.0,5759.0,4515.0,4242.0,3168.0,4339.0,946.0,0.0,49217.0
Cerrillos,9731.0,1859.0,1258.0,1072.0,835.0,895.0,178.0,0.0,15828.0
Cerro Navia,20036.0,2727.0,1665.0,1194.0,778.0,681.0,88.0,0.0,27169.0
Conchalí,17721.0,3284.0,2178.0,1781.0,1192.0,1279.0,204.0,0.0,27639.0
El Bosque,23223.0,3600.0,2350.0,1880.0,1266.0,1263.0,224.0,0.0,33806.0
Estación Central,17785.0,3135.0,2268.0,1902.0,1337.0,1754.0,349.0,0.0,28530.0
Huechuraba,9432.0,1539.0,979.0,890.0,592.0,1243.0,420.0,0.0,15095.0
Independencia,10832.0,2001.0,1432.0,1269.0,893.0,1121.0,234.0,0.0,17782.0
La Cisterna,11683.0,2188.0,1460.0,1358.0,1055.0,1422.0,293.0,0.0,19459.0
La Florida,42489.0,9625.0,7014.0,6509.0,4618.0,6740.0,1372.0,0.0,78367.0
La Granja,18481.0,3128.0,2008.0,1446.0,1041.0,910.0,135.0,0.0,27149.0
La Pintana,23675.0,3753.0,2268.0,1524.0,925.0,608.0,79.0,0.0,32832.0
La Reina,6057.0,1485.0,1249.0,1279.0,997.0,2893.0,1015.0,0.0,14975.0
Las Condes,12963.0,4118.0,3692.0,4567.0,3812.0,14214.0,7986.0,0.0,51352.0
Lo Barnechea,4780.0,1113.0,853.0,742.0,429.0,1452.0,786.0,0.0,10155.0
Lo Espejo,15765.0,2048.0,1320.0,955.0,558.0,501.0,62.0,0.0,21209.0
Lo Prado,14438.0,2305.0,1503.0,1211.0,727.0,741.0,124.0,0.0,21049.0
Macul,13757.0,3097.0,2284.0,2210.0,1534.0,2331.0,479.0,0.0,25692.0
Maipú,56594.0,12908.0,9060.0,8447.0,6591.0,8442.0,1584.0,0.0,103626.0
Ñuñoa,15198.0,4471.0,3518.0,4032.0,3155.0,6791.0,1799.0,0.0,38964.0
Pedro Aguirre Cerda,17547.0,2783.0,1709.0,1426.0,964.0,951.0,172.0,0.0,25552.0
Peñalolén,26310.0,4382.0,2787.0,2376.0,1716.0,2757.0,765.0,0.0,41093.0
Providencia,5944.0,1851.0,1603.0,1976.0,1547.0,4430.0,1600.0,0.0,18951.0
Pudahuel,28131.0,4659.0,3022.0,2577.0,1837.0,2005.0,355.0,0.0,42586.0
Quilicura,16637.0,3597.0,2505.0,2282.0,1611.0,2052.0,354.0,0.0,29038.0
Quinta Normal,15828.0,2808.0,1789.0,1518.0,1040.0,1175.0,192.0,0.0,24350.0
Recoleta,21135.0,3569.0,2314.0,1875.0,1269.0,1549.0,303.0,0.0,32014.0
Renca,18351.0,3152.0,1904.0,1529.0,954.0,821.0,125.0,0.0,26836.0
San Joaquín,15713.0,2419.0,1450.0,1267.0,898.0,1028.0,178.0,0.0,22953.0
San Miguel,11879.0,2299.0,1674.0,1741.0,1329.0,2442.0,571.0,0.0,21935.0
San Ramón,13787.0,1742.0,1028.0,773.0,471.0,471.0,78.0,0.0,18350.0
Vitacura,1823.0,681.0,633.0,808.0,596.0,3389.0,1605.0,0.0,9535.0
Puente Alto,61617.0,12382.0,8522.0,7333.0,5397.0,5799.0,1038.0,0.0,102088.0
Pirque,3079.0,569.0,372.0,328.0,226.0,456.0,161.0,0.0,5191.0
San José de Maipo,2132.0,405.0,258.0,190.0,152.0,274.0,58.0,0.0,3469.0
Colina,11558.0,1730.0,1028.0,869.0,561.0,1131.0,358.0,0.0,17235.0
Lampa,9003.0,1327.0,847.0,699.0,490.0,777.0,138.0,0.0,13281.0
Tiltil,2462.0,439.0,228.0,213.0,130.0,220.0,47.0,0.0,3739.0
San Bernardo,32448.0,5604.0,3806.0,3244.0,2367.0,2626.0,511.0,0.0,50606.0
Buin,11149.0,1927.0,1129.0,973.0,689.0,959.0,216.0,0.0,17042.0
Calera de Tango,2541.0,500.0,305.0,226.0,161.0,309.0,115.0,0.0,4157.0
Paine,9931.0,1556.0,939.0,780.0,539.0,773.0,181.0,0.0,14699.0
Melipilla,18612.0,2670.0,1738.0,1528.0,935.0,1284.0,307.0,0.0,27074.0
Alhué,1007.0,184.0,102.0,68.0,52.0,73.0,27.0,0.0,1513.0
Curacaví,5025.0,728.0,483.0,444.0,281.0,478.0,145.0,0.0,7584.0
María Pinto,2302.0,364.0,190.0,148.0,119.0,176.0,35.0,0.0,3334.0
San Pedro,1874.0,242.0,121.0,99.0,55.0,150.0,19.0,0.0,2560.0
Talagante,9346.0,1438.0,975.0,906.0,651.0,916.0,211.0,0.0,14443.0
El Monte,5166.0,670.0,402.0,335.0,214.0,288.0,56.0,0.0,7131.0
Isla de Maipo,4823.0,735.0,410.0,374.0,226.0,327.0,92.0,0.0,6987.0
Padre Hurtado,7798.0,1189.0,727.0,579.0,464.0,562.0,129.0,0.0,11448.0
Peñaflor,10092.0,1955.0,1375.0,1091.0,803.0,1036.0,222.0,0.0,16574.0
Región Metropolitana,775938.0,144699.0,99249.0,89085.0,64247.0,101304.0,28721.0,0.0,1303243.0
