Comuna,Sin dependencia moderada/severa,Con dependencia moderada/severa,Sin información**,Total
Santiago,338988.0,4256.0,0.0,343244.0
Cerrillos,74605.0,2332.0,0.0,76937.0
Cerro Navia,133337.0,2894.0,0.0,136231.0
Conchalí,119234.0,1940.0,0.0,121174.0
El Bosque,151462.0,2183.0,0.0,153645.0
Estación Central,157929.0,2308.0,0.0,160237.0
Huechuraba,80932.0,1058.0,0.0,81990.0
Independencia,103476.0,1410.0,0.0,104886.0
La Cisterna,85782.0,1494.0,0.0,87276.0
La Florida,323313.0,4878.0,0.0,328191.0
La Granja,115710.0,1847.0,0.0,117557.0
La Pintana,178151.0,2212.0,0.0,180363.0
La Reina,52465.0,1420.0,0.0,53885.0
Las Condes,155263.0,2924.0,0.0,158187.0
Lo Barnechea,45698.0,719.0,0.0,46417.0
Lo Espejo,93944.0,2019.0,0.0,95963.0
Lo Prado,92248.0,1391.0,0.0,93639.0
Macul,104251.0,1624.0,0.0,105875.0
Maipú,452493.0,5958.0,0.0,458451.0
Ñuñoa,146537.0,2620.0,0.0,149157.0
Pedro Aguirre Cerda,98357.0,2077.0,0.0,100434.0
Peñalolén,199510.0,2925.0,0.0,202435.0
Providencia,63050.0,1335.0,0.0,64385.0
Pudahuel,213368.0,3121.0,0.0,216489.0
Quilicura,191556.0,2426.0,0.0,193982.0
Quinta Normal,116506.0,2323.0,0.0,118829.0
Recoleta,151213.0,3057.0,0.0,154270.0
Renca,139859.0,1883.0,0.0,141742.0
San Joaquín,97788.0,1503.0,0.0,99291.0
San Miguel,112666.0,1612.0,0.0,114278.0
San Ramón,82491.0,1578.0,0.0,84069.0
Vitacura,24695.0,484.0,0.0,25179.0
Puente Alto,509342.0,7223.0,0.0,516565.0
Pirque,24490.0,231.0,0.0,24721.0
San José de Maipo,15917.0,179.0,0.0,16096.0
Colina,117481.0,1386.0,0.0,118867.0
Lampa,105770.0,1519.0,0.0,107289.0
Tiltil,18738.0,241.0,0.0,18979.0
San Bernardo,281259.0,3872.0,0.0,285131.0
Buin,101997.0,1392.0,0.0,103389.0
Calera de Tango,20937.0,356.0,0.0,21293.0
Paine,77221.0,955.0,0.0,78176.0
Melipilla,131253.0,1974.0,0.0,133227.0
Alhué,7489.0,76.0,0.0,7565.0
Curacaví,34156.0,765.0,0.0,34921.0
María Pinto,15217.0,151.0,0.0,15368.0
San Pedro,10513.0,166.0,0.0,10679.0
Talagante,73238.0,864.0,0.0,74102.0
El Monte,36522.0,547.0,0.0,37069.0
Isla de Maipo,35159.0,372.0,0.0,35531.0
Padre Hurtado,68630.0,1080.0,0.0,69710.0
Peñaflor,83285.0,1192.0,0.0,84477.0
Región Metropolitana,6265491.0,96352.0,0.0,6361843.0
