Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Sin información*,Total
Santiago,62803.0,12061.0,12326.0,14491.0,16218.0,17592.0,6907.0,0.0,142398.0
Cerrillos,4946.0,697.0,653.0,673.0,571.0,494.0,113.0,0.0,8147.0
Cerro Navia,7945.0,1059.0,980.0,922.0,798.0,489.0,88.0,0.0,12281.0
Conchalí,8786.0,1366.0,1396.0,1323.0,1229.0,879.0,190.0,0.0,15169.0
El Bosque,4986.0,655.0,643.0,595.0,471.0,344.0,62.0,0.0,7756.0
Estación Central,24492.0,4508.0,4558.0,4835.0,4953.0,4671.0,1256.0,0.0,49273.0
Huechuraba,2326.0,438.0,363.0,416.0,431.0,771.0,424.0,0.0,5169.0
Independencia,22068.0,4133.0,3900.0,4071.0,4375.0,3727.0,927.0,0.0,43201.0
La Cisterna,6222.0,1171.0,1196.0,1207.0,1144.0,1018.0,281.0,0.0,12239.0
La Florida,11627.0,2128.0,2211.0,2317.0,2535.0,2897.0,1172.0,0.0,24887.0
La Granja,4382.0,639.0,598.0,563.0,498.0,348.0,83.0,0.0,7111.0
La Pintana,3690.0,453.0,462.0,393.0,349.0,184.0,37.0,0.0,5568.0
La Reina,1527.0,286.0,258.0,291.0,295.0,470.0,245.0,0.0,3372.0
Las Condes,3820.0,884.0,827.0,982.0,1113.0,2515.0,1949.0,0.0,12090.0
Lo Barnechea,1674.0,424.0,430.0,402.0,372.0,315.0,232.0,0.0,3849.0
Lo Espejo,4724.0,653.0,591.0,547.0,458.0,290.0,38.0,0.0,7301.0
Lo Prado,6250.0,1057.0,1008.0,956.0,826.0,525.0,118.0,0.0,10740.0
Macul,5513.0,1035.0,1075.0,1147.0,1397.0,1848.0,691.0,0.0,12706.0
Maipú,11681.0,1951.0,1796.0,1898.0,1737.0,1835.0,533.0,0.0,21431.0
Ñuñoa,5569.0,1198.0,1107.0,1557.0,2020.0,3958.0,2492.0,0.0,17901.0
Pedro Aguirre Cerda,5597.0,755.0,688.0,597.0,571.0,327.0,55.0,0.0,8590.0
Peñalolén,7524.0,1392.0,1187.0,1201.0,1106.0,959.0,346.0,0.0,13715.0
Providencia,2266.0,478.0,481.0,542.0,640.0,1198.0,796.0,0.0,6401.0
Pudahuel,6971.0,1160.0,1039.0,1100.0,1043.0,872.0,242.0,0.0,12427.0
Quilicura,13702.0,2374.0,2269.0,2238.0,2085.0,1705.0,368.0,0.0,24741.0
Quinta Normal,13721.0,2444.0,2373.0,2566.0,2490.0,2082.0,509.0,0.0,26185.0
Recoleta,18959.0,2914.0,2667.0,2547.0,2337.0,1687.0,355.0,0.0,31466.0
Renca,5786.0,891.0,796.0,810.0,707.0,566.0,94.0,0.0,9650.0
San Joaquín,6108.0,1068.0,1066.0,1041.0,1127.0,1052.0,346.0,0.0,11808.0
San Miguel,11814.0,2525.0,2274.0,2744.0,3345.0,4116.0,1680.0,0.0,28498.0
San Ramón,3258.0,508.0,428.0,437.0,347.0,272.0,52.0,0.0,5302.0
Vitacura,482.0,153.0,141.0,157.0,132.0,367.0,197.0,0.0,1629.0
Puente Alto,10446.0,1645.0,1505.0,1588.0,1435.0,1395.0,378.0,0.0,18392.0
Pirque,210.0,33.0,26.0,36.0,24.0,38.0,13.0,0.0,380.0
San José de Maipo,310.0,37.0,55.0,56.0,25.0,33.0,11.0,0.0,527.0
Colina,7993.0,1002.0,880.0,819.0,727.0,705.0,286.0,0.0,12412.0
Lampa,5601.0,759.0,727.0,760.0,819.0,692.0,209.0,0.0,9567.0
Tiltil,417.0,97.0,69.0,59.0,61.0,50.0,20.0,0.0,773.0
San Bernardo,9303.0,1357.0,1234.0,1070.0,980.0,836.0,201.0,0.0,14981.0
Buin,2586.0,368.0,308.0,368.0,349.0,338.0,112.0,0.0,4429.0
Calera de Tango,459.0,57.0,54.0,54.0,42.0,46.0,11.0,0.0,723.0
Paine,2999.0,289.0,310.0,311.0,222.0,147.0,38.0,0.0,4316.0
Melipilla,5214.0,497.0,436.0,409.0,351.0,287.0,100.0,0.0,7294.0
Alhué,498.0,62.0,44.0,23.0,21.0,21.0,5.0,0.0,674.0
Curacaví,740.0,106.0,98.0,92.0,63.0,81.0,29.0,0.0,1209.0
María Pinto,204.0,22.0,20.0,18.0,17.0,16.0,5.0,0.0,302.0
San Pedro,540.0,48.0,44.0,41.0,20.0,12.0,5.0,0.0,710.0
Talagante,2043.0,273.0,266.0,225.0,182.0,198.0,58.0,0.0,3245.0
El Monte,594.0,94.0,62.0,73.0,57.0,48.0,16.0,0.0,944.0
Isla de Maipo,566.0,53.0,50.0,60.0,40.0,59.0,20.0,0.0,848.0
Padre Hurtado,1992.0,326.0,321.0,287.0,284.0,283.0,76.0,0.0,3569.0
Peñaflor,1398.0,251.0,223.0,210.0,177.0,158.0,78.0,0.0,2495.0
Región Metropolitana,355332.0,60834.0,58519.0,62125.0,63616.0,65816.0,24549.0,0.0,690791.0
