Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Sin información*,Total
Santiago,83401.0,15650.0,16523.0,20649.0,24986.0,37940.0,20774.0,0.0,219923.0
Cerrillos,21025.0,3451.0,3027.0,3240.0,3698.0,4897.0,1692.0,0.0,41030.0
Cerro Navia,45258.0,6244.0,5598.0,5664.0,6270.0,6155.0,1786.0,0.0,76975.0
Conchalí,34910.0,5883.0,5287.0,5699.0,6243.0,7007.0,2166.0,0.0,67195.0
El Bosque,48378.0,6864.0,5985.0,6172.0,6756.0,7670.0,2284.0,0.0,84109.0
Estación Central,44775.0,7585.0,7475.0,8331.0,9460.0,11727.0,4270.0,0.0,93623.0
Huechuraba,19944.0,3197.0,2730.0,3004.0,3307.0,6023.0,2929.0,0.0,41134.0
Independencia,28740.0,5146.0,5119.0,5774.0,6349.0,7634.0,2682.0,0.0,61444.0
La Cisterna,23303.0,4081.0,3619.0,4229.0,4799.0,7062.0,2689.0,0.0,49782.0
La Florida,82729.0,15300.0,13542.0,15337.0,16981.0,26945.0,10974.0,0.0,181808.0
La Granja,36378.0,5615.0,4873.0,4906.0,5341.0,5726.0,1742.0,0.0,64581.0
La Pintana,54056.0,7906.0,6452.0,6067.0,6670.0,5791.0,1497.0,0.0,88439.0
La Reina,10803.0,2253.0,1911.0,2297.0,2430.0,5966.0,2736.0,0.0,28396.0
Las Condes,21486.0,5506.0,4920.0,6520.0,6500.0,22828.0,17552.0,0.0,85312.0
Lo Barnechea,10067.0,2136.0,1925.0,1989.0,1826.0,3612.0,1874.0,0.0,23429.0
Lo Espejo,31055.0,4301.0,3569.0,3612.0,3865.0,3859.0,1020.0,0.0,51281.0
Lo Prado,29172.0,4615.0,4133.0,4431.0,4600.0,4924.0,1607.0,0.0,53482.0
Macul,26304.0,5003.0,4528.0,5186.0,5749.0,9820.0,4256.0,0.0,60846.0
Maipú,110148.0,21286.0,18471.0,21252.0,25154.0,38645.0,14299.0,0.0,249255.0
Ñuñoa,25969.0,6123.0,5320.0,7023.0,7681.0,20829.0,13218.0,0.0,86163.0
Pedro Aguirre Cerda,31342.0,4685.0,3884.0,4026.0,4273.0,4813.0,1557.0,0.0,54580.0
Peñalolén,58768.0,9383.0,7941.0,8602.0,9095.0,12327.0,4398.0,0.0,110514.0
Providencia,11109.0,2645.0,2410.0,3277.0,3333.0,10363.0,7356.0,0.0,40493.0
Pudahuel,59304.0,9747.0,8234.0,9258.0,10753.0,14220.0,4975.0,0.0,116491.0
Quilicura,44761.0,8472.0,7571.0,8666.0,10389.0,14198.0,4642.0,0.0,98699.0
Quinta Normal,33818.0,5887.0,5396.0,5946.0,6557.0,8090.0,2877.0,0.0,68571.0
Recoleta,46391.0,7468.0,6667.0,6914.0,7513.0,8620.0,3060.0,0.0,86633.0
Renca,40412.0,6488.0,5515.0,5869.0,6710.0,7281.0,2321.0,0.0,74596.0
San Joaquín,32643.0,4871.0,4131.0,4399.0,4990.0,6262.0,2390.0,0.0,59686.0
San Miguel,25776.0,4805.0,4425.0,5520.0,6749.0,12907.0,7002.0,0.0,67184.0
San Ramón,28746.0,3838.0,3290.0,3501.0,3654.0,3899.0,1134.0,0.0,48062.0
Vitacura,2657.0,832.0,737.0,1031.0,844.0,4413.0,2603.0,0.0,13117.0
Puente Alto,135938.0,23110.0,20039.0,22374.0,25460.0,34882.0,12020.0,0.0,273823.0
Pirque,6157.0,1072.0,864.0,925.0,973.0,1640.0,641.0,0.0,12272.0
San José de Maipo,4657.0,737.0,592.0,612.0,644.0,1101.0,434.0,0.0,8777.0
Colina,32553.0,4545.0,4041.0,4224.0,4823.0,7088.0,3114.0,0.0,60388.0
Lampa,28257.0,3981.0,3612.0,3982.0,4883.0,7180.0,2784.0,0.0,54679.0
Tiltil,5265.0,847.0,686.0,721.0,832.0,1307.0,503.0,0.0,10161.0
San Bernardo,76750.0,11955.0,10423.0,11254.0,12866.0,16391.0,5649.0,0.0,145288.0
Buin,28032.0,4247.0,3526.0,3846.0,4555.0,6722.0,2607.0,0.0,53535.0
Calera de Tango,5461.0,954.0,809.0,767.0,810.0,1245.0,478.0,0.0,10524.0
Paine,23308.0,3401.0,2932.0,3019.0,3172.0,3886.0,1255.0,0.0,40973.0
Melipilla,39804.0,5434.0,4478.0,4552.0,4701.0,6233.0,2349.0,0.0,67551.0
Alhué,2213.0,358.0,245.0,247.0,294.0,512.0,236.0,0.0,4105.0
Curacaví,10778.0,1461.0,1219.0,1248.0,1315.0,1952.0,737.0,0.0,18710.0
María Pinto,4528.0,631.0,483.0,448.0,555.0,717.0,243.0,0.0,7605.0
San Pedro,3364.0,430.0,330.0,322.0,254.0,459.0,117.0,0.0,5276.0
Talagante,22249.0,3075.0,2665.0,3001.0,3352.0,4684.0,1725.0,0.0,40751.0
El Monte,11686.0,1506.0,1261.0,1408.0,1552.0,1756.0,511.0,0.0,19680.0
Isla de Maipo,10524.0,1473.0,1142.0,1206.0,1321.0,1699.0,558.0,0.0,17923.0
Padre Hurtado,18351.0,2849.0,2543.0,2578.0,3382.0,4841.0,1718.0,0.0,36262.0
Peñaflor,19968.0,3378.0,3019.0,3006.0,3602.0,5217.0,1935.0,0.0,40125.0
Región Metropolitana,1693471.0,282710.0,250117.0,278131.0,312871.0,461965.0,195976.0,0.0,3475241.0
