Comuna,Red pública medidor propio,Red pública medidor compartido,Red pública s/medidor,"Pozo, noria","Río, vertiente, estero",Otra (no potable),Sin información*,Total
Santiago,163107.0,51844.0,960.0,54.0,5.0,181.0,5.0,216156.0
Cerrillos,31173.0,7752.0,680.0,25.0,5.0,889.0,509.0,41033.0
Cerro Navia,46069.0,29207.0,813.0,51.0,11.0,281.0,543.0,76975.0
Conchalí,45825.0,20351.0,315.0,16.0,5.0,98.0,589.0,67199.0
El Bosque,66152.0,16461.0,464.0,20.0,5.0,81.0,928.0,84111.0
Estación Central,78936.0,13293.0,267.0,13.0,5.0,70.0,1041.0,93625.0
Huechuraba,26183.0,14012.0,516.0,56.0,11.0,68.0,288.0,41134.0
Independencia,49307.0,11427.0,151.0,14.0,0.0,33.0,512.0,61444.0
La Cisterna,32780.0,16213.0,280.0,13.0,5.0,84.0,407.0,49782.0
La Florida,157016.0,22838.0,720.0,103.0,157.0,205.0,5.0,181044.0
La Granja,47252.0,16630.0,360.0,5.0,5.0,28.0,307.0,64587.0
La Pintana,75231.0,11963.0,480.0,21.0,5.0,73.0,668.0,88441.0
La Reina,23870.0,3898.0,70.0,42.0,5.0,58.0,451.0,28394.0
Las Condes,78173.0,6112.0,125.0,20.0,5.0,15.0,860.0,85310.0
Lo Barnechea,18475.0,3587.0,312.0,172.0,465.0,93.0,325.0,23429.0
Lo Espejo,29979.0,20696.0,297.0,15.0,5.0,59.0,231.0,51282.0
Lo Prado,40122.0,13063.0,88.0,5.0,0.0,12.0,192.0,53482.0
Macul,48825.0,11496.0,133.0,5.0,0.0,13.0,373.0,60845.0
Maipú,232070.0,13729.0,1748.0,374.0,5.0,663.0,5.0,248594.0
Ñuñoa,69431.0,15466.0,228.0,5.0,5.0,16.0,1014.0,86165.0
Pedro Aguirre Cerda,35137.0,18903.0,145.0,11.0,5.0,68.0,313.0,54582.0
Peñalolén,76884.0,32036.0,339.0,97.0,470.0,124.0,564.0,110514.0
Providencia,29382.0,10132.0,164.0,5.0,5.0,11.0,797.0,40496.0
Pudahuel,93589.0,19759.0,308.0,1467.0,5.0,579.0,5.0,115712.0
Quilicura,85807.0,11448.0,430.0,160.0,11.0,561.0,5.0,98422.0
Quinta Normal,44272.0,23296.0,368.0,12.0,5.0,58.0,563.0,68574.0
Recoleta,55529.0,29297.0,369.0,27.0,5.0,87.0,1321.0,86635.0
Renca,54662.0,18782.0,565.0,41.0,5.0,138.0,401.0,74594.0
San Joaquín,34589.0,24529.0,229.0,17.0,5.0,52.0,266.0,59687.0
San Miguel,50703.0,15236.0,196.0,16.0,0.0,52.0,981.0,67184.0
San Ramón,31769.0,15913.0,123.0,5.0,5.0,43.0,209.0,48067.0
Vitacura,12210.0,655.0,14.0,5.0,5.0,5.0,230.0,13124.0
Puente Alto,248712.0,19975.0,2755.0,241.0,26.0,380.0,1734.0,273823.0
Pirque,6282.0,4215.0,253.0,858.0,333.0,233.0,98.0,12272.0
San José de Maipo,3247.0,2852.0,440.0,304.0,1403.0,384.0,5.0,8635.0
Colina,35942.0,19160.0,2312.0,1441.0,158.0,609.0,766.0,60388.0
Lampa,34848.0,10852.0,2158.0,4190.0,27.0,2138.0,5.0,54218.0
Tiltil,6325.0,2176.0,746.0,547.0,82.0,221.0,5.0,10102.0
San Bernardo,117522.0,24285.0,1325.0,225.0,18.0,860.0,5.0,144240.0
Buin,36345.0,14540.0,852.0,861.0,46.0,393.0,5.0,53042.0
Calera de Tango,4787.0,4865.0,245.0,473.0,5.0,84.0,64.0,10523.0
Paine,27372.0,9144.0,447.0,3214.0,66.0,313.0,5.0,40561.0
Melipilla,42428.0,19057.0,1372.0,3626.0,97.0,389.0,582.0,67551.0
Alhué,2380.0,1156.0,149.0,152.0,56.0,41.0,171.0,4105.0
Curacaví,12588.0,2734.0,348.0,2138.0,88.0,697.0,5.0,18598.0
María Pinto,4909.0,2114.0,92.0,437.0,5.0,31.0,5.0,7593.0
San Pedro,1677.0,856.0,150.0,2138.0,25.0,408.0,5.0,5259.0
Talagante,28960.0,6797.0,555.0,3706.0,86.0,314.0,333.0,40751.0
El Monte,12647.0,5172.0,295.0,1155.0,24.0,186.0,201.0,19680.0
Isla de Maipo,9303.0,6874.0,101.0,1520.0,17.0,55.0,53.0,17923.0
Padre Hurtado,25569.0,5941.0,3230.0,1225.0,5.0,49.0,245.0,36264.0
Peñaflor,32801.0,4766.0,358.0,1614.0,10.0,81.0,495.0,40125.0
Región Metropolitana,2659153.0,707555.0,30440.0,32957.0,3812.0,12664.0,19695.0,3466276.0
