Comuna,Casa,Departamento,Pieza dentro viv.,"Mejora, mediagua","Rancho, ruca",Vivienda de desecho,Otro tipo viv.,Hospedería,Punto de calle,Vivienda colectiva,"Residencial, pensión",Sin información*,Total,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Santiago,30739.0,144691.0,40295.0,245.0,37.0,35.0,104.0,599.0,701.0,1850.0,617.0,10.0,219923.0,Santiago,30739,144691.0,40295.0,245,37.0,35.0,104.0,599.0,701.0,1850,617.0,10.0,219923
Cerrillos,24450.0,8369.0,5520.0,2078.0,41.0,22.0,41.0,13.0,154.0,306.0,36.0,0.0,41030.0,Cerrillos,24450,8369.0,5520.0,2078,41.0,22.0,41.0,13.0,154.0,306,36.0,0.0,41030
Cerro Navia,44697.0,5726.0,20747.0,4971.0,121.0,69.0,99.0,21.0,157.0,298.0,68.0,5.0,76979.0,Cerro Navia,44697,5726.0,20747.0,4971,121.0,69.0,99.0,21.0,157.0,298,68.0,5.0,-
Conchalí,44310.0,7692.0,12044.0,2483.0,31.0,20.0,26.0,22.0,210.0,284.0,73.0,0.0,67195.0,Conchalí,44310,7692.0,12044.0,2483,31.0,20.0,26.0,22.0,210.0,284,73.0,0.0,67195
El Bosque,58419.0,11558.0,10463.0,2659.0,23.0,20.0,39.0,66.0,62.0,657.0,143.0,0.0,84109.0,El Bosque,58419,11558.0,10463.0,2659,23.0,20.0,39.0,66.0,62.0,657,143.0,0.0,84109
Estación Central,34514.0,38364.0,18076.0,1577.0,14.0,11.0,25.0,272.0,468.0,263.0,31.0,5.0,93620.0,Estación Central,34514,38364.0,18076.0,1577,14.0,11.0,25.0,272.0,468.0,263,31.0,5.0,-
Huechuraba,29551.0,3911.0,5608.0,1725.0,24.0,5.0,19.0,5.0,102.0,174.0,10.0,0.0,41134.0,Huechuraba,29551,3911.0,5608.0,1725,24.0,5.0,19.0,5.0,102.0,174,10.0,0.0,41134
Independencia,17358.0,27759.0,15498.0,275.0,12.0,10.0,20.0,10.0,95.0,374.0,33.0,0.0,61444.0,Independencia,17358,27759.0,15498.0,275,12.0,10.0,20.0,10.0,95.0,374,33.0,0.0,61444
La Cisterna,22494.0,14952.0,10764.0,1053.0,36.0,13.0,63.0,15.0,35.0,288.0,69.0,0.0,49782.0,La Cisterna,22494,14952.0,10764.0,1053,36.0,13.0,63.0,15.0,35.0,288,69.0,0.0,49782
La Florida,124524.0,38835.0,13494.0,3954.0,141.0,23.0,69.0,33.0,132.0,546.0,53.0,5.0,181809.0,La Florida,124524,38835.0,13494.0,3954,141.0,23.0,69.0,33.0,132.0,546,53.0,5.0,-
