Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Sin información*,Total
Santiago,48342.0,8777.0,8338.0,9881.0,11505.0,18753.0,8436.0,0.0,114032.0
Cerrillos,13160.0,1822.0,1407.0,1371.0,1539.0,2173.0,582.0,0.0,22054.0
Cerro Navia,26770.0,3110.0,2315.0,2054.0,2299.0,2170.0,536.0,0.0,39254.0
Conchalí,20545.0,2937.0,2381.0,2349.0,2460.0,2843.0,699.0,0.0,34214.0
El Bosque,28938.0,3382.0,2552.0,2317.0,2576.0,3167.0,764.0,0.0,43696.0
Estación Central,26258.0,4119.0,3546.0,3724.0,4053.0,5087.0,1574.0,0.0,48361.0
Huechuraba,12345.0,1708.0,1300.0,1302.0,1361.0,3132.0,1172.0,0.0,22320.0
Independencia,17584.0,2873.0,2549.0,2648.0,2784.0,3352.0,940.0,0.0,32730.0
La Cisterna,14357.0,2256.0,1744.0,1981.0,2185.0,3501.0,1027.0,0.0,27051.0
La Florida,51209.0,8150.0,6345.0,6865.0,7663.0,13770.0,4195.0,0.0,98197.0
La Granja,21810.0,2768.0,2159.0,1940.0,2051.0,2299.0,572.0,0.0,33599.0
La Pintana,32920.0,3851.0,2664.0,2173.0,2344.0,1984.0,371.0,0.0,46307.0
La Reina,6817.0,1306.0,1049.0,1183.0,1195.0,3282.0,1188.0,0.0,16020.0
Las Condes,14080.0,3513.0,3102.0,3893.0,3728.0,13630.0,8142.0,0.0,50088.0
Lo Barnechea,6431.0,1284.0,1087.0,1043.0,898.0,1976.0,844.0,0.0,13563.0
Lo Espejo,17978.0,2077.0,1386.0,1234.0,1392.0,1370.0,269.0,0.0,25706.0
Lo Prado,17693.0,2434.0,1889.0,1814.0,1844.0,2006.0,523.0,0.0,28203.0
Macul,16234.0,2847.0,2284.0,2528.0,2757.0,5178.0,1783.0,0.0,33611.0
Maipú,69741.0,11376.0,8832.0,9477.0,11048.0,18659.0,4890.0,0.0,134023.0
Ñuñoa,16410.0,3831.0,3166.0,3909.0,4200.0,12606.0,6228.0,0.0,50350.0
Pedro Aguirre Cerda,18599.0,2391.0,1705.0,1607.0,1747.0,2041.0,554.0,0.0,28644.0
Peñalolén,37055.0,5193.0,3731.0,3753.0,3771.0,5997.0,1698.0,0.0,61198.0
Providencia,6914.0,1662.0,1434.0,1978.0,1868.0,6193.0,3598.0,0.0,23647.0
Pudahuel,38136.0,5364.0,3921.0,4117.0,4678.0,6510.0,1732.0,0.0,64458.0
Quilicura,28747.0,4586.0,3554.0,3644.0,4426.0,6266.0,1524.0,0.0,52747.0
Quinta Normal,20759.0,3220.0,2554.0,2667.0,2787.0,3635.0,1017.0,0.0,36639.0
Recoleta,27641.0,3976.0,3067.0,2853.0,2953.0,3695.0,1135.0,0.0,45320.0
Renca,25297.0,3429.0,2548.0,2332.0,2590.0,2847.0,677.0,0.0,39720.0
San Joaquín,19963.0,2643.0,1917.0,1909.0,2065.0,2900.0,906.0,0.0,32303.0
San Miguel,15949.0,2687.0,2294.0,2724.0,3339.0,7037.0,2955.0,0.0,36985.0
San Ramón,16603.0,1789.0,1343.0,1257.0,1278.0,1486.0,359.0,0.0,24115.0
Vitacura,1841.0,568.0,528.0,695.0,525.0,2737.0,1292.0,0.0,8186.0
Puente Alto,85048.0,11988.0,9113.0,9408.0,10972.0,16440.0,4080.0,0.0,147049.0
Pirque,3336.0,454.0,302.0,368.0,374.0,756.0,204.0,0.0,5794.0
San José de Maipo,2720.0,365.0,265.0,258.0,265.0,524.0,129.0,0.0,4526.0
Colina,19890.0,2352.0,1810.0,1658.0,1781.0,3131.0,1034.0,0.0,31656.0
Lampa,17477.0,1975.0,1538.0,1594.0,1920.0,3222.0,886.0,0.0,28612.0
Tiltil,3263.0,386.0,307.0,272.0,304.0,539.0,126.0,0.0,5197.0
San Bernardo,47541.0,6154.0,4668.0,4654.0,5327.0,7151.0,1792.0,0.0,77287.0
Buin,17103.0,2087.0,1559.0,1596.0,1869.0,3245.0,884.0,0.0,28343.0
Calera de Tango,3267.0,459.0,330.0,299.0,321.0,568.0,167.0,0.0,5411.0
Paine,13264.0,1534.0,1150.0,1119.0,1170.0,1697.0,367.0,0.0,20301.0
Melipilla,22688.0,2385.0,1752.0,1658.0,1770.0,2557.0,752.0,0.0,33562.0
Alhué,1288.0,172.0,91.0,98.0,102.0,237.0,34.0,0.0,2022.0
Curacaví,6312.0,659.0,488.0,471.0,559.0,817.0,234.0,0.0,9540.0
María Pinto,2563.0,277.0,168.0,153.0,182.0,267.0,73.0,0.0,3683.0
San Pedro,1583.0,144.0,106.0,89.0,95.0,147.0,22.0,0.0,2186.0
Talagante,14076.0,1536.0,1157.0,1189.0,1339.0,2051.0,573.0,0.0,21921.0
El Monte,7075.0,785.0,578.0,564.0,609.0,676.0,161.0,0.0,10448.0
Isla de Maipo,6112.0,652.0,438.0,463.0,476.0,696.0,186.0,0.0,9023.0
Padre Hurtado,11159.0,1435.0,1077.0,975.0,1373.0,2073.0,502.0,0.0,18594.0
Peñaflor,12073.0,1623.0,1336.0,1209.0,1510.0,2335.0,612.0,0.0,20698.0
Región Metropolitana,1034964.0,149351.0,116924.0,121317.0,134227.0,221411.0,75000.0,0.0,1853194.0
