Comuna,Hombres JH,Mujeres JH,Sin información*,Total
Santiago,105891.0,114032.0,0.0,219923.0
Cerrillos,18976.0,22054.0,0.0,41030.0
Cerro Navia,37721.0,39254.0,0.0,76975.0
Conchalí,32981.0,34214.0,0.0,67195.0
El Bosque,40413.0,43696.0,0.0,84109.0
Estación Central,45262.0,48361.0,0.0,93623.0
Huechuraba,18814.0,22320.0,0.0,41134.0
Independencia,28714.0,32730.0,0.0,61444.0
La Cisterna,22731.0,27051.0,0.0,49782.0
La Florida,83611.0,98197.0,0.0,181808.0
La Granja,30982.0,33599.0,0.0,64581.0
La Pintana,42132.0,46307.0,0.0,88439.0
La Reina,12376.0,16020.0,0.0,28396.0
Las Condes,35224.0,50088.0,0.0,85312.0
Lo Barnechea,9866.0,13563.0,0.0,23429.0
Lo Espejo,25575.0,25706.0,0.0,51281.0
Lo Prado,25279.0,28203.0,0.0,53482.0
Macul,27235.0,33611.0,0.0,60846.0
Maipú,115232.0,134023.0,0.0,249255.0
Ñuñoa,35813.0,50350.0,0.0,86163.0
Pedro Aguirre Cerda,25936.0,28644.0,0.0,54580.0
Peñalolén,49316.0,61198.0,0.0,110514.0
Providencia,16846.0,23647.0,0.0,40493.0
Pudahuel,52033.0,64458.0,0.0,116491.0
Quilicura,45952.0,52747.0,0.0,98699.0
Quinta Normal,31932.0,36639.0,0.0,68571.0
Recoleta,41313.0,45320.0,0.0,86633.0
Renca,34876.0,39720.0,0.0,74596.0
San Joaquín,27383.0,32303.0,0.0,59686.0
San Miguel,30199.0,36985.0,0.0,67184.0
San Ramón,23947.0,24115.0,0.0,48062.0
Vitacura,4931.0,8186.0,0.0,13117.0
Puente Alto,126774.0,147049.0,0.0,273823.0
Pirque,6478.0,5794.0,0.0,12272.0
San José de Maipo,4251.0,4526.0,0.0,8777.0
Colina,28732.0,31656.0,0.0,60388.0
Lampa,26067.0,28612.0,0.0,54679.0
Tiltil,4964.0,5197.0,0.0,10161.0
San Bernardo,68001.0,77287.0,0.0,145288.0
Buin,25192.0,28343.0,0.0,53535.0
Calera de Tango,5113.0,5411.0,0.0,10524.0
Paine,20672.0,20301.0,0.0,40973.0
Melipilla,33989.0,33562.0,0.0,67551.0
Alhué,2083.0,2022.0,0.0,4105.0
Curacaví,9170.0,9540.0,0.0,18710.0
María Pinto,3922.0,3683.0,0.0,7605.0
San Pedro,3090.0,2186.0,0.0,5276.0
Talagante,18830.0,21921.0,0.0,40751.0
El Monte,9232.0,10448.0,0.0,19680.0
Isla de Maipo,8900.0,9023.0,0.0,17923.0
Padre Hurtado,17668.0,18594.0,0.0,36262.0
Peñaflor,19427.0,20698.0,0.0,40125.0
Región Metropolitana,1622047.0,1853194.0,0.0,3475241.0
