Comuna,Personas cuidadoras,Personas que requieren cuidado
Santiago,2053.0,2082.0
Cerrillos,844.0,866.0
Cerro Navia,1150.0,1177.0
Conchalí,895.0,941.0
El Bosque,1052.0,1068.0
Estación Central,1182.0,1209.0
Huechuraba,612.0,637.0
Independencia,554.0,563.0
La Cisterna,653.0,668.0
La Florida,2103.0,2146.0
La Granja,664.0,683.0
La Pintana,1505.0,1559.0
La Reina,586.0,601.0
Las Condes,546.0,563.0
Lo Barnechea,362.0,366.0
Lo Espejo,904.0,957.0
Lo Prado,821.0,816.0
Macul,752.0,773.0
Maipú,2330.0,2303.0
Ñuñoa,611.0,611.0
Pedro Aguirre Cerda,1097.0,1146.0
Peñalolén,1531.0,1535.0
Providencia,312.0,309.0
Pudahuel,1635.0,1652.0
Quilicura,1303.0,1284.0
Quinta Normal,1209.0,1245.0
Recoleta,1338.0,1422.0
Renca,901.0,909.0
San Joaquín,600.0,614.0
San Miguel,580.0,600.0
San Ramón,801.0,847.0
Vitacura,138.0,143.0
Puente Alto,3407.0,3435.0
Pirque,183.0,179.0
San José de Maipo,99.0,101.0
Colina,734.0,774.0
Lampa,453.0,465.0
Tiltil,176.0,176.0
San Bernardo,1847.0,1896.0
Buin,638.0,654.0
Calera de Tango,242.0,237.0
Paine,472.0,472.0
Melipilla,1144.0,1169.0
Alhué,69.0,73.0
Curacaví,241.0,248.0
María Pinto,154.0,155.0
San Pedro,122.0,122.0
Talagante,403.0,383.0
El Monte,164.0,173.0
Isla de Maipo,275.0,285.0
Padre Hurtado,566.0,565.0
Peñaflor,925.0,928.0
Región Metropolitana,43938.0,44785.0
