Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Sin información*,Total
Santiago,33448.0,4745.0,3480.0,3339.0,3930.0,8498.0,1019.0,0.0,58459.0
Cerrillos,11378.0,1175.0,825.0,688.0,895.0,1792.0,180.0,0.0,16933.0
Cerro Navia,22750.0,2166.0,1198.0,829.0,994.0,1206.0,63.0,0.0,29206.0
Conchalí,16490.0,1989.0,1290.0,1126.0,1273.0,1816.0,133.0,0.0,24117.0
El Bosque,24956.0,2383.0,1433.0,1105.0,1389.0,1890.0,151.0,0.0,33307.0
Estación Central,21364.0,2859.0,1793.0,1577.0,1716.0,2579.0,239.0,0.0,32127.0
Huechuraba,10784.0,1314.0,790.0,710.0,794.0,3361.0,1111.0,0.0,18864.0
Independencia,14261.0,1919.0,1284.0,1100.0,1218.0,1822.0,146.0,0.0,21750.0
La Cisterna,10097.0,1433.0,1017.0,964.0,1185.0,2204.0,238.0,0.0,17138.0
La Florida,36191.0,4725.0,3156.0,3279.0,4084.0,10596.0,1493.0,0.0,63524.0
La Granja,18084.0,1858.0,1192.0,896.0,1004.0,1513.0,96.0,0.0,24643.0
La Pintana,36066.0,3130.0,1672.0,1011.0,1206.0,1168.0,75.0,0.0,44328.0
La Reina,4008.0,692.0,456.0,540.0,733.0,2526.0,770.0,0.0,9725.0
Las Condes,5935.0,1097.0,771.0,1230.0,1398.0,8712.0,3926.0,0.0,23069.0
Lo Barnechea,5452.0,713.0,454.0,396.0,375.0,1676.0,749.0,0.0,9815.0
Lo Espejo,16305.0,1610.0,838.0,611.0,663.0,814.0,58.0,0.0,20899.0
Lo Prado,13474.0,1517.0,889.0,740.0,804.0,1098.0,78.0,0.0,18600.0
Macul,9992.0,1522.0,1043.0,1122.0,1392.0,3821.0,443.0,0.0,19335.0
Maipú,49843.0,7299.0,5113.0,5248.0,6626.0,14418.0,1535.0,0.0,90082.0
Ñuñoa,7274.0,1316.0,975.0,1470.0,1997.0,8981.0,2105.0,0.0,24118.0
Pedro Aguirre Cerda,14610.0,1626.0,960.0,746.0,891.0,1283.0,94.0,0.0,20210.0
Peñalolén,28386.0,3118.0,1866.0,1530.0,1645.0,4376.0,1102.0,0.0,42023.0
Providencia,2150.0,364.0,331.0,483.0,626.0,3546.0,1065.0,0.0,8565.0
Pudahuel,30780.0,3801.0,2291.0,2187.0,2620.0,5214.0,726.0,0.0,47619.0
Quilicura,28377.0,4106.0,2558.0,2316.0,2711.0,5488.0,561.0,0.0,46117.0
Quinta Normal,15751.0,1985.0,1311.0,1124.0,1244.0,2112.0,176.0,0.0,23703.0
Recoleta,22791.0,2425.0,1531.0,1153.0,1270.0,2257.0,230.0,0.0,31657.0
Renca,23857.0,2679.0,1554.0,1173.0,1432.0,2236.0,153.0,0.0,33084.0
San Joaquín,13546.0,1594.0,908.0,819.0,916.0,1748.0,141.0,0.0,19672.0
San Miguel,10404.0,1684.0,1177.0,1415.0,1743.0,5007.0,712.0,0.0,22142.0
San Ramón,13401.0,1232.0,749.0,508.0,584.0,953.0,57.0,0.0,17484.0
Vitacura,504.0,118.0,76.0,155.0,192.0,1847.0,917.0,0.0,3809.0
Puente Alto,71787.0,8781.0,5488.0,5708.0,7086.0,13806.0,1313.0,0.0,113969.0
Pirque,3438.0,469.0,254.0,291.0,267.0,804.0,145.0,0.0,5668.0
San José de Maipo,2247.0,254.0,149.0,141.0,201.0,393.0,43.0,0.0,3428.0
Colina,21690.0,2030.0,1185.0,1016.0,1142.0,3583.0,1152.0,0.0,31798.0
Lampa,19898.0,2129.0,1348.0,1237.0,1555.0,3825.0,499.0,0.0,30491.0
Tiltil,2973.0,299.0,225.0,161.0,200.0,524.0,73.0,0.0,4455.0
San Bernardo,47406.0,5176.0,3119.0,2740.0,3477.0,5848.0,557.0,0.0,68323.0
Buin,16772.0,1822.0,1125.0,1177.0,1444.0,3283.0,398.0,0.0,26021.0
Calera de Tango,3276.0,335.0,224.0,198.0,205.0,539.0,97.0,0.0,4874.0
Paine,13073.0,1384.0,784.0,673.0,721.0,1460.0,168.0,0.0,18263.0
Melipilla,22309.0,2035.0,1256.0,1123.0,1362.0,2095.0,173.0,0.0,30353.0
Alhué,1132.0,131.0,67.0,68.0,74.0,296.0,12.0,0.0,1780.0
Curacaví,5701.0,492.0,274.0,273.0,360.0,626.0,75.0,0.0,7801.0
María Pinto,2635.0,243.0,153.0,96.0,141.0,232.0,25.0,0.0,3525.0
San Pedro,1771.0,192.0,98.0,88.0,86.0,129.0,10.0,0.0,2374.0
Talagante,11610.0,1077.0,696.0,657.0,852.0,1608.0,245.0,0.0,16745.0
El Monte,6630.0,597.0,395.0,301.0,378.0,498.0,31.0,0.0,8830.0
Isla de Maipo,6019.0,551.0,318.0,276.0,344.0,686.0,122.0,0.0,8316.0
Padre Hurtado,10555.0,1375.0,887.0,776.0,1110.0,2111.0,254.0,0.0,17068.0
Peñaflor,12125.0,1347.0,1005.0,887.0,1207.0,2256.0,298.0,0.0,19125.0
Región Metropolitana,855756.0,100913.0,64031.0,59477.0,71762.0,161160.0,26232.0,0.0,1339331.0
