Comuna,Total
Santiago,1361.0
Cerrillos,185.0
Cerro Navia,192.0
Conchalí,238.0
El Bosque,136.0
Estación Central,784.0
Huechuraba,113.0
Independencia,111.0
La Cisterna,53.0
La Florida,178.0
La Granja,114.0
La Pintana,226.0
La Reina,33.0
Las Condes,70.0
Lo Barnechea,74.0
Lo Espejo,145.0
Lo Prado,150.0
Macul,65.0
Maipú,388.0
Ñuñoa,225.0
Pedro Aguirre Cerda,118.0
Peñalolén,281.0
Providencia,198.0
Pudahuel,471.0
Quilicura,255.0
Quinta Normal,221.0
Recoleta,606.0
Renca,207.0
San Joaquín,73.0
San Miguel,253.0
San Ramón,163.0
Vitacura,5.0
Puente Alto,944.0
Pirque,13.0
San José de Maipo,24.0
Colina,193.0
Lampa,47.0
Tiltil,5.0
San Bernardo,576.0
Buin,74.0
Calera de Tango,5.0
Paine,55.0
Melipilla,248.0
Alhué,13.0
Curacaví,25.0
María Pinto,5.0
San Pedro,5.0
Talagante,74.0
El Monte,55.0
Isla de Maipo,5.0
Padre Hurtado,46.0
Peñaflor,30.0
Región Metropolitana,10134.0
