Comuna,Tramo 40,Tramo 50,Tramo 60,Tramo 70,Tramo 80,Tramo 90,Tramo 100,Sin información*,Total
Santiago,142270.0,26668.0,25351.0,29862.0,35591.0,57487.0,26015.0,0.0,343244.0
Cerrillos,42418.0,6712.0,5288.0,5325.0,5981.0,8735.0,2478.0,0.0,76937.0
Cerro Navia,86884.0,11713.0,9219.0,8349.0,8913.0,8971.0,2182.0,0.0,136231.0
Conchalí,67489.0,11329.0,9175.0,9128.0,9667.0,11512.0,2874.0,0.0,121174.0
El Bosque,95427.0,13211.0,10129.0,9602.0,10182.0,12078.0,3016.0,0.0,153645.0
Estación Central,83486.0,14119.0,12092.0,12683.0,14027.0,18220.0,5610.0,0.0,160237.0
Huechuraba,40677.0,6532.0,4907.0,5059.0,5361.0,13175.0,6279.0,0.0,81990.0
Independencia,53536.0,9446.0,8175.0,8694.0,9516.0,12065.0,3454.0,0.0,104886.0
La Cisterna,43141.0,7741.0,6160.0,6789.0,7648.0,12111.0,3686.0,0.0,87276.0
La Florida,154755.0,28840.0,23342.0,25444.0,27806.0,51039.0,16965.0,0.0,328191.0
La Granja,71423.0,10711.0,8207.0,7791.0,8042.0,9116.0,2267.0,0.0,117557.0
La Pintana,121333.0,16709.0,11817.0,9755.0,10106.0,8739.0,1904.0,0.0,180363.0
La Reina,19375.0,4170.0,3423.0,3999.0,4483.0,12709.0,5726.0,0.0,53885.0
Las Condes,35111.0,9273.0,8061.0,11025.0,11404.0,48143.0,35170.0,0.0,158187.0
Lo Barnechea,20219.0,4138.0,3322.0,3310.0,2941.0,7800.0,4687.0,0.0,46417.0
Lo Espejo,63229.0,8479.0,6082.0,5525.0,5591.0,5778.0,1279.0,0.0,95963.0
Lo Prado,55004.0,8591.0,6744.0,6736.0,6768.0,7699.0,2097.0,0.0,93639.0
Macul,46919.0,9149.0,7784.0,8347.0,9388.0,18134.0,6154.0,0.0,105875.0
Maipú,210177.0,41284.0,33313.0,36672.0,42823.0,72752.0,21430.0,0.0,458451.0
Ñuñoa,43069.0,10574.0,8748.0,11618.0,13310.0,40964.0,20874.0,0.0,149157.0
Pedro Aguirre Cerda,61333.0,9234.0,6798.0,6414.0,6646.0,7886.0,2123.0,0.0,100434.0
Peñalolén,112539.0,17694.0,13407.0,13432.0,13774.0,23092.0,8497.0,0.0,202435.0
Providencia,16185.0,3972.0,3584.0,4823.0,5334.0,18905.0,11582.0,0.0,64385.0
Pudahuel,117278.0,19214.0,14649.0,15324.0,17108.0,25348.0,7568.0,0.0,216489.0
Quilicura,94917.0,17977.0,14333.0,15160.0,17515.0,26901.0,7179.0,0.0,193982.0
Quinta Normal,63222.0,11027.0,8902.0,9176.0,9809.0,12919.0,3774.0,0.0,118829.0
Recoleta,89313.0,13952.0,11070.0,10636.0,11081.0,14099.0,4119.0,0.0,154270.0
Renca,83807.0,13312.0,9915.0,9501.0,10313.0,11944.0,2950.0,0.0,141742.0
San Joaquín,57252.0,8648.0,6441.0,6616.0,7236.0,10027.0,3071.0,0.0,99291.0
San Miguel,45424.0,8637.0,7327.0,8918.0,10831.0,23244.0,9897.0,0.0,114278.0
San Ramón,54220.0,6987.0,5334.0,5049.0,5123.0,5928.0,1428.0,0.0,84069.0
Vitacura,3999.0,1280.0,1106.0,1643.0,1543.0,9640.0,5968.0,0.0,25179.0
Puente Alto,270691.0,46092.0,36120.0,38717.0,42709.0,64634.0,17602.0,0.0,516565.0
Pirque,13027.0,2303.0,1619.0,1667.0,1621.0,3296.0,1188.0,0.0,24721.0
San José de Maipo,9022.0,1396.0,1005.0,1003.0,1065.0,1982.0,623.0,0.0,16096.0
Colina,68662.0,9099.0,6934.0,6812.0,7405.0,13724.0,6231.0,0.0,118867.0
Lampa,60189.0,8268.0,6484.0,6590.0,7902.0,13659.0,4197.0,0.0,107289.0
Tiltil,10593.0,1614.0,1209.0,1170.0,1296.0,2346.0,751.0,0.0,18979.0
San Bernardo,163715.0,24950.0,19025.0,18990.0,21094.0,29195.0,8162.0,0.0,285131.0
Buin,58019.0,8563.0,6214.0,6676.0,7550.0,12517.0,3850.0,0.0,103389.0
Calera de Tango,11876.0,1992.0,1475.0,1306.0,1349.0,2432.0,863.0,0.0,21293.0
Paine,47714.0,6816.0,4999.0,4901.0,4925.0,6971.0,1850.0,0.0,78176.0
Melipilla,83828.0,11132.0,8177.0,7901.0,7925.0,10900.0,3364.0,0.0,133227.0
Alhué,4252.0,671.0,424.0,401.0,467.0,1025.0,325.0,0.0,7565.0
Curacaví,21530.0,2754.0,2047.0,2053.0,2138.0,3317.0,1082.0,0.0,34921.0
María Pinto,9811.0,1346.0,910.0,772.0,917.0,1265.0,347.0,0.0,15368.0
San Pedro,7093.0,946.0,625.0,578.0,442.0,820.0,175.0,0.0,10679.0
Talagante,43108.0,5802.0,4460.0,4713.0,5260.0,8128.0,2631.0,0.0,74102.0
El Monte,23708.0,2978.0,2233.0,2227.0,2407.0,2837.0,679.0,0.0,37069.0
Isla de Maipo,22188.0,3007.0,2047.0,2030.0,2150.0,3172.0,937.0,0.0,35531.0
Padre Hurtado,37792.0,5911.0,4662.0,4352.0,5717.0,8754.0,2522.0,0.0,69710.0
Peñaflor,45014.0,7488.0,6099.0,5725.0,6618.0,10421.0,3112.0,0.0,84477.0
Región Metropolitana,3307263.0,544451.0,430973.0,450989.0,496818.0,828555.0,302794.0,0.0,6361843.0
