Comuna,Número de personas que pertenecen a algún pueblo originario,Número de personas que no pertenecen a pueblo originario,Sin información*,Total,% de personas que pertenece a algún pueblo originario
Santiago,10567.0,331781.0,900.0,343248.0,0.0307853214002703
Cerrillos,4930.0,71554.0,456.0,76940.0,0.0640759033012737
Cerro Navia,12659.0,123109.0,470.0,136238.0,0.0929182753710418
Conchalí,6567.0,114254.0,353.0,121174.0,0.0541947942627956
El Bosque,11726.0,141528.0,394.0,153648.0,0.0763172966781214
Estación Central,6646.0,153178.0,420.0,160244.0,0.0414742517660567
Huechuraba,5782.0,75985.0,230.0,81997.0,0.0705147749307901
Independencia,2198.0,102358.0,340.0,104896.0,0.0209540878584502
La Cisterna,3475.0,83504.0,307.0,87286.0,0.0398116536443415
La Florida,19536.0,307791.0,860.0,328187.0,0.0595270379387361
La Granja,7504.0,109630.0,425.0,117559.0,0.0638317780858973
La Pintana,22031.0,157715.0,615.0,180361.0,0.12214946690249
La Reina,2508.0,51182.0,207.0,53897.0,0.0465332022190474
Las Condes,2520.0,155218.0,452.0,158190.0,0.0159302105063531
Lo Barnechea,2167.0,44104.0,153.0,46424.0,0.0466784421850766
Lo Espejo,6517.0,89266.0,196.0,95979.0,0.0679002698506965
Lo Prado,8271.0,85183.0,182.0,93636.0,0.0883314109957708
Macul,5853.0,99608.0,421.0,105882.0,0.0552785175950586
Maipú,26027.0,431185.0,1240.0,458452.0,0.0567714831650859
Ñuñoa,3919.0,144745.0,494.0,149158.0,0.0262741522412475
Pedro Aguirre Cerda,4944.0,94864.0,622.0,100430.0,0.0492283182316041
Peñalolén,17494.0,183989.0,954.0,202437.0,0.0864170087484007
Providencia,1275.0,62934.0,179.0,64388.0,0.0198018264272845
Pudahuel,15533.0,200257.0,698.0,216488.0,0.0717499353312885
Quilicura,11669.0,181677.0,635.0,193981.0,0.0601553760419834
Quinta Normal,4315.0,114083.0,441.0,118839.0,0.0363096289938488
Recoleta,7422.0,146176.0,681.0,154279.0,0.048107649129175
Renca,12788.0,128484.0,472.0,141744.0,0.0902189863415735
San Joaquín,3867.0,95185.0,245.0,99297.0,0.0389437747363968
San Miguel,3333.0,110647.0,301.0,114281.0,0.0291649530543134
San Ramón,6721.0,77181.0,171.0,84073.0,0.0799424309825984
Vitacura,237.0,24737.0,212.0,25186.0,0.0094099896768045
Puente Alto,33544.0,481586.0,1442.0,516572.0,0.0649357688763618
Pirque,892.0,23772.0,71.0,24735.0,0.0360622599555286
San José de Maipo,703.0,15356.0,41.0,16100.0,0.0436645962732919
Colina,5923.0,112646.0,300.0,118869.0,0.0498279618739957
Lampa,6928.0,100013.0,361.0,107302.0,0.0645654321447876
Tiltil,564.0,18366.0,61.0,18991.0,0.0296982781317466
San Bernardo,20632.0,263455.0,1046.0,285133.0,0.0723592148225564
Buin,4670.0,98379.0,352.0,103401.0,0.0451639732691173
Calera de Tango,675.0,20540.0,81.0,21296.0,0.0316960931630353
Paine,3617.0,74419.0,146.0,78182.0,0.0462638458980327
Melipilla,5542.0,127435.0,258.0,133235.0,0.0415956768116485
Alhué,232.0,7317.0,27.0,7576.0,0.0306230200633579
Curacaví,1266.0,33551.0,110.0,34927.0,0.0362470295187104
María Pinto,542.0,14780.0,63.0,15385.0,0.0352291192720182
San Pedro,523.0,10115.0,42.0,10680.0,0.0489700374531835
Talagante,2759.0,71155.0,196.0,74110.0,0.0372284442045607
El Monte,2125.0,34835.0,116.0,37076.0,0.0573147049304132
Isla de Maipo,1612.0,33806.0,127.0,35545.0,0.045350963567309
Padre Hurtado,4883.0,64681.0,147.0,69711.0,0.0700463341509948
Peñaflor,3331.0,80600.0,559.0,84490.0,0.0394247839981062
Región Metropolitana,361964.0,5979899.0,20272.0,6362135.0,0.056893479940303
