Código,Región,Nombre comuna,Número de personas según proyecciones de población (*),Número de personas en situación de pobreza por ingresos (**),Porcentaje de personas en situación de pobreza por ingresos 2020,Límite inferior,Límite superior,Presencia de la comuna en la muestra Casen,Tipo de estimación SAE (***),
13101,XIII Metropolitana de Santiago,Santiago,508785,42810,8.41,6.23,10.6,Si,Directa y Sintética (Fay-Herriot),
13102,XIII Metropolitana de Santiago,Cerrillos,89174,8060,9.04,6.21,11.87,Si,Directa y Sintética (Fay-Herriot),
13103,XIII Metropolitana de Santiago,Cerro Navia,142391,18400,12.92,9.37,16.47,Si,Directa y Sintética (Fay-Herriot),
13104,XIII Metropolitana de Santiago,Conchalí,139274,17347,12.46,9.15,15.76,Si,Directa y Sintética (Fay-Herriot),
13105,XIII Metropolitana de Santiago,El Bosque,171889,21583,12.56,9.42,15.69,Si,Directa y Sintética (Fay-Herriot),
13106,XIII Metropolitana de Santiago,Estación Central,209920,24535,11.69,8.62,14.76,Si,Directa y Sintética (Fay-Herriot),
13107,XIII Metropolitana de Santiago,Huechuraba,113321,9350,8.25,5.44,11.06,Si,Directa y Sintética (Fay-Herriot),
13108,XIII Metropolitana de Santiago,Independencia,144380,20119,13.93,10.28,17.59,Si,Directa y Sintética (Fay-Herriot),
13109,XIII Metropolitana de Santiago,La Cisterna,100695,7862,7.81,5.41,10.2,Si,Directa y Sintética (Fay-Herriot),
13110,XIII Metropolitana de Santiago,La Florida,403516,32337,8.01,5.8,10.23,Si,Directa y Sintética (Fay-Herriot),
13111,XIII Metropolitana de Santiago,La Granja,122327,14610,11.94,8.8,15.09,Si,Directa y Sintética (Fay-Herriot),
13112,XIII Metropolitana de Santiago,La Pintana,189347,29038,15.34,11.77,18.9,Si,Directa y Sintética (Fay-Herriot),
13113,XIII Metropolitana de Santiago,La Reina,100328,4709,4.69,2.72,6.67,Si,Directa y Sintética (Fay-Herriot),
13114,XIII Metropolitana de Santiago,Las Condes,332556,9237,2.78,1.47,4.08,Si,Directa y Sintética (Fay-Herriot),
13115,XIII Metropolitana de Santiago,Lo Barnechea,125218,6877,5.49,3.33,7.65,Si,Directa y Sintética (Fay-Herriot),
13116,XIII Metropolitana de Santiago,Lo Espejo,103662,14951,14.42,10.81,18.04,Si,Directa y Sintética (Fay-Herriot),
13117,XIII Metropolitana de Santiago,Lo Prado,104407,14280,13.68,10.01,17.35,Si,Directa y Sintética (Fay-Herriot),
13118,XIII Metropolitana de Santiago,Macul,135310,9403,6.95,4.54,9.36,Si,Directa y Sintética (Fay-Herriot),
13119,XIII Metropolitana de Santiago,Maipú,580866,40853,7.03,5.25,8.81,Si,Directa y Sintética (Fay-Herriot),
13120,XIII Metropolitana de Santiago,Ñuñoa,252463,10019,3.97,2.21,5.72,Si,Directa y Sintética (Fay-Herriot),
13121,XIII Metropolitana de Santiago,Pedro Aguirre Cerda,107628,12616,11.72,8.44,15.0,Si,Directa y Sintética (Fay-Herriot),
13122,XIII Metropolitana de Santiago,Peñalolén,267750,28386,10.6,7.74,13.46,Si,Directa y Sintética (Fay-Herriot),
13123,XIII Metropolitana de Santiago,Providencia,158634,5755,3.63,1.69,5.56,Si,Directa y Sintética (Fay-Herriot),
13124,XIII Metropolitana de Santiago,Pudahuel,254584,22604,8.88,6.19,11.56,Si,Directa y Sintética (Fay-Herriot),
13125,XIII Metropolitana de Santiago,Quilicura,257713,21971,8.53,5.91,11.14,Si,Directa y Sintética (Fay-Herriot),
13126,XIII Metropolitana de Santiago,Quinta Normal,137373,12583,9.16,6.5,11.82,Si,Directa y Sintética (Fay-Herriot),
13127,XIII Metropolitana de Santiago,Recoleta,191515,25365,13.24,9.9,16.59,Si,Directa y Sintética (Fay-Herriot),
13128,XIII Metropolitana de Santiago,Renca,161297,16434,10.19,7.18,13.2,Si,Directa y Sintética (Fay-Herriot),
13129,XIII Metropolitana de Santiago,San Joaquín,103641,12230,11.8,8.71,14.89,Si,Directa y Sintética (Fay-Herriot),
13130,XIII Metropolitana de Santiago,San Miguel,134602,7157,5.32,3.11,7.53,Si,Directa y Sintética (Fay-Herriot),
13131,XIII Metropolitana de Santiago,San Ramón,86272,11346,13.15,9.44,16.86,Si,Directa y Sintética (Fay-Herriot),
13132,XIII Metropolitana de Santiago,Vitacura,97157,3232,3.33,1.33,5.32,Si,Directa y Sintética (Fay-Herriot),
13201,XIII Metropolitana de Santiago,Puente Alto,649570,51876,7.99,5.89,10.08,Si,Directa y Sintética (Fay-Herriot),
13202,XIII Metropolitana de Santiago,Pirque,30725,2841,9.25,6.22,12.27,Si,Directa y Sintética (Fay-Herriot),
13203,XIII Metropolitana de Santiago,San José De Maipo,18747,1733,9.24,6.58,11.91,Si,Directa y Sintética (Fay-Herriot),
13301,XIII Metropolitana de Santiago,Colina,182518,15672,8.59,5.75,11.42,Si,Directa y Sintética (Fay-Herriot),
13302,XIII Metropolitana de Santiago,Lampa,128752,13194,10.25,7.17,13.32,Si,Directa y Sintética (Fay-Herriot),
13303,XIII Metropolitana de Santiago,Tiltil,21588,2171,10.06,7.07,13.04,Si,Sintética,
13401,XIII Metropolitana de Santiago,San Bernardo,336441,35977,10.69,7.96,13.43,Si,Directa y Sintética (Fay-Herriot),
13402,XIII Metropolitana de Santiago,Buin,110556,9408,8.51,5.69,11.32,Si,Directa y Sintética (Fay-Herriot),
13403,XIII Metropolitana de Santiago,Calera De Tango,28742,2652,9.23,6.21,12.24,Si,Directa y Sintética (Fay-Herriot),
13404,XIII Metropolitana de Santiago,Paine,83391,9194,11.02,8.03,14.02,Si,Directa y Sintética (Fay-Herriot),
13501,XIII Metropolitana de Santiago,Melipilla,142453,12979,9.11,6.24,11.99,Si,Directa y Sintética (Fay-Herriot),
13502,XIII Metropolitana de Santiago,Alhué,7463,537,7.19,4.44,9.94,Si,Sintética,
13503,XIII Metropolitana de Santiago,Curacaví,36661,3521,9.6,6.49,12.71,Si,Sintética,
13504,XIII Metropolitana de Santiago,María Pinto,15004,1549,10.33,7.31,13.34,Si,Directa y Sintética (Fay-Herriot),
13505,XIII Metropolitana de Santiago,San Pedro,12018,1597,13.28,9.16,17.41,Si,Sintética,
13601,XIII Metropolitana de Santiago,Talagante,82268,7287,8.86,5.94,11.77,Si,Directa y Sintética (Fay-Herriot),
13602,XIII Metropolitana de Santiago,El Monte,40262,4742,11.78,8.47,15.09,Si,Directa y Sintética (Fay-Herriot),
13603,XIII Metropolitana de Santiago,Isla De Maipo,40418,4633,11.46,8.15,14.78,Si,Sintética,
13604,XIII Metropolitana de Santiago,Padre Hurtado,75018,6770,9.02,6.03,12.02,Si,Directa y Sintética (Fay-Herriot),
13605,XIII Metropolitana de Santiago,Peñaflor,101732,9144,8.99,6.17,11.81,Si,Directa y Sintética (Fay-Herriot),
