
Código;Región;Nombre comuna;Número de personas según proyecciones de población (*);Número de personas en situación de pobreza por ingresos (**);Porcentaje de personas en situación de pobreza por ingresos 2022;"Límite inferior
 (***)";Límite superior;Presencia de la comuna en la muestra Casen;"Tipo de estimación SAE 
(****)";
1101;Tarapacá;Iquique;229.674;18.122;7,9%;6,5%;9,3%;Sí;Directa y Sintética (Fay-Herriot);
1107;Tarapacá;Alto Hospicio;138.527;21.144;15,3%;13,7%;16,8%;Sí;Directa y Sintética (Fay-Herriot);
1401;Tarapacá;Pozo Almonte;18.290;2.805;15,3%;11,6%;19,1%;Sí;Directa y Sintética (Fay-Herriot);
1402;Tarapacá;Camiña;1.380;332;24,0%;16,1%;31,9%;Sí;Sintética;
1403;Tarapacá;Colchane;1.575;350;22,3%;14,7%;29,8%;Sí;Sintética;
1404;Tarapacá;Huara;3.072;555;18,1%;13,3%;22,8%;Sí;Directa y Sintética (Fay-Herriot);
1405;Tarapacá;Pica;6.184;664;10,7%;6,9%;14,6%;Sí;Directa y Sintética (Fay-Herriot);
2101;Antofagasta;Antofagasta;438.942;31.748;7,2%;5,8%;8,7%;Sí;Directa y Sintética (Fay-Herriot);
2102;Antofagasta;Mejillones;15.502;1.107;7,1%;2,4%;11,9%;Sí;Sintética;
2103;Antofagasta;Sierra Gorda;1.790;38;2,1%;0,0%;5,4%;Sí;Sintética;
2104;Antofagasta;Taltal;13.892;1.595;11,5%;7,1%;15,9%;Sí;Directa y Sintética (Fay-Herriot);
2201;Antofagasta;Calama;194.772;15.861;8,1%;6,3%;10,0%;Sí;Directa y Sintética (Fay-Herriot);
2202;Antofagasta;Ollagüe;277;24;8,7%;1,1%;16,4%;No;Sintética;
2203;Antofagasta;San Pedro De Atacama;10.862;529;4,9%;2,4%;7,3%;Sí;Directa y Sintética (Fay-Herriot);
2301;Antofagasta;Tocopilla;28.296;2.951;10,4%;6,6%;14,2%;Sí;Directa y Sintética (Fay-Herriot);
2302;Antofagasta;María Elena;6.647;369;5,6%;0,0%;12,0%;Sí;Sintética;
3101;Atacama;Copiapó;174.693;12.635;7,2%;6,0%;8,5%;Sí;Directa y Sintética (Fay-Herriot);
3102;Atacama;Caldera;19.782;813;4,1%;1,6%;6,6%;Sí;Directa y Sintética (Fay-Herriot);
3103;Atacama;Tierra Amarilla;14.407;990;6,9%;4,3%;9,5%;Sí;Directa y Sintética (Fay-Herriot);
3201;Atacama;Chañaral;13.094;1.501;11,5%;8,5%;14,4%;Sí;Directa y Sintética (Fay-Herriot);
3202;Atacama;Diego De Almagro;14.082;800;5,7%;3,4%;8,0%;Sí;Directa y Sintética (Fay-Herriot);
3301;Atacama;Vallenar;57.266;6.143;10,7%;8,8%;12,6%;Sí;Directa y Sintética (Fay-Herriot);
3302;Atacama;Alto Del Carmen;5.763;868;15,1%;8,7%;21,4%;Sí;Sintética;
