
;;;;;;;;;;
Código;Región;Nombre comuna;Número de personas según proyecciones de población (*);Número de personas en situación de pobreza por ingresos (**);Porcentaje de personas en situación de pobreza por ingresos 2020;Límite inferior;Límite superior;Presencia de la comuna en la muestra Casen;Tipo de estimación SAE (***);
1101;I de Tarapacá;Iquique;224.971;27.709;12,32%;10,21%;14,42%;Si;Directa y Sintética (Fay-Herriot);
1107;I de Tarapacá;Alto Hospicio;131.699;21.208;16,10%;13,89%;18,32%;Si;Directa y Sintética (Fay-Herriot);
1401;I de Tarapacá;Pozo Almonte;17.580;2.752;15,65%;11,95%;19,36%;Si;Directa y Sintética (Fay-Herriot);
1402;I de Tarapacá;Camiña;1.382;316;22,83%;16,74%;28,93%;Si;Sintética;
1403;I de Tarapacá;Colchane;1.592;338;21,21%;13,82%;28,59%;No;Sintética;
1404;I de Tarapacá;Huara;3.014;610;20,24%;15,61%;24,87%;Si;Sintética;
1405;I de Tarapacá;Pica;6.004;1.007;16,77%;13,12%;20,43%;Si;Directa y Sintética (Fay-Herriot);
2101;II de Antofagasta;Antofagasta;428.721;34.977;8,16%;6,52%;9,80%;Si;Directa y Sintética (Fay-Herriot);
2102;II de Antofagasta;Mejillones;14.915;1.916;12,85%;9,01%;16,68%;Si;Directa y Sintética (Fay-Herriot);
2103;II de Antofagasta;Sierra Gorda;1.752;224;12,79%;7,96%;17,62%;Si;Sintética;
2104;II de Antofagasta;Taltal;13.717;1.796;13,09%;9,15%;17,03%;Si;Directa y Sintética (Fay-Herriot);
2201;II de Antofagasta;Calama;191.438;20.240;10,57%;8,12%;13,03%;Si;Directa y Sintética (Fay-Herriot);
2202;II de Antofagasta;Ollagüe;288;38;13,19%;3,71%;22,67%;No;Sintética;
2203;II de Antofagasta;San Pedro De Atacama;10.532;1.534;14,56%;10,39%;18,73%;Si;Directa y Sintética (Fay-Herriot);
2301;II de Antofagasta;Tocopilla;28.130;2.412;8,57%;5,15%;12,00%;Si;Directa y Sintética (Fay-Herriot);
2302;II de Antofagasta;María Elena;6.798;1.196;17,60%;12,35%;22,85%;Si;Directa y Sintética (Fay-Herriot);
3101;III de Atacama;Copiapó;172.388;14.341;8,32%;6,77%;9,87%;Si;Directa y Sintética (Fay-Herriot);
3102;III de Atacama;Caldera;19.497;1.990;10,21%;7,55%;12,86%;Si;Directa y Sintética (Fay-Herriot);
3103;III de Atacama;Tierra Amarilla;14.338;1.729;12,06%;8,86%;15,26%;Si;Directa y Sintética (Fay-Herriot);
