
;Año;Línea1;Línea 2;Línea 3;Línea 4;Línea 4A;Línea 5;Línea 6;;;;;;;
;1990;115,37;39,67;;;;;;;;;;;;
;1991;113,06;42,46;;;;;;;;;;;;
;1992;117,24;43,33;;;;;;;;;;;;
;1993;124,57;39,63;;;;;;;;;;;;
;1994;127,57;39,48;;;;;;;;;;;;
;1995;126,53;39,99;;;;;;;;;;;;
;1996;136,79;41,76;;;;;;;;;;;;
;1997;141,09;39,93;;;;18,71;;;;;;;;
;1998;136,14;37,10;;;;21,14;;;;;;;;
;1999;129,40;33,33;;;;22,03;;;;;;;;
;2000;138,61;35,22;;;;34,00;;;;;;;;
;2001;132,15;33,93;;;;36,41;;;;;;;;
;2002;128,99;33,45;;;;36,43;;;;;;;;
;2003;130,75;34,31;;;;38,22;;;;;;;;
;2004;145,19;39,51;;;;47,06;;;;;;;;
;2005;158,25;51,84;;2,69;;54,32;;;;;;;;
;2006;167,19;58,89;;48,42;3,29;53,21;;;;;;;;
;2007;256,04;120,47;;114,01;20,87;89,39;;;;;;;;
;2008;272,10;128,83;;123,92;20,94;95,89;;;;;;;;
;2009;258,17;121,84;;117,51;19,66;90,74;;;;;;;;
;2010;259,50;122,30;;115,67;19,03;104,22;;;;;;;;
;2011;252,69;120,24;;115,60;18,25;133,16;;;;;;;;
;2012;257,51;118,65;;117,20;18,93;136,44;;;;;;;;
;2013;263,02;122,06;;120,70;19,75;142,14;;;;;;;;
;2014;261,43;122,20;;119,96;20,36;144,78;;;;;;;;
;2015;256,74;119,21;;120,35;20,66;144,85;;;;;;;;
;2016;261,27;121,74;;120,82;20,83;147,29;;;;;;;;
;2017;270,68;123,27;;119,24;20,42;147,11;5,46;;;;;;;
;2018;277,76;121,08;;118,77;19,96;143,50;39,11;;;;;;;
;2019;262,66;102,89;55,81;101,96;16,54;123,11;40,74;;;;;;;
;2020;93,24;43,18;27,34;37,80;5,94;39,43;16,43;;;;;;;
;2021;118,43;54,33;36,91;53,57;9,51;64,89;21,72;;;;;;;
;2022;186,71;77,40;56,20;78,78;13,51;97,99;33,90;;;;;;;
;2023;206,73;84,74;63,04;87,13;14,90;104,34;38,21;;;;;;;
