Comuna;TOTAL
LAS CONDES;11.659
PROVIDENCIA;25.217
PUDAHUEL;10.556
SANTIAGO;11.798
LA FLORIDA;19.193
SANTIAGO;6.323
LO PRADO;8.413
SANTIAGO;39.213
MACUL;13.581
CONCHALI;6.688
SAN JOAQUIN;6.588
RECOLETA;4.612
CERRILLOS;20.252
RECOLETA;7.935
NUNOA;19.241
SAN MIGUEL;11.863
CONCHALI;12.468
EL BOSQUE;9.779
PROVIDENCIA;9.406
SANTIAGO;10.817
MAIPU;8.371
SAN MIGUEL;11.486
RECOLETA;8.988
INDEPENDENCIA;173
INDEPENDENCIA;233
INDEPENDENCIA;253
INDEPENDENCIA;4
PUDAHUEL;70
PUDAHUEL;51
PUDAHUEL;32
PUDAHUEL;0
PUDAHUEL;105
PUDAHUEL;23
PUDAHUEL;80
PUDAHUEL;32
PUDAHUEL;19
PUDAHUEL;51
PUDAHUEL;82
PUDAHUEL;72
PUDAHUEL;66
PUDAHUEL;70
PUDAHUEL;1
PUDAHUEL;15
PUDAHUEL;62
PUDAHUEL;31
PUDAHUEL;50
PUDAHUEL;27
PUDAHUEL;12
PUDAHUEL;4
PUDAHUEL;6
PUDAHUEL;1.140
PUDAHUEL;928
PUDAHUEL;584
PUDAHUEL;550
PUDAHUEL;1.602
PUDAHUEL;574
PUDAHUEL;37
PUDAHUEL;34
PUDAHUEL;6
PUDAHUEL;13
PUDAHUEL;30
PUDAHUEL;2
PUDAHUEL;31
PUDAHUEL;466
PUDAHUEL;258
PUDAHUEL;147
PUDAHUEL;31
PUDAHUEL;245
PUDAHUEL;162
PUDAHUEL;23
PUDAHUEL;53
PUDAHUEL;23
PUDAHUEL;222
PUDAHUEL;2
PUDAHUEL;361
PUDAHUEL;198
PUDAHUEL;40
PUDAHUEL;268
PUDAHUEL;563
PUDAHUEL;408
PUDAHUEL;45
PUDAHUEL;2
PUDAHUEL;238
PUDAHUEL;20
PUDAHUEL;3
PUDAHUEL;4
PUDAHUEL;6
PUDAHUEL;6
PUDAHUEL;11
PUDAHUEL;0
PUDAHUEL;11
PUDAHUEL;40
PUDAHUEL;2
PUDAHUEL;40
PUDAHUEL;2
PUDAHUEL;273
MAIPU;502
MAIPU;310
MAIPU;12
MAIPU;282
MAIPU;928
MAIPU;283
MAIPU;24
MAIPU;5
MAIPU;39
MAIPU;25
MAIPU;1
MAIPU;185
MAIPU;141
MAIPU;55
MAIPU;4
MAIPU;196
MAIPU;993
MAIPU;33
MAIPU;1.483
MAIPU;390
MAIPU;40
MAIPU;28
MAIPU;3
MAIPU;1
MAIPU;433
MAIPU;455
MAIPU;3
MAIPU;118
MAIPU;671
MAIPU;549
MAIPU;3
MAIPU;119
MAIPU;637
MAIPU;64
MAIPU;3
MAIPU;1.085
MAIPU;223
MAIPU;0
MAIPU;565
MAIPU;640
MAIPU;1
MAIPU;646
MAIPU;414
MAIPU;4
MAIPU;57
MAIPU;95
MAIPU;151
MAIPU;2
MAIPU;3
MAIPU;36
MAIPU;7
MAIPU;11
MAIPU;478
MAIPU;145
MAIPU;252
MAIPU;4
MAIPU;31
MAIPU;384
MAIPU;0
MAIPU;2
MAIPU;234
MAIPU;28
MAIPU;80
MAIPU;59
MAIPU;129
MAIPU;73
MAIPU;71
MAIPU;14
MAIPU;73
MAIPU;41
MAIPU;273
MAIPU;724
MAIPU;355
MAIPU;10
MAIPU;325
MAIPU;445
MAIPU;52
MAIPU;459
MAIPU;38
MAIPU;340
MAIPU;38
MAIPU;7
MAIPU;181
MAIPU;954
MAIPU;962
MAIPU;105
MAIPU;417
MAIPU;306
MAIPU;41
MAIPU;455
MAIPU;1.081
MAIPU;148
MAIPU;691
MAIPU;53
MAIPU;617
MAIPU;122
MAIPU;279
MAIPU;1.838
MAIPU;390
MAIPU;49
MAIPU;0
MAIPU;811
MAIPU;212
MAIPU;41
MAIPU;43
MAIPU;362
MAIPU;53
MAIPU;80
MAIPU;57
MAIPU;465
MAIPU;39
MAIPU;5
MAIPU;753
MAIPU;357
MAIPU;1.491
MAIPU;599
MAIPU;552
MAIPU;70
MAIPU;182
MAIPU;10
MAIPU;61
MAIPU;2
MAIPU;6
MAIPU;878
PROVIDENCIA;50
PROVIDENCIA;83
PROVIDENCIA;110
PROVIDENCIA;2
PROVIDENCIA;292
PROVIDENCIA;2
PROVIDENCIA;33
PROVIDENCIA;15
PROVIDENCIA;64
PROVIDENCIA;44
PROVIDENCIA;6
PROVIDENCIA;75
PROVIDENCIA;3
PROVIDENCIA;65
PROVIDENCIA;729
PROVIDENCIA;530
PROVIDENCIA;1.294
PROVIDENCIA;913
PROVIDENCIA;19
PROVIDENCIA;7
PROVIDENCIA;599
PROVIDENCIA;662
PROVIDENCIA;555
PROVIDENCIA;1.224
PROVIDENCIA;447
PROVIDENCIA;302
PROVIDENCIA;333
PROVIDENCIA;1
PROVIDENCIA;487
PROVIDENCIA;1
PROVIDENCIA;23
PROVIDENCIA;273
PROVIDENCIA;172
PROVIDENCIA;5
PROVIDENCIA;425
PROVIDENCIA;86
PROVIDENCIA;464
PROVIDENCIA;884
PROVIDENCIA;998
PROVIDENCIA;651
PROVIDENCIA;316
PROVIDENCIA;293
PROVIDENCIA;8
PROVIDENCIA;169
PROVIDENCIA;48
PROVIDENCIA;14
PROVIDENCIA;223
PROVIDENCIA;308
PROVIDENCIA;571
PROVIDENCIA;0
PROVIDENCIA;8
PROVIDENCIA;612
PROVIDENCIA;345
PROVIDENCIA;0
PROVIDENCIA;158
PROVIDENCIA;0
PROVIDENCIA;39
PROVIDENCIA;81
PROVIDENCIA;11
PROVIDENCIA;0
PROVIDENCIA;32
PROVIDENCIA;77
PROVIDENCIA;28
PROVIDENCIA;11
PROVIDENCIA;9
PROVIDENCIA;1
PROVIDENCIA;651
PROVIDENCIA;181
PROVIDENCIA;203
PROVIDENCIA;326
PROVIDENCIA;314
PROVIDENCIA;174
PROVIDENCIA;601
PROVIDENCIA;58
PROVIDENCIA;1
PROVIDENCIA;204
PROVIDENCIA;1
PROVIDENCIA;13
PROVIDENCIA;778
PROVIDENCIA;388
PROVIDENCIA;1.352
PROVIDENCIA;413
PROVIDENCIA;0
PROVIDENCIA;402
PROVIDENCIA;476
PROVIDENCIA;0
PROVIDENCIA;132
PROVIDENCIA;108
PROVIDENCIA;55
PROVIDENCIA;25
PROVIDENCIA;46
PROVIDENCIA;25
PROVIDENCIA;69
PROVIDENCIA;36
PROVIDENCIA;11
PROVIDENCIA;636
LAS CONDES;5
LAS CONDES;11
LAS CONDES;2
LAS CONDES;6
LAS CONDES;3
LAS CONDES;2
LAS CONDES;0
LAS CONDES;0
LAS CONDES;4
LAS CONDES;6
LAS CONDES;544
LAS CONDES;38
LAS CONDES;227
LAS CONDES;55
LAS CONDES;491
LAS CONDES;77
LAS CONDES;170
LAS CONDES;387
LAS CONDES;129
LAS CONDES;180
LAS CONDES;273
LAS CONDES;387
LAS CONDES;300
LAS CONDES;835
LAS CONDES;16
LAS CONDES;1
LAS CONDES;1.423
LAS CONDES;2.050
LAS CONDES;3.317
LAS CONDES;1.437
LAS CONDES;1.798
LAS CONDES;1.472
LAS CONDES;6
LAS CONDES;64
LAS CONDES;67
LAS CONDES;295
LAS CONDES;1.856
LAS CONDES;1.296
LAS CONDES;3.692
LAS CONDES;118
LAS CONDES;168
LAS CONDES;0
LAS CONDES;66
LAS CONDES;176
LAS CONDES;248
LAS CONDES;5
LAS CONDES;147
LAS CONDES;1
LAS CONDES;143
LAS CONDES;0
LAS CONDES;1
LAS CONDES;141
LAS CONDES;2
LAS CONDES;170
LAS CONDES;122
LAS CONDES;20
LAS CONDES;267
LAS CONDES;498
LAS CONDES;153
LAS CONDES;20
LAS CONDES;1.727
LAS CONDES;784
LAS CONDES;702
LAS CONDES;856
LAS CONDES;8
LAS CONDES;1.262
LAS CONDES;823
LAS CONDES;1.234
LAS CONDES;1.034
LAS CONDES;993
NUNOA;1
NUNOA;2
NUNOA;8
NUNOA;70
NUNOA;14
NUNOA;24
NUNOA;3
NUNOA;83
NUNOA;11
NUNOA;62
NUNOA;30
NUNOA;69
NUNOA;11
NUNOA;255
NUNOA;1
